#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
250,,Brayan Riascos,0.19,0.38,50,2.19,0,0
251,,Joãozinho,0.03,0,43.48,0.2,0,0
252,,André André,0.05,0,65.22,0.35,0,0
253,,Mateus Quaresma,0.03,0,53.19,0.41,0,0
254,,Bruno Almeida,0.05,0,44,1.41,0,0
255,,Benji Michel,0.08,0,63.64,0.33,0,0
256,,Léo,0.08,0.25,100,0.58,0.08,0
257,,Rafael Brito,0,0,37.5,0.31,0,0
258,,Vitor Costa,0.07,0,66.67,0.57,0,0
259,,Leandro Sanca,0.14,0,50,1.14,0.07,0
260,,Ewerton,0.08,0.08,33.33,0.75,0,0
261,,Osama Rashid,0.06,0,100,0.56,0,0
262,,Matchoi Djaló,0.05,0.05,65,1.68,0,0
263,,Beni Mukendi,0,0,63.89,0.29,0,0
264,,José Marsà,0,0,100,0,0,0
265,,Dário Essugo,0,0,33.33,0.5,0,0
266,,Alemão,0,0,0,0,0,0
267,,Gabriel Batista,0,0,100,0,0,0
268,,Rodrigo Conceição,0,0,47.83,0.06,0,0
269,,Giorgi Aburjania,0,0.04,63.16,0.48,0,0
270,,Felippe Cardoso,0.36,0.36,57.14,1.45,0.09,0
271,,Adriano Firmino,0.03,0,67.74,0.29,0,0
272,,Zaidu Sanusi,0,0.06,38.46,0.33,0,0
273,,Helder Morim,0,0,100,0.43,0,0
274,,Rafael Martins,0.23,0.23,50,1.42,0.08,0
275,,James Léa Siliki,0.14,0,42.31,0.73,0.05,0
276,,Milutin Osmajić,0.26,0.35,40.63,1.52,0,0
277,,Carlinhos,0,0,45.45,1.44,0,0
278,,Juan Delgado,0,0.03,55.74,0.45,0,0
279,,Guima,0,0,58.57,0.66,0,0
280,,Emmanuel Boateng,0.21,0.32,16,1.68,0.04,0
281,,André Bukia,0.14,0.07,48.89,1.36,0,0
282,,Zié Ouattara,0.05,0.05,63.16,0.36,0,0
283,,Filipe Ferreira,0,0,50,0,0,0
284,,Juninho Vieira,0.13,0.23,40.91,1.5,0.03,0
285,,Xavier Quintilla,0.08,0,0,0.31,0,0
286,,Rafik Guitane,0,0,58.93,0.38,0,0
287,,Kevin Villodres,0,0,50.98,1.19,0,0
288,,Mor Ndiaye,0,0,50,0.46,0,0
289,,Juan Manuel Boselli,0.04,0.11,50.77,1.44,0,0
290,,Mamadou Tounkara,0,0.07,100,0.14,0,0
291,,Rochinha,0.06,0.13,35,1,0,0
292,,Welinton Junior,0.25,0.38,37.88,3.96,0,0
293,,Geny Catamo,0.11,0.11,50,1.56,0,0
294,,Victor Bobsin,0,0.04,73.91,0.46,0,0
295,,Rúben Lima,0.06,0,20,0.22,0.06,0
296,,Diogo Gonçalves,0,0.1,22.22,1.5,0,0
297,,Hector Hernandez,0.32,0.55,61.54,1.82,0.09,0
298,,André Castro,0.04,0.04,70,0.21,0,0
299,,Takahiro Kunimoto,0.04,0.08,45.83,0.63,0,0
300,,Matheus Bueno,0,0,60,0.36,0,0
301,,Nigel Thomas,0.12,0.06,40.58,1.5,0,0.59
302,,André Pereira,0.05,0.19,60.61,1.05,0,0
303,,Álvaro Djaló,0.08,0.08,40,1.13,0,0
304,,Matheus Babi,0.19,0.27,52.38,1.27,0,0
305,,Ygor Nogueira,0.08,0.17,85.71,0.92,0.08,0
306,,Andrézinho,0.06,0.06,42.86,0.5,0,0
307,,Élder Santana,0,0,0,0.2,0,0
308,,Joca Fernandes,0,0,58.33,1.33,0,0
309,,Miguel Nóbrega,0,0,25,0.27,0,0
310,,Moustapha Seck,0,0,38.89,0.45,0,0
311,,Cláudio Ramos,0,0,0,0,0,0
312,,Ivan Zlobin,0,0,0,0,0,0
313,,Lucas Silva,0,0,0,1,0,0
314,,Volnei Feltes,0,0,0,0,0,0
315,,Manuel Silva,0,0,0,1,0,0
316,,Dinis Pinto,0,0,0,0,0,0
317,,Jason Bahamboula,0,1,0,1,0,0
318,,Roman Yaremchuk,0,0,0,1,0,0
319,,Sema Velázquez,0,0,0,0,0,0
320,,Mabrouk Rouai,0,0,0,0,0,0
321,,Flávio Nazinho,0,0,66.67,0.67,0,0
322,,Eduardo Fereira,0,0,0,0.33,0,0
323,,Pedro Silva,0,0,0,0,0,0
324,,Rodrigo Nascimento,0,0,0,0,0,0
325,,Alexander Schmidt,0,0.1,50,1.4,0,0
326,,Nelson Luz,0.1,0.07,50.57,0.86,0,0
327,,Rildo,0.13,0,54.29,0.96,0,0
328,,Luiz Carlos,0,0,72.73,0.4,0,0
329,,Maracás,0,0,0,0.29,0,0
330,,Pablo Felipe,0.13,0.07,65.38,1,0.07,0
331,,Sávio,0,0,0,0,0,0
332,,Héctor Bellerín,0.1,0,50,0.4,0,0
333,,Vítor Gomes,0,0.05,83.33,0.2,0,0
334,,Val Soares,0.06,0,54.29,1.06,0,0
335,,Rui Gomes,0.03,0.07,45.9,0.77,0,0
336,,Bernardo Sousa,0,0,35.71,0.62,0,0
337,,Erison,0.18,0.27,40,1.27,0.09,0
338,,Yony González,0,0,44.83,0.69,0,0
339,,Erick Ferigra,0,0.06,85.71,0.19,0,0
340,,Afonso Freitas,0.04,0,46.15,0.35,0,0
341,,Cassiano,0.13,0.13,42.86,0.87,0,0
342,,Diogo Mendes,0,0,30,0.25,0,0
343,,Paulo Henrique,0,0.05,57.14,0.42,0,0
344,,Adewale Sapara,0,0,0,0.2,0,0
345,,Diego Rosa,0,0,33.33,0.67,0,0
346,,Cláudio Winck,0.18,0.03,40.26,1.21,0,0
347,,Ukra,0,0,50,0.13,0,0
348,,Yago Cariello,0.12,0.44,38.1,1.72,0.08,0
349,,Pedro Tiba,0.04,0.04,60,1.08,0,0
350,,Oriol Busquets,0,0,64.29,0.08,0,0
351,,Fábio Ronaldo,0.1,0.23,37,0.9,0,0
352,,Antoñín,0,0,100,0,0,0
353,,Derick Poloni,0,0.04,47.62,0.65,0,0
354,,Gonçalo Borges,0,0,45.45,0.6,0,0
355,,Rodrigo Valente,0,0,50,0.6,0,0
356,,Carlos Eduardo,0.15,0,48.48,0.77,0,0
357,,João Afonso,0,0,37.5,0.04,0,0
358,,Hernâni,0.1,0.14,35,1.29,0.05,0
359,,Serginho,0.14,0,66.67,0.43,0,0
360,,Nwankwo Obiora,0.08,0.08,100,0.42,0.08,0
361,,Rodrigo Ribeiro,0,0,0,1.5,0,0
362,,Pedro Bicalho,0,0,0,0.6,0,0
363,,Ibrahima Camará,0,0,59.26,0.54,0,0
364,,Ali Alipour,0.13,0.13,36.36,1,0.07,0
365,,Hernani Infande,0.08,0.08,57.14,0.54,0,0
366,,Anderson Carvalho,0,0,62.5,0.64,0,0
367,,André Vidigal,0.25,0.22,31.31,2.13,0.03,0
368,,Kento Misao,0,0,45.45,0.35,0,0
369,,Joel Tagueu,0.07,0.43,52.38,2.43,0,0
370,,Euller,0.05,0.19,55.81,0.86,0,0
371,,Ítalo,0,0.08,71.43,0.25,0,0
372,,Martim Tavares,0.09,0.05,11.11,0.23,0.05,0
373,,Paulinho Mota,0,0.2,33.33,0.8,0,0
374,,Roan Wilson,0,0,66.67,0.2,0,0
375,,Théo Fonseca,0,0,100,0,0,0
376,,Ivanildo Fernandes,0,0.1,75,0.35,0,0
377,,Reggie Cannon,0,0,53.85,0.07,0,0
378,,Alexandre Guedes,0.06,0.06,26.67,1.25,0,0
379,,Miguel Baeza,0,0,26.32,0.64,0,0
380,,Allano,0.05,0.1,51.16,0.55,0,0
381,,Romário Baró,0,0,48.39,0.67,0,0
382,,Emilijus Zubas,0,0,0,0,0,0
383,,Anderson Oliveira,0,0,60,1.5,0,0
384,,Henrique Jocu,0,0,0,0.07,0,0
385,,Bilel Aouacheria,0.04,0.04,37.5,1,0,0
386,,Issah Abass,0.15,0.19,37.78,1.35,0,0
387,,Rodrigo Martins,0.1,0.17,53.66,1.3,0,0
388,,Filip Stevanović,0,0,66.67,0.57,0,0
389,,Matheus Pereira,0.06,0,53.33,0.11,0,0
390,,Gustavo Assunção,0.05,0,38.46,0.14,0.05,0
391,,Percy Liza,0.09,0,28.57,0.36,0,0
392,,Bruno Jordão,0.09,0.18,61.29,1.18,0,0
393,,João Graça,0.05,0.05,51.28,0.68,0,0
394,,Yan Eteki,0,0,55.56,0.24,0,0
395,,Ilija Vukotić,0,0,60,0.15,0,0
396,,Sidy Sarr,0,0,0,0,0,0
397,,Sotiris Alexandropoulos,0,0,25,0.17,0,0
398,,Fábio China,0,0,50,0.1,0,0
399,,Matheus Araújo,0,0,34.78,0.65,0,0
400,,Jô Batista,0.05,0.15,63.64,0.6,0,0
401,,Mohamed Aidara,0,0,0,0,0,0
402,,Friday Etim,0.11,0.26,33.33,1.11,0,0
403,,Bruno Gaspar,0,0,0,0.14,0,0
404,,Abbas Ibrahim,0,0,100,0.14,0,0
405,,Yusuf Lawal,0,0,0,0,0,0
406,,Alejandro Marqués,0.2,0.2,42.86,0.73,0,0
407,,Zé Carlos,0,0,33.33,0.25,0,0
408,,André Simões,0,0.11,0,0.44,0,0
409,,Rui Fonte,0.06,0,42.86,0.39,0.06,0
410,,Carlos Isaac,0,0,0,0,0,0
411,,Bryan Róchez,0.05,0.48,25,1.38,0.05,0
