#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
265,,Dário Essugo,0,0,0,0,0.5,0.25
266,,Alemão,0,0,0,0,1.6,0.2
267,,Gabriel Batista,3.19,0.15,0.35,0.04,1.65,0.23
268,,Rodrigo Conceição,0,0,0,0,0.31,0.06
269,,Giorgi Aburjania,0,0.11,0,0,0.63,0
270,,Felippe Cardoso,0,0,0,0,0.73,0
271,,Adriano Firmino,0,0,0,0,1.16,0.19
272,,Zaidu Sanusi,0,0.06,0,0,0.61,0
273,,Helder Morim,0,0,0,0,0.29,0
274,,Rafael Martins,0,0,0,0,0.62,0
275,,James Léa Siliki,0,0,0,0,0.59,0.09
276,,Milutin Osmajić,0,0.03,0,0,0.58,0.19
277,,Carlinhos,0,0.22,0,0,1.11,0.22
278,,Juan Delgado,0,0.06,0,0,1.55,0.1
279,,Guima,0,0.17,0,0,0.69,0.17
280,,Emmanuel Boateng,0,0.04,0,0,0.46,0.18
281,,André Bukia,0,0.07,0,0,1.07,0.14
282,,Zié Ouattara,0,0,0,0,0.82,0.05
283,,Filipe Ferreira,0,0.14,0,0,0.71,0
284,,Juninho Vieira,0,0,0,0,0.6,0.1
285,,Xavier Quintilla,0,0,0,0,1.08,0.23
286,,Rafik Guitane,0,0,0,0,1.08,0
287,,Kevin Villodres,0,0,0,0,0.33,0.05
288,,Mor Ndiaye,0,0.08,0,0,0.85,0.04
289,,Juan Manuel Boselli,0,0,0,0,0.59,0.04
290,,Mamadou Tounkara,0,0.36,0,0,0.64,0.07
291,,Rochinha,0,0,0,0,0.44,0.06
292,,Welinton Junior,0,0.25,0,0,1.04,0.08
293,,Geny Catamo,0,0,0,0,0.56,0
294,,Victor Bobsin,0,0.13,0,0,0.88,0.13
295,,Rúben Lima,0,0.17,0,0,1.28,0.11
296,,Diogo Gonçalves,0,0,0,0,0.3,0.1
297,,Hector Hernandez,0,0,0,0,0.73,0.18
298,,André Castro,0,0,0,0,0.17,0
299,,Takahiro Kunimoto,0,0.04,0,0,0.46,0.08
300,,Matheus Bueno,0,0.07,0,0,0.71,0
301,,Nigel Thomas,0,0,0,0,1,0.06
302,,André Pereira,0,0,0,0,0.67,0.05
303,,Álvaro Djaló,0,0.04,0,0,0.25,0
304,,Matheus Babi,0,0.04,0,0,0.85,0.12
305,,Ygor Nogueira,0,0.08,0,0,1.83,0.17
306,,Andrézinho,0,0,0,0,0.44,0.11
