#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
325,,Alexander Schmidt,0.1,0,36.11,35.09,0.3,0.4
326,,Nelson Luz,0.14,0,33.33,45.95,0.62,0.86
327,,Rildo,0.13,0,12.5,41.86,0.57,0.83
328,,Luiz Carlos,0.2,0,26.32,52.34,1.4,1.25
329,,Maracás,0.29,0.12,65.31,56.25,0.65,1.35
330,,Pablo Felipe,0.13,0,29.31,43.11,1.47,1.2
331,,Sávio,0.14,0,33.33,59.09,0.36,0.21
332,,Héctor Bellerín,0.1,0,52.63,44.64,0,0.5
333,,Vítor Gomes,0.15,0,50,58.33,0.45,0.5
334,,Val Soares,0.33,0,45,43.32,0.83,1.83
335,,Rui Gomes,0.2,0,38.46,36.93,0.33,0.73
336,,Bernardo Sousa,0.03,0.03,14.29,39.83,0.72,0.69
337,,Erison,0,0,46.51,43.02,1.09,0.55
338,,Yony González,0.06,0,50,46.79,0.88,0.63
339,,Erick Ferigra,0.19,0,46.15,52.25,1.25,1.13
340,,Afonso Freitas,0.19,0.04,52.54,52.38,0.92,1.15
341,,Cassiano,0.13,0,32.14,45.26,1.47,1.27
342,,Diogo Mendes,0.15,0,66.67,57.14,1.5,1.35
343,,Paulo Henrique,0.32,0.05,68.66,56.5,1,1.84
344,,Adewale Sapara,0.2,0,14.29,35,0.2,0.6
345,,Diego Rosa,0.22,0,60,57.14,0.22,0.33
346,,Cláudio Winck,0.12,0,52.17,53.47,1.41,0.94
347,,Ukra,0.13,0,57.14,48,0.8,0.2
348,,Yago Cariello,0.16,0,45.53,43.15,1.16,1.2
349,,Pedro Tiba,0.19,0,38.46,41.67,0.69,1.08
350,,Oriol Busquets,0.04,0,43.75,44.33,0.25,0.63
351,,Fábio Ronaldo,0.1,0,33.33,43.3,1.55,0.84
352,,Antoñín,0,0,33.33,60,0,0
353,,Derick Poloni,0,0,37.04,47.59,0.91,0.61
354,,Gonçalo Borges,0,0,100,50,0.2,0.3
355,,Rodrigo Valente,0,0,0,37.5,0.2,0
356,,Carlos Eduardo,0.15,0,66.67,47.06,1.08,0.85
357,,João Afonso,0.33,0.04,64.71,49.46,0.5,1.38
358,,Hernâni,0.05,0,0,41.07,0.52,0.24
359,,Serginho,0.14,0,100,66.67,0,0.43
360,,Nwankwo Obiora,0.17,0,63.64,47.37,0.58,0.92
361,,Rodrigo Ribeiro,0,0,0,33.33,0,1
362,,Pedro Bicalho,0,0,66.67,44.44,0.4,0.8
363,,Ibrahima Camará,0.17,0.04,40,48.48,0.5,0.5
364,,Ali Alipour,0.13,0,42.31,45.57,1,0.47
365,,Hernani Infande,0,0,37.5,50.79,0.62,0.31
366,,Anderson Carvalho,0.36,0,33.33,50.68,0.82,0.91
367,,André Vidigal,0.19,0.03,36.17,42.51,1.72,1.22
368,,Kento Misao,0.29,0,52.63,48,0.94,1.59
369,,Joel Tagueu,0.07,0,33.73,40.27,1.07,0.93
370,,Euller,0.29,0,41.18,46.45,0.95,1.29
371,,Ítalo,0.08,0,40.38,46.32,0.25,1.25
372,,Martim Tavares,0.05,0,35.29,44.26,0.82,0.45
373,,Paulinho Mota,0.2,0,46.15,47.37,0.9,1.1
374,,Roan Wilson,0,0,66.67,55,0.4,0.8
375,,Théo Fonseca,0.2,0,28.57,42.86,0.8,0.8
376,,Ivanildo Fernandes,0.15,0.05,76.79,60,0.3,0.95
377,,Reggie Cannon,0.23,0.07,44,45.23,0.5,1.57
378,,Alexandre Guedes,0,0,34.18,35.1,0.94,0.69
379,,Miguel Baeza,0,0,40,41.77,0.59,0.36
380,,Allano,0.25,0,46.88,49.21,2.05,1.3
381,,Romário Baró,0.17,0,36.36,44.12,1,0.67
382,,Emilijus Zubas,0.33,0,100,66.67,0.33,0.33
383,,Anderson Oliveira,0.33,0,14.29,40.91,1,0.67
384,,Henrique Jocu,0.07,0,75,52.27,0.29,0.43
385,,Bilel Aouacheria,0.21,0,42.86,42.74,0.83,1.04
386,,Issah Abass,0.23,0.04,35,39.56,1.23,1.5
387,,Rodrigo Martins,0.07,0,25,46.07,1.47,1.17
388,,Filip Stevanović,0.14,0,0,50,0.29,0.14
389,,Matheus Pereira,0.28,0,40,48.08,0.78,1.28
390,,Gustavo Assunção,0.45,0,36.36,39.52,0.45,1.32
391,,Percy Liza,0.09,0,30,40.68,1,0.82
392,,Bruno Jordão,0.36,0,40,51.96,1.73,0.91
393,,João Graça,0.37,0,43.75,41.11,0.95,1.26
394,,Yan Eteki,0.24,0,25,50.86,1.76,1.12
395,,Ilija Vukotić,0.08,0,41.18,45.45,0.15,0.62
396,,Sidy Sarr,0.4,0,75,61.9,0,0.6
397,,Sotiris Alexandropoulos,0,0,50,47.37,0.17,0.5
398,,Fábio China,0.2,0.1,66.67,58.14,0.4,1
399,,Matheus Araújo,0.2,0,57.5,51.7,0.85,0.6
400,,Jô Batista,0.1,0.05,38,44.58,0.35,0.35
401,,Mohamed Aidara,0.17,0,40,62.5,0,0
402,,Friday Etim,0.11,0,46.94,38.53,0.37,0.95
403,,Bruno Gaspar,0,0.14,66.67,57.69,0.71,0.57
404,,Abbas Ibrahim,0.43,0,50,57.58,0.86,0.86
405,,Yusuf Lawal,0,0,50,56.25,0.33,0.33
406,,Alejandro Marqués,0.07,0,28.57,32.43,0.73,1.4
407,,Zé Carlos,0.5,0,43.75,43.33,1.13,0.63
408,,André Simões,0,0,50,54.55,0.22,0.56
409,,Rui Fonte,0.17,0,48.15,50,0.56,0.5
410,,Carlos Isaac,0.22,0,41.67,67.65,0.67,0.22
411,,Bryan Róchez,0.1,0,43.21,41.67,0.76,0.52
412,,N'Dri Koffi,0,0,29.41,40,1.25,1.08
413,,Paulo Vitor,0.12,0,13.33,48.99,1.16,0.68
414,,Jonny Arriba,0,0,36.84,38.46,0.31,0.85
415,,Carnejy Antoine,0,0,20,20,0,0.33
416,,Depú,0.2,0,50,60,0.6,0.2
417,,Sandro Cruz,0.31,0,60,57.58,0.46,0.69
418,,Wagner Leonardo,0,0,100,75,0,0
419,,Diogo Queirós,0,0,100,100,0,0
420,,Rui Costa,0,0,0,57.14,2,0
421,,João Gonçalves,0,0,0,0,0,0
422,,Bruno Rodrigues,0,0,50,50,0,0
423,,Zé Manuel,0,0,0,100,2,0
424,,Wilinton Aponzá,0,0,100,50,0,1
425,,Kiki Silva,0,0,0,100,1,0
426,,Jota,1,0,0,50,2,2
427,,Elias Achouri,0,0,100,100,0.5,0
428,,Boubacar Hanne,0,0,0,33.33,0,0
429,,Andre Simões,0.5,0,100,66.67,0,0.5
430,,Mateus Fernandes,0,0,25,50,1.33,1
431,,Julio Dabo,0,0,0,0,0,0
432,,Wilson Manafá,0.14,0,50,46.15,0.29,0.29
