Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Alexei Dominguez Figueroa,0,0,44.44,0.5,0,0,1.5,0.25,0,0.25,0,0.25,0.25,0,15.5,85.48,6.25,50,0,0,0,0,0.5,0,0,0,33.33,48.15,0.5,0.5,4
Jorge Rodríguez,0,0,80,1,0,0,1.83,0.83,0,1.58,0,0.83,0,0,21.17,68.5,3.42,23.08,0,0.17,0,0,0.75,0.08,0.42,0,46.67,54.46,0.92,1.08,12
Iker Moreno,0,0,25,0,0,0,1.29,0.86,0,1.43,0,0.86,0.14,0,19.57,83.94,3.14,46.15,0,0,0,0,0.43,0,0,0,33.33,51.72,0.57,0.43,7
Jesús Hernández,0.1,0.1,52.63,1,0,0,0.7,0.1,0,0.3,0,0.6,0,0,19.9,82.41,6.7,58.33,0,0.1,0,0,1.3,0,0,0,30.77,40.91,1.5,0.8,10
Carlos Baltazar,0.07,0,53.33,1,0,0,0.86,0.21,0,0.21,0,0.14,0.07,0.07,13.71,84.9,1.93,66.67,0,0,0,0,0.79,0.07,0.07,0,50,62.12,1.29,0.21,14
Luís Rodríguez,0,0,52,0.44,0,0,1.81,1.44,0.06,1.88,0,1.06,0.13,0.13,40.44,80.37,7.69,38.04,0,0,0,0,1.69,0.31,0.31,0,68.42,55.91,1,1,16
Edgar Méndez,0.13,0.2,53.85,1.6,0,0,0.87,0.27,0,0.27,0,0.4,0,0,10.13,66.45,3.13,43.75,0,0,0,0,0.4,0.27,0.13,0,46.27,45.83,1,1,15
Sebastián Córdova,0.06,0.22,48.78,1.78,0.06,0,1,0.33,0,0.22,0,0.61,0.11,0.22,22.83,78.59,6.83,55.88,0,0,0,0,0.61,0.11,0.28,0,41.46,41.7,2.11,2,18
Vicente Poggi,0,0,66.67,1,0,0,1.78,1.22,0,0.56,0,1.33,0,0.11,24.78,82.06,4.67,63.64,0,0,0,0,0.56,0.33,0.56,0,58.33,42.31,0.44,1.89,9
Kevin Castaño,0,0.08,80,0.77,0,0,1.15,0.38,0,0.38,0.08,1,0.08,0.08,39.92,85.74,7.85,64.29,0,0,0,0,0.62,0.08,0.15,0,35.29,45,0.85,0.85,13
Jhon Chancellor,0,0,0,0,0,0,1.6,1.2,0,5.2,0,0.4,0,0,27.4,81.75,2.4,52.78,0,0,0,0,1.2,0,0,0,75,60.71,0,0.6,5
Ramiro Árciga,0,0.2,80,0.6,0,0,2.4,0.6,0,0,0,0.4,0,0,16.2,77.78,2.4,50,0,0,0,0,0.6,0.2,0,0,0,66.67,0.8,0.4,5
Andres Montaño,0,0,62.5,1,0,0,0.56,0.56,0,0.56,0,0.33,0.11,0.22,27,85.19,5.78,45,0,0,0,0,0.56,0.11,0,0.11,57.14,52.38,0.89,0.67,9
Pedro Pedraza,0,0,50,0.22,0,0,2.44,1.22,0,0.11,0,1.44,0,0,27.44,88.26,5,53.85,0,0.11,0,0,0.78,0.11,0.11,0,33.33,47.83,0.56,1.11,9
William Tesillo,0,0.07,47.06,0.8,0,0,2,1.27,0.07,2.33,0,0.93,0.33,0.07,57.13,76.9,6.8,42.23,0,0.07,0,0,1.8,0.07,0.27,0,50.79,51.68,0.53,1.07,15
Duván Vergara,0.05,0.11,47.27,1.32,0,0,0.89,0.47,0,0.16,0,0.42,0.21,0.16,16.84,77.81,5.47,46.67,0,0,0,0,1.11,0.26,0.16,0,25,45.27,1.05,0.95,19
Israel Luna,0,0,0,1.5,0,0,2,0.5,0,0.5,0,1,0,0,26,88.46,5,87.5,0,0,0,0,0.5,0,0,0,25,38.46,0,0,2
Everardo López,0,0,0,0,0,0,2.5,1.5,0,1.5,0,0.5,0,0,34.5,73.91,3.5,40,0,0,0,0,1,0,0,0,0,85.71,0.5,0,2
Fernando Navarro,0,0,50,0.2,0,0,0.8,0.2,0,0.4,0,0.4,0,0,16,90,2.4,100,0,0,0,0,0.2,0,0.2,0,75,56.25,0.2,0.2,5
