#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
413,,Jair Cortes,0,0,33.33,0.64,0,0
414,,Jan Carmona,0,0,33.33,0,0,0
415,,Waldo Madrid,0,0,100,0,0,0
416,,Ángel Robles,0,0.14,36.36,0.86,0,0
417,,Maximiliano Silvera,0,0.67,50,1.67,0,0
418,,Paulino de la Fuente,0,0.33,72.73,1,0,0
419,,Jesús Corona,0,0,0,0,0,0
420,,Alberto Herrera,0,0,0,0.33,0,0
421,,Carlos Gutiérrez,0,0,28.57,0.11,0,0
422,,Luis Garcia,0,0,46.15,0.23,0,0
423,,Cristian González,0,0,66.67,0.86,0,0
424,,Jair Díaz,0,0,75,0.15,0,0
425,,Ali Ávila,0,0.2,100,0.6,0,0
426,,Efrain Alvarez,0,0,57.14,0,0,0
427,,Andrija Vukčević,0.13,0,50,0.38,0,0
428,,Michael Santos,0.13,0.63,40,1.88,0,0
429,,Raúl Sandoval,0.06,0.06,37.5,0.69,0,0
430,,Román Martínez,0,1,0,2,0,0
431,,Zahid Muñoz,0,0,0,0,0,0
432,,Josué Díaz,0,0,100,0,0,0
433,,René López,0,0,75,0,0,0
434,,Andres Iniestra,0,0,0,0,0,0
435,,Francisco Figueroa,0,0,44.44,1.8,0,0
436,,José Macías,0,0,0,0,0,0
437,,Samuel González,0,0,0,0,0,0
438,,Carlos Galicia,0,0,0,0,0,0
439,,Ricardo Renteria Vazquez,0,0,0,0,0,0
440,,Óscar Villa,0,0,100,0,0,0
441,,Cesar Sosa,0,0,0,0,0,0
442,,Alonso Escoboza,0,0,66.67,0.25,0,0
443,,Mauro Laínez,0,0.22,45.45,0.22,0,0
444,,Sebastian Fierro,0,0,0,0,0,0
445,,Jair Gonzalez,0,0,25,0.2,0,0
446,,Daniel Rios,0,0,100,0.4,0,0
447,,Emanuel Montejano,0,0,0,0,0,0
448,,Gonzalo Pelua,0,0,50,0.33,0,0
449,,Oscar Manzanares,0,0,33.33,0.36,0,0
450,,Angel Zaldívar,0.31,0.23,50,0.92,0,0
451,,Uziel García,0,0,33.33,0.5,0,0
452,,Sergio De Los Ríos,0,0,0,0,0,0
453,,Alfredo Gutierrez,0,0,0,1,0,0
454,,Marco Hernandez,0,0,0,0,0,0
455,,Juan Cantu,0,0,0,1,0,0
456,,Bruce El-mesmari,0,0,0,0.5,0,0
457,,Salvador Mariscal,0,0,0,0,0,0
458,,Luís Cervantes,0,0,100,0,0,0
459,,Daniel Mantilla,0,0.14,71.43,0.57,0,0
460,,Rafael Fernández,0,0.11,0,0.78,0,0
461,,Óscar Ustari,0,0,0,0,0,0
462,,Francisco Nevarez,0,0,100,0,0,0
463,,Jesús Piñuelas,0,0,0,0.25,0,0
464,,Fernando Ovelar,0,0,28.57,0,0,0
465,,Abraham Flores,0,0,0,0,0,0
466,,Emmanuel Echeverría,0,0,0,0,0,0
467,,Cristian Jiménez,0,0,0,0,0,0
468,,Isidro Suarez,0,0,0,0,0,0
469,,Arath Moreno Martinez,0,0,0,0,0,0
470,,Rodrigo Parra,0,0,0,0,0,0
471,,Luis Sánchez,0,0,0,0,0,0
472,,Amaury Morales,0,0,0,0,0,0
473,,Sebastián Jurado,0,0,100,0,0,0
474,,Hector Uribe,0,0.17,25,0.33,0,0
475,,Sebastian Martinez,0,0,0,0,0,0
476,,Diego Abitia Leon,0,0,0,0,0,0
477,,Victor Arteaga,0,0,0,0,0,0
478,,Marco González,0,0,0,0,0,0
