#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
321,,Omar Mendoza,0.08,0.15,63.16,59.6,1.46,0.92
322,,Leonel Prieto,0,0,0,33.33,0,1
323,,Roberto Meraz,0,0,50,62.5,0,0.5
324,,Hiram Mier,0,0,0,0,0,0
325,,Edson Gutiérrez,0,0,0,0,0,0
326,,Benjamín Galdames,0.5,0,0,33.33,0.5,1
327,,Aarón Mejía,0,0,57.14,52.17,0.33,0.67
328,,Alberto García,0,0,100,66.67,0,0.17
329,,Agustín Urzi,0.09,0,50,38.81,0.36,0.82
330,,Jesus Venegas,0.27,0,55.56,49.15,0.18,0.73
331,,Nicolás Cordero,0,0,30.95,30.26,0.56,1.44
332,,Sebastián Pérez Bouquet,0.13,0,44.44,40.68,0.38,0.5
333,,Eduardo Águila,0,0,50,70,0,0.17
334,,Jordan Sierra,0.18,0,28.57,48.84,0.59,0.71
335,,Marcelo Flores,0.1,0,0,31.03,0.1,0.2
336,,Daniel Aguilar,0,0,60,37.5,0,1
337,,Andrés Sánchez,0,0,92.86,87.5,0.36,0
338,,Moises Mosquera,0.38,0,50,54.7,0.38,0.92
339,,Alan Torres,0.25,0,40,30.77,0,0.25
340,,Salvador Reyes,0.06,0,44.44,49.28,0.31,0.5
341,,Jorge Berlanga,0,0,42.31,44.74,0,0.29
342,,Rafael Guerrero,0.4,0,66.67,65,0.5,0.9
343,,Raymundo Fulgencio,0,0.07,25,33.96,0.2,0.33
344,,Augusto Lotti,0,0,33.33,37.5,0.33,0
345,,Alejandro Mayorga,0.14,0,60,43.75,0,0.86
346,,Celso Ortiz,0.21,0,43.48,44,0.43,1.57
347,,Raúl Camacho,0.1,0,30,45.24,1,0.3
348,,Diego Campillo,0.4,0,14.29,39.29,0.4,0.2
349,,Santiago Muñoz,0.08,0,50,39.39,0.42,0.25
350,,Jesús Sánchez,0.2,0,50,56.76,0.2,0.6
351,,Jesús Dueñas,0,0,25,41.67,0.33,0.17
352,,Rodrigo Godinez,0,0,66.67,58.33,0.17,0.17
353,,Heriberto De Jesus,0.25,0,13.04,40.19,0.5,0.83
354,,Luis Amarilla,0.13,0.13,31.94,38.41,0.87,1
355,,Marco García,0.13,0,25,29.63,0,0.25
356,,Paolo Yrizar,0,0,33.33,62.5,0.5,0
357,,Angel Jordan,0,0,50,60,0,0.25
358,,Fernando Ordonez,0,0,100,66.67,0.33,0.33
359,,Jaime Gomez,0.23,0,45.16,51.26,0.85,1.08
360,,Mauricio Andre Isais,0.11,0,55.56,46.58,0.33,0.67
361,,Emilio Martinez,0.22,0,46.15,51.56,1,0.33
362,,Rodrigo Lopez,0.14,0,53.85,45.33,0.21,0.79
363,,Eduardo Armenta,0.17,0,16.67,40.35,0.25,0.5
364,,Pavel Pérez,0,0,16.67,40.43,0.67,0.22
365,,Dória,0.22,0,54.17,54.67,0.22,0.89
366,,José Joaquín Esquivel,0.38,0,37.5,47.95,0.54,0.46
367,,Alan Medina,0,0,18.75,39.25,0.77,0.38
368,,Juan Castro,0.09,0,25,48,0.45,0.45
369,,Martín Barragán,0.18,0,47.17,36.29,0.82,1
370,,Santiago Ormeño,0,0,35.29,46.15,0.43,0
