Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Bruno Varela,0,0,100,0,0,0,0,0,0,1.04,0.07,0,0.04,0.04,31.67,59.88,1.52,40.7,2.7,0.48,0.07,0,0.74,0.19,0.15,0,88.24,90,0.11,0,27
Pedrão,0.07,0.07,80.95,0.76,0.03,0,1.38,1.34,0,3.93,0,0.62,0.1,0,51.66,81.91,5.86,45.72,0,0.24,0,0,1.31,0.14,0.41,0,77.46,60.83,0.69,1.41,29
Vitinha,0.41,0.53,47.62,2.82,0,0,1.29,0.24,0,0.94,0,0.47,0.18,0.12,12.06,71.71,4.76,44.44,0,0.12,0,0,0.47,0.06,0.12,0,42.86,46.86,2,1.59,17
Fredrik Aursnes,0.07,0.21,51.52,0.82,0.07,0,1.5,1.14,0,0.5,0,0.89,0.18,0.14,55.68,86.34,17.93,64.23,0,0.46,0,0,0.43,0.07,0.18,0,47.73,46.39,0.36,0.89,28
Felipe Morato,0.11,0,100,0.33,0.11,0,1,0.78,0,2,0,0.22,0,0,54.11,90.35,3.78,50,0,0.56,0,0,0.44,0,0.22,0,65.52,58.18,0.33,1.11,9
Simon Banza,0.37,0.2,56.41,1.57,0.07,0,0.57,0.07,0,0.47,0,0.3,0.1,0.07,9.17,67.64,2.7,62.5,0,0.03,0,0,0.43,0.03,0.1,0,50,48.16,1.4,1.4,30
Gonçalo Inácio,0.03,0.12,89.47,0.45,0.03,0,1.18,1.36,0,1.91,0,0.55,0.12,0.09,70.15,90.02,9.79,65.54,0,0.21,0,0,0.73,0.12,0.12,0,60.19,58.82,0.36,0.73,33
João Correia,0,0.08,46.15,0.88,0,0,1,0.79,0,2.08,0,0.5,0.33,0.08,25.83,79.03,4,58.89,0,0.13,0,0,0.88,0.17,0.04,0,37.04,52.11,0.92,0.46,24
Samu,0.09,0.09,51.43,1.48,0,0,2.3,1.39,0,1.15,0,1.33,0.21,0.12,40.94,80.01,11.52,47.37,0,0.24,0,0,0.73,0.27,0.21,0,42.86,45.69,1.24,1.94,33
Carlos Ponck,0,0,80,0.67,0,0,1,1.33,0.05,4.05,0,0.19,0,0,43.62,87.55,2.48,51.65,0,0.33,0,0,0.9,0.14,0.24,0,65.15,59.5,0.19,0.95,21
