#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
331,,Ronald Ruiz,0,0,0,0,0,0
332,,Gino Roque,0,0,100,0.25,0,0
333,,Flavio Fernández,0.08,0,40,0.38,0,0
334,,Joao Villamarin,0.4,0.07,20,1,0.07,0
335,,Carlos Uribe,0.06,0.03,50,0.58,0,0
336,,Carlos Junior Huerto,0,0,33.33,0.33,0,0
337,,Mathias Llontop,0,0,66.67,0.27,0,0
338,,Junior Morales,0,0,0,0.06,0,0
339,,Jesús Pretell,0.05,0,100,0.29,0,0
340,,Carlos Correa,0.04,0,36.36,0.36,0,0
341,,Martín Parra,0,0,100,0,0,0
342,,Alexander Lecaros,0,0,46.15,0.47,0,0
343,,Oshiro Takeuchi,0.29,0.07,60,0.43,0,0
344,,Tiago Cantoro,0.25,0,0,0.25,0,25
345,,Paolo Méndez,0.25,0,40,0.5,0,0
346,,Kevin Peña,0.03,0.03,52.38,0.47,0,0
347,,Oswaldo Valenzuela,0,0,0,0.55,0,0
348,,José Bustamante,0,0,50,0.5,0,0
349,,Josimar Atoche,0,0,0,0.5,0,0
350,,Carlos Vidal Arroyo Molina,0.17,0.04,46.15,1.17,0.04,0
351,,Rodrigo Vilca,0.05,0.05,39.39,1.19,0,0
352,,Arquímedes Figuera,0,0,66.67,0.44,0,0
353,,Edgar Benítez,0.07,0.07,41.18,0.86,0,0
354,,Paolo Hurtado,0,0,0,0.14,0,0
355,,Rafael Guarderas,0,0,40,0.2,0,0
356,,Gustavo Viera,0,0,64.29,0.76,0,0
357,,Piero Serra,0,0,58.33,0.42,0,0
358,,Jorge Toledo,0.06,0,54.55,0.65,0,0
359,,Kleiber Palomino,0.11,0.11,0,1.11,0,0
360,,Oslimg Mora,0,0,58.82,0.67,0,0
361,,Christian Vasquez,0,0,62.5,0.25,0,0
362,,Jose Inga,0.04,0,58.33,0.48,0,0
363,,Christian Vargas,0,0,68,0.32,0,0
364,,Wilmer Aguirre,0.13,0.26,22.22,0.87,0,0
365,,Orlando Nuñez,0,0,57.14,0.26,0,0
