#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
213,,Aldair Salazar,0.03,0,27.93,72.43,3.23,36.32
214,,Kevin Serna,0.21,0.42,15.11,70.38,4.74,39.13
215,,Joyce Conde,0.11,0,10.68,63.55,2.68,0
216,,Joffré Escobar,0.03,0,13.69,74.56,4.45,56.25
217,,Axel Moyano,0.07,0.04,38.18,84.28,6.61,64.14
218,,Emilio Gutiérrez,0,0,18.63,63.76,1.88,34.29
219,,Diego Carabaño,0.06,0,13.13,80,4.63,63.27
220,,Tarek Carranza,0.05,0,29.41,78.67,5.23,59.22
221,,Renato Espinosa,0.03,0.03,8.23,68.42,1.87,53.85
222,,Gu Choi,0,0,21.42,67.32,1.08,30.67
223,,Jose Antonio Parodi,0.2,0,20.8,82.21,3.7,72.73
224,,Nicolás Ortíz,0.07,0,40.24,69.15,3.66,40.87
225,,Diego Chávez,0.11,0.18,14.25,71.18,4.25,45.24
226,,Hernán Rengifo,0.06,0,8.5,63.4,2.06,50
227,,Lucas Federico Trejo,0,0,55.17,86.44,4.31,49.13
228,,Jean Deza,0,0,20.42,77.14,7.25,55.88
229,,Manuel Tejada,0.12,0.12,26,78.73,6.18,50
230,,Gonzalo Verón,0.3,0.26,19.19,73.94,7.22,56.41
231,,Gabriel Tellas,0,0,7,54.17,1.17,22.22
232,,Luis Garcia,0,0.05,14.57,78.76,5.57,59.46
233,,Luciano Recalde,0.06,0.03,44.84,79.16,3.56,47.63
234,,Joao Grimaldo,0.14,0.14,15.05,80.36,5.73,60
235,,Arón Sánchez,0.05,0,32.59,66.39,3.09,39.08
236,,Ayrthon Quintana,0.18,0.07,29.04,74.78,5.96,40.68
237,,Giancarlo Carmona,0.1,0.06,29.94,69.61,5.32,30.77
238,,Sinclair García,0.67,0,10,63.33,3.33,40
239,,Jorge Murrugarra,0,0,32.23,80.54,5.18,48.54
240,,Nicolás Olivera,0.03,0,31.87,68.83,3.03,39.34
241,,Diego Soto,0.08,0.04,23.24,81.76,5.84,71.43
242,,Anthony Rosell,0.03,0,15.47,75,4.03,53.52
243,,Christian Ramos,0,0,31.91,84.9,3.27,54.74
244,,Alvaro Ampuero,0.04,0.04,27.23,73.16,2.65,38.18
245,,Juan Tuesta,0.09,0.04,32.52,71.52,6.13,44.44
246,,Juan Morales,0.1,0.07,42.97,84.43,7.69,49.14
247,,Arley Rodríguez,0.07,0.13,14.43,76.21,4.43,40
248,,Kevin Quevedo,0.2,0.2,11.2,73.21,5.16,44.44
249,,Relly Fernández,0.11,0.11,10.54,81.02,3.36,62.96
250,,Sebastián Gonzalez Zela,0.06,0,10,57.65,2.18,50
251,,Jesus Chavez,0.14,0.1,16.1,74.26,4.57,46.43
252,,Luis Ramírez,0.07,0.03,35.34,79.8,10.48,64.94
253,,Alexis Rodríguez,0.18,0.14,15.86,76.35,4.25,64.52
254,,Federico Nicosia,0,0,13.5,44.44,1.75,34.09
255,,Óscar Pinto,0,0,7.75,77.42,1.88,100
256,,Hugo Ancajima,0.12,0.18,20.82,75.14,3.47,28.77
257,,Jonathan Bilbao,0,0,23.12,73.54,1.47,39.22
258,,Jeickson Reyes,0.07,0.07,18.43,70.54,3.29,46.48
259,,Santiago Arias,0,0.03,30.86,78.77,4.93,56.03
260,,Aryan Romani,0.05,0.14,8.29,79.31,2.62,41.67
261,,Miguel Cornejo,0,0,17.29,86.39,4,61.9
262,,Fernando Pacheco,0.14,0.29,10.43,83.56,4.57,66.67
263,,Paulo De La Cruz,0.09,0.13,16.17,80.38,5.65,55
264,,Manuel Ganoza,0,0,16.95,76.4,1.29,48.28
265,,Kevin Moreno,0,0.05,32.24,74.89,4.43,50
266,,Piero Vivanco,0.04,0,22.67,81.05,7.04,62.79
267,,Erick Gonzales,0.05,0,24.1,77.18,3.85,40.3
268,,Charles Monsalvo,0.06,0.06,7.94,88.11,2.67,77.78
269,,Jhosep Nuñez,0,0,10.79,81.46,2.64,30
270,,Ángel Romero,0.08,0.08,32.52,85.36,4.92,49.44
271,,Cristian Mejia,0.03,0,26,80.24,3.83,38.46
272,,Walter Tandazo,0.07,0.03,22.03,82.79,4.41,54.55
273,,Elvis Payé,0,0.11,5.22,87.23,1.89,100
274,,Santiago Pallares,0,0,12.25,53.06,3.25,0
275,,Alexander Succar,0.08,0.16,12.68,74.13,4,45.45
276,,Mathias Carpio,0.08,0,13.72,74.93,5.44,67.86
277,,Adrian Gutierrez,0,0.06,20.71,67.33,3.82,39.24
278,,Jimmy Pérez,0.04,0.04,29.96,84.34,8.23,65.71
279,,Williams Guzmán,0,0.05,20.84,75.25,2,39.8
280,,Luis Machado,0.2,0.1,6.7,65.67,1.4,0
281,,Franco Medina,0.06,0.06,38.9,83.83,6.52,54.66
282,,Juan Diego Lojas,0,0.06,13.53,78.26,0.76,47.17
283,,Yorkman Tello,0,0,33.79,80.76,4.07,52.75
284,,Emilio Saba,0.13,0.07,17,72.94,3.93,32.43
285,,Jean Pierre Archimbaud,0.03,0.06,22.87,81.52,4.1,64.58
286,,Christian Velarde,0.07,0.07,19.87,79.19,3.47,46.88
287,,Claudio Torrejón,0,0,33.14,80.52,4.09,40.79
