#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
228,,Francois Marquet,0,0.07,16.43,82.61,3.93,35.71
229,,Dragoş Balauru,0,0,28.33,59.61,1.89,32.45
230,,Gabriel Iancu,0.08,0.08,18.92,70.26,5,45.83
231,,Daniel Florea,0.03,0.06,12.44,77.14,3.34,59.26
232,,Andreas Calcan,0.11,0.11,14.91,74.71,4.09,47.37
233,,Alexandru Crețu,0.12,0.09,27.09,78.61,5.79,49.33
234,,Robert Popa,0,0,29.95,67.73,1.24,39.33
235,,Modestas Vorobjovas,0.06,0.06,27.58,80.11,4.73,46.91
236,,Alexandru Mateiu,0,0,37.36,86.05,6.58,60
237,,David Kiki,0.08,0,31.16,75.59,5.84,40.86
238,,Mihai Roman II,0.09,0.09,16.34,66.16,3.84,63.16
239,,Sekou Camara,0.03,0,10.45,68.7,2.94,40
240,,Daniel Celea,0,0,38.68,74.83,2.32,40.89
241,,Takayuki Seto,0,0,31.23,83.81,5.8,60.66
242,,Matheus Mascarenhas,0,0,32.8,76.02,5,40.58
243,,Mimito Biai,0.18,0,39.18,81.67,6,64.71
244,,Erico da Silva,0,0,37.15,65.63,2.31,29.79
245,,Cosmin Atanase,0,0,7.09,65.38,1,50
246,,Jovan Marković,0.05,0.03,9.43,62.75,3.16,56.52
247,,Călin Popescu,0.1,0.07,15.03,74.28,5.03,53.85
248,,Giovanni,0,0.1,29.1,80.76,7.7,62.07
249,,David Lazar,0,0,22,77.27,0.33,43.55
250,,Georgi Pashov,0,0,20.75,66.57,3,24.14
251,,Carlo Casap,0.07,0.1,13.9,75.43,3.52,57.58
252,,Vitalie Damașcan,0.25,0,18.94,77.72,4.38,62.5
253,,Costinel Tofan,0.06,0.03,27.24,74.3,3.82,35.88
254,,Alexandru Ișfan,0.11,0.08,20.08,67.97,6.43,35.48
255,,Ștefan Târnovanu,0,0,21.54,63.74,0.92,37.36
256,,Petrişor Petrescu,0.06,0.09,15.62,74.76,2.94,39.68
257,,Claudiu Keșerü,0.04,0.04,12.73,65.86,3.81,61.11
258,,Liviu Antal,0.17,0.07,13.77,69.25,3.23,28.57
259,,Gabriel Eugen David,0.5,0.5,3.5,71.43,0,0
260,,Rachid Bouhenna,0,0,48.75,85.13,2.75,65.52
261,,George Micle,0,0,25.13,54.23,1.5,38.26
262,,Daniel Bîrligea,0.06,0,11.19,53.6,3.1,38.46
263,,Elvir Koljić,0.04,0.12,10.72,62.31,2.48,57.14
264,,Alexandru Iacob,0,0,42.63,83.28,5,56.52
265,,Valentin Coșereanu,0.04,0,9.91,77.63,3.39,70.59
266,,Rareș Sebastian Ispas,0,0,30.3,77.72,6.75,25.93
267,,Marko Vukčević,0.17,0.03,32.55,69.39,5.03,32.02
268,,Bogdan Țîru,0,0.2,11.4,80.7,1,80
269,,Cristian Ignat,0,0,33.67,86.14,1,50
270,,Jayson Papeau,0.1,0.1,11.55,68.4,2.95,50
271,,Christopher Braun,0.1,0.07,20.73,66.08,5.07,23.91
272,,Marius Cioiu,0.04,0.04,13,72.65,4.04,38.89
273,,Mihai Roman,0.06,0,6.61,68.91,2.33,22.22
274,,Billel Omrani,0.09,0.05,12.82,68.09,4.27,60
275,,Terrence Tisdell,0,0,6,70.83,0.75,75
276,,Ovidiu Popescu,0.06,0,22.76,75.71,4.82,50.77
277,,Ayrton Mboko-Sambeya,0.13,0.25,29,73.71,5.63,28.57
278,,Facundo Rizzi,0.19,0.06,32.06,77,5.63,35.09
279,,Sebastian Mladen,0,0,28,71.43,5.25,40
280,,Vlad Morar,0,0,12.52,77.19,4.43,41.67
281,,Cosmin Tucaliuc,0,0,3.83,84.78,0.83,100
282,,Mihai Radut,0.05,0,22.95,85.35,5.86,68.18
283,,Boban Nikolov,0,0,6.36,72.86,1,42.86
284,,Antoni Ivanov,0,0,37.06,80.29,6.85,51.4
285,,Alexandru Buziuc,0,0.04,12.96,61.72,2.92,39.47
286,,Shaquill Sno,0,0,27.37,78.68,5.03,47.13
287,,Radu Boboc,0.17,0,46.67,83.57,10.67,45.45
288,,Andrei Miron,0,0,42.79,87.65,0.36,48.65
289,,Andrei Serban,0.07,0.03,12,70,3.63,29.03
290,,Cristian Costin,0.09,0.03,24.71,77.92,5.74,56.92
291,,Mihai Lixandru,0,0.03,32.2,78.47,6.23,48.94
292,,Dan Sirbu,0.07,0.1,21.03,73.38,3.23,43.75
293,,Roberto Romeo,0,0,24,70.83,5.63,31.03
294,,Danilo Kucher,0,0,27.38,54.34,1.13,33.78
295,,Sekou Sidibe,0.05,0,11.26,79.91,4,27.27
296,,Adrian Ionuț Bălan,0.07,0,13.89,58.87,3.96,57.14
297,,Alin Dobrosavlevici,0,0,33.8,74.41,2.95,42.54
298,,Roland Varga,0,0,12.5,74,4,25
299,,Rivaldinho,0.17,0.13,9.57,67.27,2.43,50
300,,Stefan Milošević,0.06,0,12.25,64.29,3.06,71.43
301,,Virgile Pinson,0.17,0,11.06,73.37,3.33,42.86
302,,Cristian Neguț,0.29,0.23,24.34,63.38,7.57,41.96
303,,David Miculescu,0.08,0,10,67.69,2.67,39.13
304,,Andrei Borza,0.06,0.09,20.76,73.58,4.48,35.59
305,,Ivan Goranov,0.13,0.13,19.88,76.73,2.88,31.58
306,,Vlad Mitrea,0,0,27,77.78,4,0
307,,Andrei Militaru,0,0,2,50,1,0
308,,Adrian Gîdea,0,0,3.75,73.33,1.5,0
309,,Rijad Sadiku,0,0,38.32,81.46,2.21,38.83
310,,Philip Otele,0,0,17.79,73.55,4.47,45.28
311,,Kevin Koubemba,0,0,13.36,67.91,2.43,50
312,,Cristi Bărbuț,0.08,0.08,10.32,70.16,3.84,46.67
313,,Alexandru Oroian,0.09,0.03,16.03,73.35,3.64,15
314,,Andrei Pițian,0,0,36.59,79.25,1.45,38.82
315,,Godberg Cooper,0.04,0.04,8.56,51.52,1.59,12.5
316,,Anass Achahbar,0.21,0.07,10.71,72.67,4.79,14.29
317,,Anton Maglica,0.1,0,6.5,58.46,1.8,100
318,,Nicolae Carnat,0,0,18.62,68.18,5.31,30.95
319,,Florin Purece,0,0,17.79,86.35,3.14,63.16
320,,Wesley Jobello,0.03,0.06,12.32,78.01,3.26,54.55
321,,Franco Mussis,0.17,0.08,27.67,80.72,7.5,56.1
322,,Ionuț Biceanu,0,0,32.24,76,5.95,55.29
323,,Vesel Limaj,0.07,0.07,20,85,5,53.85
324,,Dorian Bertrand,0.04,0.08,11.54,78.7,3.33,75
325,,Fábio Vianna,0,0,24,67.78,3.47,32.14
326,,Tiberiu Căpuşă,0.06,0,30.21,68.16,4.85,30.11
327,,Christian Irobiso,0.13,0.09,15.88,61.81,4.5,54.76
328,,Florin Borța,0.08,0.04,22.85,64.81,3.73,31.91
329,,Radu Negru,0.14,0.06,32.49,75.37,6.09,25.62
330,,Gabriel Simion,0,0,33.12,87.8,3.76,63.33
331,,Ionuț Şerban,0.17,0,15.33,79.71,3.94,41.67
332,,Xian Emmers,0.17,0,26.58,83.7,8.58,43.24
333,,Alexandru Pantea,0.18,0.18,27.76,74.79,4.06,27.87
334,,Hélder Tavares,0.03,0.03,17.79,82.64,3.18,44.44
335,,Junior Tallo,0,0,17.25,76.81,5.25,100
336,,Zorhan Bassong,0,0,34.5,76.09,7,27.78
337,,Andrei Burlacu,0,0,5.17,75.81,1.5,50
338,,Adrian Ionita,0.04,0,24.19,63.09,2.63,26.98
339,,Kevin Doukoure,0,0.04,11.67,71.11,2.52,40.43
340,,Jérémy Corinus,0,0,22.67,72.3,1.44,31.67
341,,Valerică Găman,0,0.07,35.6,84.46,1.47,42.86
342,,Benjamin van Durmen,0.04,0,19.04,80.46,3.92,40
343,,Dragoș Tescan,0.08,0.17,14.17,64.12,3.25,44.44
344,,Aly Abeid,0.1,0.05,33.48,68.28,6.95,39.44
345,,Juraj Badelj,0,0,38,82.33,3.86,37.04
346,,Enriko Papa,0,0,18.63,74.5,1.69,55.56
347,,Ionuț Balaur,0,0,33.08,73.16,2.6,31.88
348,,Iasmin Latovlevici,0.09,0,24.18,73.31,4,41.51
349,,Nasser Chamed,0.05,0.05,13.37,76.77,2.95,47.06
