#,Team,Name,Tackles,Errors lead to goal,Interceptions,Penalty committed,Clearances,Dribbled past
380,,Luiz Henrique,1.45,0,0.42,0,0.39,0.73
381,,Juan Cala,0.67,0,0.33,0,4,0.33
382,,Francisco Portillo,0.48,0,0.26,0,0.26,0.48
383,,Alberto Moreno,0.96,0,0.96,0,0.96,0.54
384,,Josan,0.96,0,0.27,0.04,0.46,0.5
385,,Manuel Sánchez,1.65,0,0.45,0,1.23,0.97
386,,Arnaut Danjuma,0.3,0,0,0,0.1,0.1
387,,José Carlos Lazo,0.45,0,0.27,0,0.45,0
388,,Martin Hongla,1.13,0,0.5,0.06,2.88,0.63
389,,Ismaila Ciss,1.22,0,0.69,0,1.06,0.59
390,,Enzo Roco,1.5,0.05,0.82,0.18,2.77,0.41
391,,Álvaro Fernández,0,0.18,0,0,0.64,0
392,,Iván Martín,0.38,0,0.38,0,0.46,0.63
393,,Gonçalo Paciência,0.32,0,0,0,0.16,0.2
394,,Aihen Muñoz,1.65,0,0.39,0,1.35,1.09
395,,Djené,1.24,0,1.27,0.06,2.3,0.48
396,,Pape Gueye,2.31,0,1.38,0,0.63,1.06
397,,Luca Koleosho,0.5,0,0,0,0,0.25
398,,Clément Grenier,0.95,0,0.29,0,0.29,0.48
399,,Kaiky,0.38,0,0.85,0.08,2.15,0.31
400,,Haissem Hassan,0,0,0.5,0,0,1
401,,Alexander Callens,0.5,0,0.17,0,1,0.17
402,,Iddrisu Baba,1.07,0,0.38,0,1.14,0.59
403,,Rafa Mir,0.31,0,0.15,0,0.42,0.12
404,,Gastón Álvarez,1.73,0,0.68,0.05,1.45,0.86
405,,Mikel Oyarzabal,0.57,0,0.13,0,0.17,0.61
406,,Jaime Mata,0.72,0,0.17,0,0.28,0.83
407,,Marcos André,0.24,0,0,0,0,0.06
408,,Javier Guerra,1.6,0,1.1,0,0.9,1.1
409,,Pablo Marín,1,0,0.4,0,0.2,0.5
410,,Iker Munoz,0.13,0,0.38,0,1,0.38
411,,Pablo Barrios,0.9,0.05,0.43,0,0.24,0.33
412,,Dennis Hadžikadunić,1.13,0,0.38,0,3.38,0
413,,Rubén Sobrino,1.67,0,0.73,0,0.48,1
414,,Fidel,0.56,0,0.19,0,0.26,1.26
415,,Sergio Reguilón,0.64,0,0.18,0,0.18,0.18
416,,Cristhian Mosquera,1.33,0,0.33,0,1,0.33
417,,Carlos Martín,0.5,0,0.25,0,0,0.25
418,,Fede San Emeterio,1.24,0,0.52,0,0.82,0.73
419,,Víctor Chust,0.64,0,0.71,0.07,3.79,0.21
420,,Oier Zarraga,0.54,0,0.38,0,0.19,0.46
421,,Keidi Bare,0.83,0,0.61,0,0.39,0.33
