#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
263,,Boris van Schuppen,0,0,50,0.83,0,0
264,,Dylan Timber,0,0,100,0.2,0,0
265,,Pascu,0.11,0.05,26.67,1.27,0,0
266,,Mees Kaandorp,0.12,0.08,60,0.88,0,0
267,,Nick Twisk,0,0,37.5,0.16,0,0
268,,Mylian Jimenez,0.05,0,62.5,0.36,0,0
269,,Tommy St. Jago,0,0,66.67,0.43,0,0
270,,Marcelencio Esajas,0,0,70,0.07,0,0
271,,Daan Huisman,0.13,0.13,38.46,1.19,0,0
272,,Amar Ćatić,0.03,0.06,48.57,0.38,0,0
273,,Joey Houweling,0,0,0,0,0,0
274,,Devin Haen,0.28,0.21,26.67,1.34,0.21,0
275,,Mario Bilate,0.09,0.14,40,1.32,0,0
276,,Siem de Jong,0.19,0.08,54.55,1.12,0.04,0
277,,Sven Zitman,0.09,0,83.33,0.36,0,0
278,,Mitch Apau,0.03,0.03,58.82,0.16,0.03,0
279,,Mateja Milovanović,0,0,71.43,0.25,0,0
280,,Charlison Benschop,0.19,0.23,22.22,1.58,0.03,0
281,,Xandro Schenk,0,0.05,0,0.35,0,0
282,,Xander Lambrix,0,0,28.57,0.29,0,0
283,,Pjotr Kestens,0.1,0.05,52,0.81,0,0
284,,Clint Essers,0.05,0,60,0.25,0,0
285,,Livano Comenencia,0.03,0,50,0.27,0,0
286,,Patrickson Delgado,0,0,71.43,0.56,0,0
287,,Amir Absalem,0,0.13,33.33,0.31,0,0
288,,Loek Postma,0,0.05,70,0.23,0,0
289,,Romano Postema,0.16,0.1,45.45,1.16,0.03,0
290,,Rick Stuy van den Herik,0.15,0.04,47.37,0.59,0.04,0
291,,Ilounga Pata,0.04,0,42.11,0.04,0,0
292,,Gylermo Siereveld,0,0,0,0,0,0
293,,Florian Mayer,0,0,0,0.1,0,0
294,,Richard Sedláček,0,0,57.89,0.56,0,0
295,,Sacha Komljenovic,0.09,0,60,1,0.09,0
296,,Joshua Rawlins,0,0,54.55,0.29,0,0
297,,Ivar Jenner,0,0,58.06,0.38,0,0
298,,Sam Kersten,0,0.05,100,0.37,0,0
299,,Anwar Bensabouh,0.03,0.03,41.18,1.14,0,0
300,,Rein Smit,0.2,0,50,0.67,0,0
301,,Martijn Berden,0.17,0.08,40,1,0,0
302,,Marko Kleinen,0.08,0,55,0.46,0,0
303,,Rodrigo Rêgo,0,0,0,0.2,0,0
304,,Jamie Yayi Mpie,0.11,0.11,100,0.44,0,0
305,,Aimé Omgba,0.06,0,65.22,1,0,0
306,,Gibson Yah,0,0,58.33,0.27,0,0
307,,Lasse Wehmeyer,0.2,0.05,37.5,0.5,0.05,0
308,,Michael Chacón,0,0,50,0.47,0,0
309,,Jurre van Aken,0.1,0,42.11,0.38,0,0
310,,Robin Lathouwers,0.09,0.03,52,0.44,0,0
311,,Levi Smans,0,0.08,46.67,0.85,0,0
312,,Daishawn Redan,0,0,25,2,0,0
313,,Chahine Van Bohemen,0,0,0,0,0,0
314,,Kjeld van den Hoek,0,0,0,0,0,0
315,,Lennard Hartjes,0.06,0.03,62.86,0.33,0,0
316,,Jan Lammers,0,0.06,0,0.41,0,0
317,,Nikolaj Möller,0.18,0.05,33.33,0.95,0.09,0
318,,Kristofer Ingi Kristinsson,0,0,40,0.57,0,0
319,,Ronald Koeman Jr,0,0,100,0,0,0
320,,Amin Doudah,0,0,55.38,0.85,0,0
321,,Moussa Sanoh,0.09,0,63.64,0.36,0,0
322,,Şahverdi Çetin,0.13,0,58.62,1.47,0,0
