#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
297,,Ivar Jenner,2.23,1.62,0,0.77,0,0.85
298,,Sam Kersten,1.32,0.79,0,0.84,0,0.47
299,,Anwar Bensabouh,1.41,1.07,0,0.72,0,1.03
300,,Rein Smit,0.13,0,0,0.27,0,0
301,,Martijn Berden,1.17,0.08,0,0.17,0,0.42
302,,Marko Kleinen,1.73,0.92,0,1.12,0,0.96
303,,Rodrigo Rêgo,1.33,0.87,0,1.13,0,0.33
304,,Jamie Yayi Mpie,0.11,0,0,0,0,0.11
305,,Aimé Omgba,0.76,0.53,0,0.59,0,0.53
306,,Gibson Yah,1.18,1.64,0,1.73,0,0.27
307,,Lasse Wehmeyer,0.4,0.1,0,0.15,0,0.1
308,,Michael Chacón,2.32,0.89,0,1,0,0.74
309,,Jurre van Aken,3.14,1.38,0,1.48,0,0.86
310,,Robin Lathouwers,1.65,0.88,0,1.35,0,0.21
311,,Levi Smans,0.77,0,0,0.08,0,0.31
312,,Daishawn Redan,0,0,0,0,0,0
313,,Chahine Van Bohemen,3,2,0,2,0,0
314,,Kjeld van den Hoek,0.5,0,0,0,0,0
315,,Lennard Hartjes,1.3,0.76,0.03,0.64,0,0.3
316,,Jan Lammers,0.82,0.53,0.06,1.94,0.06,0.18
317,,Nikolaj Möller,0.18,0.05,0.05,0.41,0,0.18
318,,Kristofer Ingi Kristinsson,0.79,0.14,0,0.21,0,0.07
319,,Ronald Koeman Jr,0,0,0.03,0.45,0,0
320,,Amin Doudah,1.3,0.6,0,0.55,0,0.65
321,,Moussa Sanoh,0.45,0,0,0,0,0.09
322,,Şahverdi Çetin,2.67,1,0,0.73,0,2.27
323,,Tom Boere,0.25,0.13,0,0.13,0,0
324,,Sem Scheperman,1.1,0.35,0,0.15,0,0.35
325,,Terrence Douglas,1.57,1.53,0,1.8,0,0.63
326,,Jayden Turfkruier,1.77,0.59,0,0.55,0,0.73
327,,Lorenzo Pique,2,1.61,0,3.58,0,0.42
328,,Thijs Oosting,0.83,0.58,0,0.33,0,1.17
329,,Orestis Kiomourtzoglou,2,1,0,0.33,0,0.67
330,,Iggy Houben,1.33,0,0,0,0,0
331,,Moritz Nicolas,0,0,0,0.53,0,0.07
332,,Mike Havekotte,0,0,0,0.66,0.03,0.05
333,,Thijs van Leeuwen,1.77,0.69,0,0.38,0,1
334,,Tibo Persyn,2.17,1.37,0.03,1.5,0,1.13
335,,Daniel Deen,0,0,0,0.75,0.13,0.25
336,,Reda Akmum,0.7,0.9,0,1.5,0,0.1
337,,Bartłomiej Smolarczyk,1.46,1.38,0,2.23,0,0.23
338,,Ted Van de Pavert,0.43,0.26,0,1.39,0.04,0.13
339,,Gabi Caschili,1.08,0.38,0,0.15,0,0.15
340,,Kjell Peersman,0.11,0.06,0,1.33,0,0
341,,Freek Heerkens,0.58,0.47,0,1.58,0,0.26
342,,Jaydon Banel,0.5,0.15,0.04,0.19,0,0.35
343,,Sylian Mokono,1.5,0.4,0,1.4,0,0.2
344,,David Mistrafović,1.75,0.92,0,1.33,0,0.92
345,,Jarno Lion,1.89,1.44,0,1.39,0,0.78
346,,Joshua Sanches,1.67,1.28,0,0.89,0,0.06
347,,Dani Mathieu,0.27,0.13,0,0.07,0,0.2
348,,Vincent Schippers,2.08,0.75,0,1.33,0,1.21
349,,Arjen Van Der Heide,0.65,0.1,0,0.23,0,0.35
350,,Jeremy Bokila,0.41,0.06,0,0.24,0,0.21
351,,Dennis Vos,0.67,1.33,0,2.86,0.05,0.24
352,,Dylan Ryan,0.53,1.13,0,2.6,0,0.27
353,,Max Svensson,0.95,0.38,0,0.65,0,0.46
354,,Roy Kortsmit,0.05,0.03,0,0.76,0.03,0.08
355,,Ibane Bowat,1.06,2,0,3.94,0,0.19
356,,Rav van den Berg,0.88,1.12,0,1.82,0,0.41
