#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
308,,Michael Chacón,0.26,0,48.28,52.78,0.68,1.05
309,,Jurre van Aken,0.05,0,55.17,57.69,0.71,0.81
310,,Robin Lathouwers,0.06,0,44.19,59.66,0.5,0.5
311,,Levi Smans,0.08,0,40,42.31,0.77,0.92
312,,Daishawn Redan,0.5,0,50,30.77,1,1
313,,Chahine Van Bohemen,0,0,0,66.67,1,0
314,,Kjeld van den Hoek,0,0,0,50,0,0
315,,Lennard Hartjes,0.03,0,40.43,50,0.42,0.58
316,,Jan Lammers,0.06,0,68.42,64.29,0.29,0.59
317,,Nikolaj Möller,0.05,0.05,58.4,48.82,0.18,0.73
318,,Kristofer Ingi Kristinsson,0,0,46.34,49.43,0.79,0.43
319,,Ronald Koeman Jr,0.12,0.03,100,86.67,0.18,0.06
320,,Amin Doudah,0.1,0,36.84,49.25,1.5,1
321,,Moussa Sanoh,0.09,0,50,50,0.09,0.55
322,,Şahverdi Çetin,0.2,0,32.14,43.86,0.6,1.47
323,,Tom Boere,0,0,42.42,41.67,0.38,0.63
324,,Sem Scheperman,0,0,42.86,59.09,0.25,0.3
325,,Terrence Douglas,0.17,0,60,50.51,1.3,1.1
326,,Jayden Turfkruier,0.05,0,57.89,43.98,0.5,2.14
327,,Lorenzo Pique,0.15,0.03,52.5,67.86,0.52,0.45
328,,Thijs Oosting,0.08,0,11.11,38.46,1.17,0.67
329,,Orestis Kiomourtzoglou,0.33,0,0,54.55,0,1
330,,Iggy Houben,0,0,0,66.67,0,0.33
331,,Moritz Nicolas,0,0,100,75,0.07,0
332,,Mike Havekotte,0.08,0,66.67,68.75,0.11,0
333,,Thijs van Leeuwen,0.15,0,34.78,43.38,1.08,1.08
334,,Tibo Persyn,0.13,0,48.65,46.48,0.43,0.67
335,,Daniel Deen,0.13,0,100,75,0.13,0
336,,Reda Akmum,0,0,66.67,61.11,0.1,0.3
337,,Bartłomiej Smolarczyk,0.08,0,57.14,59.65,0.23,0.69
338,,Ted Van de Pavert,0.09,0,58.93,56.82,0.26,0.48
339,,Gabi Caschili,0.15,0,46.67,46.3,0,0.69
340,,Kjell Peersman,0.11,0,80,85.71,0,0
341,,Freek Heerkens,0.11,0,41.03,56.34,0.68,0.21
342,,Jaydon Banel,0.04,0.04,33.33,41.67,1.31,0.65
343,,Sylian Mokono,0,0,30.77,44.23,0,0.9
344,,David Mistrafović,0.08,0,44,42.42,0.5,1.75
345,,Jarno Lion,0.22,0,46.43,49.61,0.72,1.44
346,,Joshua Sanches,0.11,0,47.5,56.67,0.89,1.11
347,,Dani Mathieu,0.07,0,50,56.1,0.73,0.27
348,,Vincent Schippers,0.17,0,60,50.32,0.21,1.08
349,,Arjen Van Der Heide,0.1,0,40,38.42,0.58,0.65
350,,Jeremy Bokila,0.21,0,50.25,44.02,0.76,0.94
351,,Dennis Vos,0.05,0,51.72,48.62,0.33,0.86
352,,Dylan Ryan,0.07,0,59.46,56.25,0.4,0.4
353,,Max Svensson,0.11,0,51.22,44.78,0.62,0.54
354,,Roy Kortsmit,0.11,0.03,100,75,0.11,0.03
355,,Ibane Bowat,0.13,0,62.26,60.95,0.75,0.88
356,,Rav van den Berg,0,0,57.14,55.06,0.29,0.65
357,,Ro-Zangelo Daal,0,0,0,56,0.58,0.17
358,,Jelle Goselink,0.04,0,47.54,43.02,0.76,0.88
359,,Hicham Acheffay,0,0,40,57.69,0.5,0.14
360,,Mitchell van Rooijen,0.13,0,50,43.27,0.38,0.66
361,,Lynden Edhart,0.1,0,33.33,46.07,0.5,0.7
362,,Jop van den Avert,0.26,0,53.25,49.78,0.34,1.11
363,,Danzell Gravenberch,0,0,11.11,28.36,0.63,0.58
364,,Casper Staring,0.05,0,59.52,52.6,0.53,0.74
365,,Mees Kreekels,0.18,0,41.38,51.3,0.55,0.45
366,,Gabriel Misehouy,0.04,0,16.67,38.53,0.41,0.33
367,,Mees Rijks,0.03,0.03,31.25,36.94,0.79,1.06
368,,Koen Oostenbrink,0.16,0,50,38.57,0.05,0.74
369,,Joeri Schroyen,0.06,0,0,29.17,0.17,0.17
370,,Ilias Boumassaoudi,0,0,100,45.45,1,0
371,,Ruben Ligeon,0,0,0,50,0,0.25
372,,Faiz Mattoir,0,0,66.67,46.15,1.4,0.8
373,,Joep van der Sluijs,0,0,15.38,44.19,0.33,0.33
374,,Håkon Evjen,0,0,0,60,1,1
375,,Stan Wevers,0,0,0,0,0,1
376,,Jorn Berkhout,0,0,100,100,0,0
377,,Anthony Smits,0,0,0,0,0,0
378,,Sven Roos,0,0,0,0,0,0
379,,Fatihi Zakaria,0,0,100,100,0,0
380,,Norbert Alblas,0,0,100,100,0,0
381,,Jesper Uneken,0.25,0,100,57.14,0,0.75
382,,Nicolas Abdat,0,0,50,76.19,1,0.2
383,,Rody de Boer,0.17,0,100,100,0,0
384,,Charlie Setford,0,0,100,71.43,0.11,0
385,,Vasilios Pavlidis,0,0,55.56,57.14,0.4,0.5
386,,Niek Vossebelt,0.29,0,55.41,47.95,0.59,1.53
387,,Faris Hammouti,0.22,0,47.06,48.07,0.94,1.31
388,,Tristan Gooijer,0.17,0,66.67,56.32,0.92,0.79
389,,Guillem Rodríguez,0.05,0.05,52.17,52.63,0.95,0.82
390,,Tim Receveur,0.19,0,47.83,43.83,0.57,1.62
391,,Joel Valencia,0.11,0,40,43.24,0.72,0.83
392,,Yahya Boussakou,0.04,0,30,43.59,0.96,0.46
393,,Rik Mulders,0.21,0,50,55.94,1.29,0.76
394,,Mika Godts,0,0.09,66.67,45.97,1.09,0.82
395,,Gervane Kastaneer,0.09,0,68.09,49.21,0.3,1
396,,Sami Ouaissa,0,0,33.33,44.52,1.38,0.62
397,,Gabriel Culhaci,0.09,0.05,40.91,53.54,0.27,0.64
398,,Rowan Besselink,0.1,0,41.67,51.28,0.29,0.57
399,,Navajo Bakboord,0.2,0,52.63,51.91,0.5,0.95
400,,Başar Önal,0.03,0,27.27,38.78,0.95,0.76
401,,Kyvon Leidsman,0.04,0,33.33,40.52,0.81,0.81
402,,Daniël Beukers,0,0,42.86,53.66,0.29,0.86
403,,Jordy Wehrmann,0.05,0.05,60,46.67,0.2,0.6
404,,Joshua Smits,0,0,100,100,0.18,0
405,,ArJany Martha,0.1,0,57.14,41.9,0.57,0.63
406,,Carl Johansson,0.04,0,44.44,44.38,1.15,0.52
407,,Tim Zeegers,0.05,0,54.55,52.05,0.14,0.67
408,,Lars Schenk,0.26,0,34.38,53.59,0.58,1.47
409,,Dailon Rocha Livramento,0.14,0,44.44,35.78,0.18,0.68
410,,Misha Engel,0.13,0,30,44.87,0.38,0.66
411,,Jordy van der Winden,0.33,0,18.18,52.38,1.44,0.78
412,,Lamine Diaby-Fadiga,0.08,0,51.11,48.3,0.63,0.58
413,,Mateo Leš,0.18,0.06,54.17,53.97,0.18,0.53
414,,Nigel Bertrams,0.05,0,87.5,75,0.03,0
415,,Evangelos Patoulidis,0.04,0,45,53.15,0.69,0.5
416,,Kees Smit,0,0,50,42.86,0,0.25
417,,Sten Kremers,0,0,0,0,0,0
418,,Quinten Van den Heerik,0,0,20,20,0,0.13
419,,Rafik el Arguioui,0.13,0,0,50,0.5,0.63
420,,Delano Ladan,0,0,50,48.92,1,0.67
421,,Teun Bijleveld,0.11,0,40,52.45,0.7,0.56
422,,Fedde Leysen,0.13,0,58.02,53.3,0.34,1
