#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
229,,Soner Dikmen,0.03,0.03,34.13,87,4.72,68.07
230,,Aaron Appindangoyé,0,0,38.72,79.63,1.89,37.86
231,,Uğurcan Çakır,0,0,28.13,59.06,1.71,37.21
232,,Leke James,0,0,10.79,72.19,2.93,50
233,,Tayfur Bingöl,0.2,0.07,17.97,85.16,4.57,51.43
234,,Jimmy Durmaz,0,0,42.85,83.12,8.62,72.31
235,,Olarenwaju Kayode,0.09,0,10,77.27,2.45,33.33
236,,Erdoğan Yeşilyurt,0.17,0,27.3,74.85,8.17,39.06
237,,Burak Öksüz,0,0,37.27,81.22,1.82,41.27
238,,Geraldo,0.24,0.14,19.62,70.47,6.62,41.86
239,,Emiliano Viviano,0,0,35.76,70.89,0.65,42.46
240,,Ali Karimi,0.1,0,31.9,81.35,6.5,53.25
241,,Emre Kılınç,0.17,0.07,25.87,72.68,7.73,55.56
242,,Ermir Lenjani,0.11,0.11,22.06,73.55,4.17,38.1
243,,Ali Şaşal Vural,0.03,0,27.97,63.89,1.37,44.72
244,,Helton Leite,0,0,28.18,70.77,0.88,38.25
245,,Valentin Rosier,0.19,0.11,38.59,82.63,7.52,50.34
246,,Ángelo Sagal,0,0,18.4,75,4.53,45
247,,Rúben Ribeiro,0.11,0.05,46.95,89.91,9.32,65.88
248,,Daniel Candeias,0.37,0.11,26.37,71.21,7.22,41.89
249,,Jesse Sekidika,0.54,0.08,16,77.4,4.54,65.22
250,,Faruk Can Genç,0.08,0.08,16.23,80.09,3.15,50
251,,Kerim Frei,0.06,0,11.33,85.78,4.06,66.67
252,,Ayoub El Kaabi,0.33,0.14,21.95,74.4,5.19,54.17
253,,Antonio Mršić,0.17,0.07,12,66.67,2.23,59.65
254,,Görkem Sağlam,0.1,0,33.66,82.07,7.86,58.06
255,,Barış Alper Yılmaz,0.04,0.08,11.16,75.99,4,54.55
256,,Artem Dzyuba,0,0,9.5,76.32,2.25,50
257,,Emre Mor,0.21,0.07,15.36,77.91,5.18,68.42
258,,Robin Yalçın,0.05,0.05,26.32,82.9,4.95,69.62
259,,Birkir Bjarnason,0.11,0.22,7.22,69.23,2,0
260,,Mert Hakan Yandaş,0.07,0.07,24.6,85.09,8.2,66.67
261,,Zymer Bytyqi,0.37,0.05,21.37,81.53,6.16,53.33
