#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
359,,Emir Kaan Gültekin,0.07,0.19,58.33,1.07,0,0
360,,Gökdeniz Bayrakdar,0.15,0,35.29,0.69,0,0
361,,Nihad Mujakić,0,0,63.64,0.16,0,0
362,,Burak Bekaroğlu,0,0,100,0.8,0,0
363,,Ognjen Vranješ,0,0,60,0.07,0,0
364,,Ziya Erdal,0,0,57.14,0,0,0
365,,Gökhan Sazdağı,0.03,0.03,55.56,0.77,0,0
366,,Brandley Kuwas,0.04,0,56.14,0.89,0,0
367,,Clinton N'Jie,0.07,0.17,37.14,1.17,0,0
368,,Salih Dursun,0.05,0,25,0.36,0,0
369,,Ruud Boffin,0,0,0,0,0,0
370,,Onurcan Piri,0,0,0,0,0,0
371,,Mehdi Boudjemaa,0,0,70.59,0.47,0,0
372,,Lazar Marković,0.19,0.22,58,0.96,0.04,0
373,,Hakan Arslan,0.03,0.03,33.33,0.59,0,0
374,,Jesé Rodríguez,0.14,0.07,50,0.86,0,0
375,,Fedor Kudryashov,0,0,0,0,0,0
376,,Kadir Seven,0,0,0,0.2,0,0
377,,Giorgi Beridze,0.14,0.21,30.61,1.45,0.03,0
378,,Demeaco Duhaney,0.06,0.17,51.43,0.44,0,0
379,,Idrissa Doumbia,0.08,0.04,64.86,0.64,0,0
380,,Domagoj Pavičić,0,0.14,50,0.43,0,0
381,,Mustafa Eskihellaç,0.05,0,63.41,0.84,0,0
382,,Mamadou Fall,0.24,0.35,36.21,1.32,0,0
383,,Junior Caiçara,0,0,25,0.17,0,0
384,,Strahil Popov,0,0,42.11,0.27,0,0
385,,Famara Diédhiou,0,0,0,0.5,0,0
386,,Muhammet Arslantaş,0,0,0,1,0,0
387,,Taha Altıkardeş,0,0,0,0,0,0
388,,Admir Mehmedi,0,0,100,0.3,0,0
389,,Jeffrey Bruma,0,0,100,0.1,0,0
390,,Murat Cem Akpinar,0,0.03,47.06,0.27,0,0
391,,Endri Çekiçi,0.1,0.2,48.28,2,0,0
392,,Raoul Petretta,0.11,0,40,0.22,0,0
393,,Yasin Güreler,0.07,0,30,0.43,0,0
394,,Serkan Göksu,0,0,61.9,0.28,0,0
395,,Ramazan Civelek,0.07,0.03,51.85,0.52,0,0
396,,Mert Çetin,0,0.1,100,0.1,0,0
397,,Henry Onyekuru,0.29,0.39,29.41,1.64,0.04,0
398,,Emrecan Uzunhan,0,0.07,80,0.27,0,0
399,,Adel Bettaieb,0,0,31.58,0.9,0,0
400,,Davide Biraschi,0.07,0,48.15,0.38,0.07,0
401,,Britt Assombalonga,0.17,0.17,38.46,1.25,0.08,0
402,,Valmir Veliu,0.06,0,40,0.38,0,0
403,,Cebrail Karayel,0,0,66.67,0.06,0,0
404,,Sadik Bas,0,0,100,0,0,0
405,,Arnaud Lusamba,0.04,0.07,51.43,0.25,0,0
