#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
415,,Sinan Gümüş,0,0,0,0,0.36,0
416,,Dylan Saint-Louis,0,0,0,0,0.75,0.13
417,,Ufuk Akyol,0,0.08,0,0,1.04,0.08
418,,Anthony Uzodimma,0,0.06,0,0,1.06,0.38
419,,Alassane Ndao,0,0,0,0,0.74,0
420,,Ahmet Engin,0,0,0,0,0.59,0.07
421,,Yusuf Yazıcı,0,0,0,0,0.77,0.08
422,,Berat Ayberk Özdemir,0,0,0,0,0,0
423,,Ahmet Gülay,0,0,0,0,0,0
424,,Erkan Eyibil,0,0,0,0,0,0
425,,Hamza Jaganjac,0,0,0,0,0,0
426,,Arda Unyay,0,0,0,0,0,0
427,,Efecan Mizrakci,0,0,0,0,0,0
428,,Samuel Nongoh,0,0,0,0,0,0
429,,Ayberk Kaygisiz,0,0,0,0,0,0
430,,Edgar Ié,0,0,0,0,1,0
431,,Ali Kaan Güneren,0,0,0,0,0.33,0
432,,Serkan Asan,0,0,0,0,0.25,0.5
433,,Luka Stankovski,0,0,0,0,0.4,0
434,,Talha Sariarslan,0,0,0,0,0.17,0
435,,Patrick Ebert,0,0,0,0,0.71,0
436,,Simon Falette,0,0,0,0,1.25,0.13
437,,Halil Ibrahim Pehlivan,0,0,0,0,0.7,0
438,,Sherel Floranus,0,0.08,0,0,0.67,0
439,,Ramón Arias,0,0.16,0,0,1.29,0.32
440,,Djaniny,0,0.06,0,0,0.76,0.06
441,,Kader Keïta,0,0.07,0,0,1.4,0.13
442,,Hasan Ali Kaldırım,0,0.07,0,0,1.5,0.14
443,,Daniel Graovac,0,0.14,0,0,1.5,0.07
444,,Tomáš Pekhart,0,0,0,0,0.5,0
445,,Fabiano Silva,0,0.22,0,0,1.44,0.11
446,,Firatcan Üzüm,0,0,0,0,1,0.1
447,,Kerem Şen,0,0,0,0,0.57,0.29
448,,Samed Onur,0,0,0,0,0.67,0
449,,Tunay Torun,0,0,0,0,0.44,0.11
450,,Mustafa Pektemek,0,0,0,0,0.42,0.17
451,,Ömürcan Artan,0,0,0,0,1.2,0
452,,Yusuf Demir,0,0,0,0,0.4,0
453,,Otabek Shukurov,0,0.07,0,0,1.14,0.32
454,,Ersin Destanoğlu,1.44,0.33,0.11,0,0.78,0.44
455,,Jordy Caicedo,0,0,0,0,0.79,0
456,,Anwan Lawrence,0,0,0,0,0.89,0
457,,Mesut Özil,0,0,0,0,0,0
458,,Bevic Moussiti Oko,0,0,0,0,0,0
459,,Adi Mehremić,0,0,0,0,0.67,0.33
460,,Oğulcan Ülgün,0,0,0,0,0.61,0.11
461,,Rahmetullah Berisbek,0,0,0,0,0.5,0.17
462,,Bright Osayi-Samuel,0,0.09,0,0,0.83,0.09
463,,Oğulcan Çağlayan,0,0,0,0,0.5,0.13
464,,Konrad Michalak,0,0,0,0,0.73,0.08
465,,Oğuzhan Berber,0,0.06,0,0,1.28,0.33
466,,Serginho,0,0.07,0,0,1.28,0.24
467,,Matěj Hanousek,0,0.06,0,0,0.9,0.1
468,,Valentin Gheorghe,0,0,0,0,0.88,0.04
469,,Amilton da Silva,0,0,0,0,0.43,0.14
470,,Yusuf Erdoğan,0,0,0,0,0.33,0
471,,Oğuz Ceylan,0,0.08,0,0,1,0.17
472,,Mert Kurt,0,0,0,0,0.14,0
473,,Houssameddine Ghacha,0,0.04,0,0,0.52,0.16
474,,Erhan Erentürk,2.4,0.2,0.4,0,2,0.2
475,,Abdurrahim Dursun,0,0,0,0,0.38,0.13
476,,Uche Ikpeazu,0,0,0,0,0.07,0
477,,Shaocong Wu,0,0,0,0,0.67,0
478,,Muhammed Mert,0,0,0,0,0.67,0
479,,Kahraman Demirtaş,0,0,0,0,0.43,0
480,,Jens Stryger Larsen,0,0.22,0,0,1,0.16
481,,Burak Kapacak,0,0,0,0,0.38,0.08
482,,Karol Angielski,0,0,0,0,0.27,0.07
483,,Aldin Čajić,0,0,0,0,0.38,0
484,,Sindrit Guri,0,0,0,0,0.5,0
485,,Serdar Dursun,0,0,0,0,0.44,0
486,,Gboly Ariyibi,0,0,0,0,0.7,0.1
487,,Onur Atasayar,0,0.05,0,0,1.63,0.05
488,,Amar Rahmanović,0,0,0,0,0,0
489,,Metehan Mimaroğlu,0,0,0,0,0.4,0.2
490,,Cemali Sertel,0,0.06,0,0,0.72,0.17
491,,Fatih Yiğit Şanlitürk,0,0,0,0,1,0
492,,Colin Kazim-Richards,0,0,0,0,0.47,0.06
493,,Alexandru Cicâldău,0,0,0,0,0,0
494,,Enzo Crivelli,0,0,0,0,0,0
495,,Torgeir Børven,0,0,0,0,0,0
496,,Raymond Owusu,0,0,0,0,0,0
497,,Mohammed Kamara,0,0,0,0,0,0
498,,Salih Kavrazlı,0,0,0,0,1,0
499,,Poyraz Efe Yildirim,0,0,0,0,0,0
500,,Yasir Subaşı,0,0,0,0,0,0
501,,Selim Dilli,0,0,0,0,0,0
502,,Recep Yemişçi,0,0,0,0,2,0
503,,Yusuf Saitoğlu,0,0,0,0,2,0
504,,Ibrahim Yilmaz Cicek,0,0,0,0,0,0
505,,Okan Kocuk,0.5,0,0,0,0.5,0
506,,Nika Gagnidze,0,0,0,0,0,0.5
507,,Vefa Temel,0,0,0,0,0,0
508,,Batuhan Arici,0,0,0,0,2,0
509,,Jeremy Dudziak,0,0,0,0,0.67,0
510,,Berkay Aydogmus,0,0,0,0,0.67,0
511,,Semih Kilicsoy,0,0,0,0,0,0
512,,Pêpê,0,0,0,0,0.67,0
513,,Ahmed Musa,0,0,0,0,0.5,0.1
514,,Berat Kalkan,0,0,0,0,1.1,0
515,,Mahamadou Ba,0,0.13,0,0,1,0.4
516,,Mehmet Ali Buyuksayar,0,0,0,0,0.43,0
517,,Haris Seferović,0,0.1,0,0,0.3,0
518,,Fatih Aksoy,0,0.15,0,0,1.44,0.11
519,,Soner Aydoğdu,0,0,0,0,0.69,0.08
520,,Yunus Malli,0,0,0,0,0.78,0
521,,Adnan Ugur,0,0,0,0,0.27,0
522,,Yaroslav Rakitskyi,0,0.13,0,0,0.88,0.25
523,,Nicolò Zaniolo,0,0,0,0,0.5,0.1
524,,Oussama Targhalline,0,0,0,0,1.17,0
525,,Baran Ali Gezek,0,0,0,0,0.2,0.2
526,,Senghor Faustin,0,0,0,0,0.4,0.2
527,,Berk Yıldız,0,0,0,0,0,0.17
528,,Mahir Emreli,0,0,0,0,0.67,0
529,,Adem Ljajić,0,0,0,0,0.44,0
530,,Erdem Çetinkaya,0,0,0,0,1,0
531,,Ali Sühan Demirel,0,0,0,0,0.25,0
532,,Pedro Pereira,0,0.04,0,0,1.12,0.27
533,,Erol Can Akdag,0,0,0,0,0.5,0
534,,Doğan Can Davas,0,0,0,0,0.33,0.13
535,,Doğukan Sinik,0,0,0,0,0.92,0
536,,Atiba Hutchinson,0,0,0,0,0.2,0
537,,Mountassir Lahtimi,0,0,0,0,0.5,0
