#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
183,,Danijel Aleksić,0.17,0,44,38.61,0.43,0.7
184,,Bengali-Fodé Koita,0.29,0,55.07,51.33,1.57,0.86
185,,Oğuz Gürbulak,0.25,0,51.61,44.44,0.57,1.82
186,,Sofiane Feghouli,0.11,0,0,27.78,0.33,0.44
187,,Emrah Başsan,0.04,0,55.56,53.37,1.81,0.5
188,,Miguel Cardoso,0.26,0,35.06,37.9,1.23,1.52
189,,Ahmed Hassan,0.08,0,39.76,40.34,0.5,1
190,,João Figueiredo,0.15,0,34.68,37.54,1.53,1.47
191,,Furkan Bayır,0.19,0,61.48,52.24,0.44,2
192,,Mehmet Yeşil,0.12,0,60.53,65.54,0.39,0.36
193,,Florian Loshaj,0.13,0,50,52.78,0.63,0.75
194,,Ömer Toprak,0.09,0,71.43,71.79,0.61,0.26
195,,Furkan Soyalp,0.27,0,43.33,44.72,0.96,1.38
196,,Isaac Cofie,0.13,0,42.31,46.81,0.53,0.6
197,,Gökhan Töre,0,0,0,35.29,0.5,0.5
198,,Sam Adekugbe,0.25,0,54.69,58.44,0.63,0.75
199,,Bafetimbi Gomis,0.04,0,45.71,44.78,0.13,0.43
200,,Manolis Siopis,0.1,0,40.82,58.94,1.83,0.73
201,,Berkan Kutlu,0.17,0,68.97,62.81,0.63,0.63
202,,Jetmir Topalli,0.11,0,36.99,43.35,0.93,0.86
203,,Ghayas Zahid,0.04,0,21.43,40.15,0.43,0.39
204,,Ahmed Touba,0.13,0.04,48.44,51.68,0.71,1.08
205,,Rayyan Baniya,0.16,0,70.83,63.1,0.8,1.16
206,,Veysel Sarı,0.16,0,57.69,61.76,0.71,0.94
207,,Bernard Mensah,0.26,0,46.67,46.07,1.52,1.96
208,,Emre Taşdemir,0,0,40,42.86,0.6,0.6
209,,Bersant Celina,0.06,0,36.36,51.14,0.39,0.17
210,,Diego Rossi,0,0,44,47.87,0.52,0.36
211,,Mustapha Yatabaré,0.11,0.04,51.79,46.49,1,1.63
212,,Emeka Eze,0.2,0,27.78,39.79,2.07,1.8
213,,Allyson,0.07,0.07,46.51,62.39,1.73,0.93
214,,Atakan Çankaya,0.2,0,36.11,59.69,1.25,0.7
215,,Eduart Rroca,0.35,0.04,38,48.12,1.78,1.74
216,,Florent Hadergjonaj,0.12,0,48.28,58.21,0.56,0.28
217,,Fredrik Gulbrandsen,0.13,0,40,36.96,0.43,0.65
218,,Bertrand Traoré,0.08,0,22.22,46.58,1.17,0.33
219,,Emre Gökay,0,0,0,50,0.33,0
220,,Stefano Denswil,0.11,0,67.74,61.64,0.53,0.68
221,,Bruma,0,0,0,100,0,0
222,,Oguzhan Efe Yilmaz,0,0,0,66.67,1,1
223,,Francisco Montero,0,0,50,77.78,1.33,0.33
224,,Berkay Vardar,0.4,0,33.33,57.14,1.8,1.6
225,,Recep Burak Yılmaz,0.1,0,62.5,61.11,0.5,1
226,,Tarkan Serbest,0.09,0,47.06,51.52,0,0.18
227,,Mustafa Eser,0.18,0,52.94,56,0,0.64
228,,Eren Elmalı,0.24,0,56.06,59.52,1,0.52
229,,Soner Dikmen,0.09,0,46.88,50,1.03,0.75
230,,Aaron Appindangoyé,0.06,0,62.9,59,0.33,0.61
231,,Uğurcan Çakır,0.1,0,100,100,0.1,0
232,,Leke James,0,0,44.23,39.62,0.5,0.93
233,,Tayfur Bingöl,0.07,0,51.43,50.72,0.47,0.43
234,,Jimmy Durmaz,0.15,0,25,47.25,1.31,0.77
