#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
203,,Mu-yeol Ko,0,0,50,56.25,0.33,0
204,,Seok-yeong Yun,0.09,0,50,57.56,0.88,0.38
205,,Lee Ho-jae,0.03,0.03,39.47,41.8,0.89,0.44
206,,Go Myeong Seok,0.14,0,50.62,55.71,0.32,0.36
207,,Soon-min Hwang,0.13,0,50,70.83,0.25,0.25
208,,Seon-min Moon,0.12,0,38.71,40,0.82,0.74
209,,Seung-dae Kim,0.06,0,41.38,38.97,0.53,0.41
210,,Seung-seob Kim,0.1,0,54.55,48.21,0.31,0.31
211,,Seon-min Kim,0.2,0,50,45.66,0.5,1.6
212,,Bae Jun-Ho,0,0,36.67,48.43,1.24,0.18
213,,Jeong-won Eo,0,0,50,55.56,1,1.5
214,,Ju-kong Kim,0.04,0,41.86,44.08,0.79,0.75
215,,In-su Yu,0.04,0,48.44,53.69,0.67,0.78
216,,Su-il Park,0.08,0,31.43,50,0.86,0.72
217,,Koo Ja-Cheol,0.31,0,40,50.34,1.81,0.94
218,,Dong-ho Jeong,0.17,0,41.18,58.47,1.07,0.5
219,,Hyeon-sik Lee,0.28,0.03,50.79,52.28,1.93,1.52
220,,Seung-un Ha,0.06,0,22.22,40.35,0.39,0.39
221,,Joo-won Kim,0.29,0,65.18,61,1.07,1.14
222,,Min-deok Kim,0.08,0,55.26,54.43,0.27,0.5
223,,Seong-ung Maeng,0.29,0,64.52,51.97,1.29,1.12
224,,Kwang-hun Shin,0.29,0,57.14,49.37,0.62,0.71
225,,Seong-Hoon Cheon,0.06,0,44.44,41.22,0.22,0.28
226,,Bae-jong Park,0.17,0,100,85.71,0.08,0
227,,Jackson Lachlan,0.12,0.04,61.17,63.13,0.24,0.52
228,,Kang Hyun Yu,0.08,0,33.04,36.23,0.54,0.58
229,,Anton Krivotsyuk,0.27,0.03,57.69,54.98,0.88,0.97
230,,Kyo-won Han,0.04,0,33.33,38.36,0.54,0.75
231,,Park Seung-ho,0.11,0,37.5,37.66,0.89,0.78
232,,Yoon Jae-woon,0,0,42.86,46.43,0.5,0.5
233,,Jo Hyun-tae,0,0,52.63,55,0,0
234,,Lee Kang-Hyeon,0.12,0,36.36,41.9,0.27,0.69
235,,Ju-yong Lee,0.09,0.03,52.63,52.23,0.58,0.73
236,,Jun-yeob Kim,0.11,0,55.17,47.69,0.43,0.75
237,,Soo-bin Lee,0.29,0,34.78,45.71,0.29,0.86
238,,Yeong-uk Kim,0.09,0,40.91,48.25,0.64,0.82
239,,Kyeong-min Kim,0,0,0,26.32,0,0.33
240,,Beka Mikeltadze,0,0,50,43.86,0.7,0.7
241,,Hyeon-uh Kim,0.12,0,51.49,55.09,0.12,0.5
242,,Park Sang-Hyeok,0.04,0,35.24,39.88,0.68,0.52
243,,Dong-jun Lee,0,0,43.75,47.26,1.35,0.78
244,,Tae-hwan Kim,0.04,0,40.98,52.41,0.96,0.71
245,,Si-hoo Hong,0.17,0,50,42.11,0.33,0.25
246,,Dino Islamović,0.25,0,50,49.44,1,0.75
247,,Jang Si-young,0.22,0,40,43.75,0.11,0.44
248,,Shin Sang-Eun,0.05,0,23.08,46.05,0.68,0.32
249,,Jin-yong Lee,0.26,0,29.03,48.39,0.55,1.58
250,,Gustav Ludwigson,0.12,0,41.46,36.49,0.23,1
251,,Galego,0.14,0,30.88,42.86,0.77,0.69
252,,Min-ho Yoon,0.17,0,33.33,45.16,1,0.67
253,,Seong-uk Jin,0,0,0,33.33,0,0
254,,Su-huk Jo,0,0,0,0,0,0
255,,Won-woo Lee,0,0,83.33,70,0,0.5
256,,Hosam Aiesh,0,0,0,25,0.33,0.67
257,,Lee Min-Hyeok,0,0,75,43.48,0.67,1
