#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
344,,Seung Won Lee,0.57,0.57,0,0.14,0,0.5
345,,Chang-mu Shin,0.33,0,0,0.11,0,0.22
346,,Jin-ya Kim,1.21,0.66,0,0.55,0,0.31
347,,Jae Suk Oh,1.76,1,0.04,1.52,0,0.96
348,,Chan-gi Ahn,0,0,0,1,0,0
349,,Kwak Seung-min,0.13,0.13,0,0,0,0.25
350,,Kyeong-jung Kim,0.33,0.2,0,0.33,0,0.07
351,,Inpyo Oh,0.63,0.5,0,0.69,0,0.41
352,,Hyun-taek Cho,0.28,0.28,0,0.31,0,0.24
353,,Ju-yeob Kim,0.7,0.2,0,0.7,0,0.4
354,,Jae-won Lee,0.5,0,0,0,0,0
355,,Park Hee-jun,0.63,0.38,0,0.13,0,0.13
356,,Han-do Lee,0.5,1.5,0,7.5,0,1
357,,Dae-kwang Lee,0.3,0.1,0,0.1,0,0
358,,In-sung Kim,0.74,0.21,0.03,0.29,0,0.38
359,,Kim Dae-Woo,0.91,0.27,0,0.55,0,1
360,,Lee Sang-min,0.41,0.14,0.05,0.36,0,0.27
361,,Kang Sang-Yun,0,0.67,0,0,0,0.67
362,,Dae-jung Kim,0,0,0,0,0,0
363,,Kim Do-Yoon,0.33,0.22,0,0,0,0.44
364,,Yun-seong Kang,1.85,0.62,0,1.69,0,0.38
365,,Kim Ye-sung,0,0.2,0,0.2,0,0
366,,Jeon Seong-jin,0.5,0,0,0,0,0
367,,Werik Popó,0.43,0.14,0,0.43,0,0.14
368,,Jang Jae-Woong,0.28,0.14,0,0.17,0,0.38
369,,Hyeon-je Kang,1,0,0,0.5,0,0.5
370,,Eun-woo Jeong,0,0,0,0,0,0
371,,Beom-young Lee,0,0,0.33,1,0.33,0
372,,Kim Hyun-seo,1,0,0,0,0,0
373,,Jae-min Seo,0,0,0,1,0,0
374,,Hyeong-keun Kim,0,0,0,0,0,0
375,,Paulo Rocha,2,0.5,0,0,0,1
376,,Won-jin Jeong,1,0.5,0,0,0,1
377,,Kim Jong-Seok,0,0,0,0.5,0,0
378,,Hyun-soo Hwang,0.29,0.29,0,0.93,0,0.07
379,,Han Jong-Mu,0.29,0.06,0,0.18,0,0.06
380,,Jun-jae Myung,0.5,0.13,0,0.25,0,0.13
381,,Sang-ki Lee,0.42,0.37,0,0.84,0,0.26
382,,Gi Sang-wook,0.44,0,0,0,0,0.22
383,,Dae-hwan Kim,0.35,0.05,0,0.05,0,0.15
384,,Chang-woo Park,0.4,0.13,0,0.53,0,0.4
385,,Sunho Kwon,0.42,0,0,0.17,0,0.75
386,,Jae-hee Jeong,0.57,0.14,0,0.43,0,0.57
387,,Seo Dong-han,1.33,0,0,0,0,0.67
388,,Sang-hoon Paik,0.5,0.5,0,0,0,0
389,,Kyung-rok Park,0,0,0,3.5,0,0
390,,Yo-han Go,0.33,0.33,0,0.5,0,0.83
391,,Kim Yeong-jun,0.67,0.22,0,0.44,0,1.11
392,,Ju Young-Jae,0.25,0,0,0.25,0,0.5
393,,Son Seung-beom,0,0,0,0,0,0
394,,Yun-ho Jang,1,0,0,0,0,0.5
395,,Seong-min Kim,0.5,0,0,0,0,0
396,,Kyu-hyeong Kim,0.4,0.2,0,0.2,0,0.4
397,,Kang Min-Sung,0.17,0,0,0.08,0.08,0.42
398,,Hu-sung Oh,0,0,0,0,0,0.33
399,,Jae-hun Choi,0,0.5,0,2,0,1
400,,Lee Seon-yu,0.5,0,0,0,0,0.5
401,,Seung-uh Ryu,1.25,0,0,0.38,0,0.75
402,,Seung-woo Seo,0,0,0,0,0,1
403,,Seong-min Hwang,0,0,0,0,0,0
404,,Sang-ki Min,1.5,1.5,0,5,0,0.5
405,,Kwang-Il Park,1.5,0.5,0,1.5,0,1.5
406,,Kim Jae-hyun,0,0,0,0,0,0
407,,Fabián Mina,1,0,0,1,0,0
408,,Jung Jae-yun,0,0.38,0,0,0,0.5
409,,Min Junyeong,0,1,0,3,0,2
410,,Sang-jun Kim,2,0,0,4,0,2
411,,Kim Hee-Seung,1.5,0,0.5,0,0,0
412,,Kevin Höög Jansson,0,0,0,1,0,0
413,,Park Yong-hui,0,0,0,0,0,0
414,,Cho Jin-hyuk,0,0,0,0,0,0
415,,Kim Se-hoon,1,0,0,0,0,0
416,,Jae-min Ahn,0,0,0,0,0,0
417,,Hyeon-woong Choi,0,0,0,0,0,0
