#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
407,,Fabián Mina,0,0.5,0,0,0,0.5
408,,Jung Jae-yun,0,0,0,0,0.25,0.25
409,,Min Junyeong,0,0,0,0,2,0
410,,Sang-jun Kim,0,0,0,0,5,0
411,,Kim Hee-Seung,0,0,0,0,0.5,0
412,,Kevin Höög Jansson,0,0,0,0,0,0
413,,Park Yong-hui,0,0,0,0,0,0
414,,Cho Jin-hyuk,0,0,0,0,0,0
415,,Kim Se-hoon,0,0,0,0,0,0
416,,Jae-min Ahn,0,0,0,0,1,0
417,,Hyeon-woong Choi,0,0,0,0,0,0
