#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
280,,Kim Joo-chan,0.2,0.04,60.47,0.6,0,0
281,,Jeong Jae Yong,0.07,0,33.33,0.93,0,0
282,,Tae-hyeon Ahn,0.04,0,50,0.46,0,0
283,,Yu Je-ho,0.05,0,66.67,0.27,0,0
284,,Seung-Yong Jeong,0.05,0.05,27.78,0.55,0,0
285,,Chul-soon Choi,0,0,75,0.11,0,0
286,,Min-ho Yun,0,0,0,0.5,0,0
287,,Kim Min-Ho,0,0,0,0,0,0
288,,Tae-han Kim,0,0,0,0.5,0,0
289,,Kim Lee-Seok,0,0,0,0,0,0
290,,Lee Jae-wook,0,0,33.33,0,0,0
291,,Lee Gyu-seok,0,0,100,0.2,0,0
292,,Seok-jong Han,0,0,62.5,0.33,0,0
293,,Ju-ho Park,0,0,66.67,0,0,0
294,,Yang Hyun-Jun,0.05,0.24,49.23,1.14,0,0
295,,Rafael Silva,0.12,0.24,55.26,1.68,0.04,0
296,,Deok-geun Lim,0,0,64,0.65,0,0
297,,Kazuki Kozuka,0.06,0.13,46.67,0.75,0,0
298,,Dong-yun Jeong,0,0.04,40.74,0.32,0,0
299,,Rodrigo Bassani,0.14,0.18,46.3,1.82,0,0
300,,Walterson Silva,0.09,0,43.33,1,0,0
301,,Kim Ji-hun,0,0,50,0.2,0,0
302,,Kang Yun-Gu,0.05,0.05,33.33,0.63,0,0
303,,Victor Bobsin,0.09,0,60,0.64,0,0
304,,Kun-hee Lee,0.19,0.23,40,0.81,0.08,0
305,,Vladislavs Gutkovskis,0,0,50,1.33,0,0
306,,Hyeon-cheol Jeong,0,0,0,0.33,0,0
307,,An Chi-Woo,0,0,100,0.33,0,0
308,,Yun-gu Kang,0,0,0,0,0,0
309,,Seong-won Jang,0.03,0,30.95,0.34,0,0
310,,Jeon Byung-kwan,0.09,0.17,56.52,1.35,0,0
311,,Jae-Hwan Hwang,0.18,0,66.67,0.18,0,0
312,,Park Han-Bin,0.08,0.08,100,1.17,0,0
313,,Ji-hyeon Kim,0,0,0,0.8,0,0
314,,Ryu Kwang-hyun,0,0,66.67,0.45,0,0
315,,Yool Heo,0.09,0.18,35.71,0.88,0.03,0
316,,Sandro Lima,0.08,0.17,41.67,1.5,0,0
317,,Dong-su Lee,0,0,0,0.17,0,0
318,,Young-Jae Seo,0,0.04,41.38,0.17,0,0
319,,Yong Rae Lee,0,0,62.5,0.14,0,0
320,,Keun-ho Lee,0.06,0.03,28,0.34,0.03,0
321,,Park Se-jin,0.03,0,48.57,0.33,0,0
322,,Björn Johnsen,0.11,0.11,0,0.56,0,0
323,,Seong-keun Choi,0,0,0,0,0,0
324,,Eu-ddeum Lee,0,0,0,0,0,0
325,,Ki-hun Yeom,0,0,50,0.67,0,0
326,,Jae-hyeok Oh,0,0,0,1,0,0
327,,Dong-hyeok Im,0,0,0,0.2,0,0
328,,Wan-kyu Kwon,0,0,0,0.38,0,0
329,,Seong-hun Park,0,0,100,0,0,0
330,,Park Hyeong-woo,0,0,0,0.5,0,0
331,,Jong-hoon Lee,0,0,0,0,0,0
332,,Geon-woo Park,0,0,0,0,0,0
333,,Se-jin Park,0,0,0,1,0,0
334,,Kyeong-jae Kim,0,0,0,0,0,0
335,,Jae-sung Lee,0,0,50,0.14,0,0
336,,Lee Dong-won,0,0,16.67,1.25,0,0
337,,Jung Ji-Hun,0,0.17,47.06,0.67,0,0
338,,Seung-Won Jeong,0,0,31.25,0.76,0,0
339,,Yong-hwan Kim,0,0,60,0.2,0,0
340,,Marcos Serrato,0,0,83.33,0.18,0,0
341,,Jae-hun Cho,0,0.08,50,0.38,0,0
342,,André Luís,0,0,50,1,0,0
343,,Hyun Hun Kim,0,0,0,0.1,0,0
344,,Seung Won Lee,0,0,40,0.21,0,0
345,,Chang-mu Shin,0,0,40,0.44,0,0
346,,Jin-ya Kim,0,0.07,29.73,0.38,0,0
347,,Jae Suk Oh,0,0.04,44.44,0.16,0,0
348,,Chan-gi Ahn,0,0,0,0,0,0
349,,Kwak Seung-min,0,0,0,0.13,0,0
350,,Kyeong-jung Kim,0.13,0,36.84,0.33,0.07,0
351,,Inpyo Oh,0.06,0.09,54.05,0.63,0.03,0
352,,Hyun-taek Cho,0,0,23.08,0.31,0,0
353,,Ju-yeob Kim,0,0,41.67,0.3,0,0
354,,Jae-won Lee,0,0,0,0,0,0
355,,Park Hee-jun,0,0,57.14,0.5,0,0
356,,Han-do Lee,0,1,0,2,0,0
357,,Dae-kwang Lee,0,0,100,0.4,0,0
358,,In-sung Kim,0.03,0.21,42.5,1,0,0
359,,Kim Dae-Woo,0,0.09,57.14,0.91,0,0
360,,Lee Sang-min,0,0,33.33,0.23,0,0
361,,Kang Sang-Yun,0,0,50,0,0,0
362,,Dae-jung Kim,0,0.33,0,0.83,0,0
363,,Kim Do-Yoon,0,0,25,0.22,0,0
364,,Yun-seong Kang,0.08,0,30,0.46,0,0
365,,Kim Ye-sung,0,0,0,0,0,0
366,,Jeon Seong-jin,0,0,25,0.33,0,0
367,,Werik Popó,0,0.14,66.67,1,0,0
368,,Jang Jae-Woong,0.03,0,50,0.28,0,0
369,,Hyeon-je Kang,0.5,0,25,2,0,0
