#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
371,,Oskar Sverrisson,0.05,0,53.13,53.16,0.45,0.73
372,,Pavle Vagić,0,0,85.71,64.71,0.11,0.11
373,,Niklas Dahlström,0.08,0,43.62,46.02,0.36,0.96
374,,Linus Carlstrand,0.06,0,40,37.08,0.31,0.69
375,,Erik Lindell,0.25,0,33.33,26.67,0.25,0.75
376,,Yusuf Abdulazeez,0,0,0,66.67,0,0
377,,Bubacarr Trawally,0.33,0,33.33,46.67,1,0.67
378,,Carl Johansson,0,0,0,33.33,0.33,0.33
379,,Filip Olsson,0,0,50,75,0.33,0
380,,Ture Sandberg,0,0,0,37.5,0.67,0.33
381,,Saku Ylätupa,0,0,0,37.5,0.5,0
382,,De Pievre Ilunga,0.25,0,0,57.14,0,0.25
383,,Robin Tranberg,0.38,0.04,47.17,45.29,1.79,1.79
384,,Anders Trondsen,0.08,0.17,44.44,51.06,0.5,0.33
385,,Jakob Kindberg,0,0,100,80,0.2,0
386,,Filipe Sissé,0,0,7.14,46.48,0.47,0.67
387,,Kristoffer Hoven,0.09,0,56.41,51.79,0.18,0.45
388,,Abundance Salaou,0.08,0,55.56,47.5,0.25,0.5
389,,Carl Björk,0,0,31.82,41.1,0.78,0.78
390,,Emin Hasić,0,0,33.33,40,0,0.25
391,,Frank Adjei,0.22,0,33.33,36,1,1.22
392,,Oliver Stanisic,0.46,0,41.67,44.79,0.31,1.31
393,,Gustav Sandberg Magnusson,0.15,0,59.38,44.86,0.6,1
394,,Filip Trpcevski,0,0,0,13.33,0.25,0.75
395,,Villiam Granath,0,0,66.67,50,0.17,0.08
396,,Oscar Wallin,0.08,0,53.85,58.89,0.54,0.77
397,,Lamaur Neto,0.11,0.11,42.86,38.78,1,1.22
398,,Ari Freyr Skúlason,0.07,0,40,36.67,0.29,0.57
399,,Mahamé Siby,0,0,0,0,0,0
400,,Saidou Alioum Moubarak,0,0,0,0,0,0
401,,Daníel Tristan Gudjohnsen,0,0,0,0,0,0
402,,Isak Bjerkebo,0,0,0,0,0,0
