#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
179,,Michael Lang,0.15,0.04,50,46.92,0.33,0.78
180,,Uran Bislimi,0.1,0,44.44,48.21,0.77,0.67
181,,Mauricio Willimann,0,0,100,75,1,0
182,,Valton Behrami,0,0,0,0,0,0
183,,Diogo Monteiro,0.33,0,60,50,0.33,1.33
184,,Alexandre Jankewitz,0,0,0,75,1.33,0.33
185,,Sebastian Osigwe,0,0,100,100,0.29,0
186,,Mickaël Facchinetti,0.11,0,50,60,0,0.22
187,,Gaetan Karlen,0.21,0,41.67,41.3,0.37,0.47
188,,Heinz Lindner,0.04,0,90,84.62,0.04,0
189,,Hugo Novoa Ramos,0,0,37.5,43.08,0.75,0.75
190,,Alexis Antunes,0.15,0,33.33,51.7,0.89,1.11
191,,Ayumu Seko,0.16,0.03,58.44,51.6,0.52,1.16
192,,Yassin Fortune,0.14,0,69.23,55.56,1.14,0.43
193,,Granit Lekaj,0.26,0,52,47.74,0.22,0.85
194,,Roman Buess,0.12,0,37.4,40.71,1.44,1.21
195,,Kevin Bua,0.14,0,53.33,42.34,0.64,0.96
196,,Adrian Durrer,0,0,50,52.17,0.25,0.5
197,,Mamadou Kaly Sene,0,0,50,38.46,0.2,0.8
198,,Severin Ottiger,0.25,0,45,45.71,0.08,0.92
199,,Alessandro Kräuchi,0,0,50,66.67,0.4,0
200,,Timothy Fayulu,0.18,0,66.67,71.43,0.36,0
201,,Albert Vallci,0.36,0,65,60.26,0.64,0.82
202,,Remo Arnold,0.29,0,65.28,52,0.32,1.04
203,,Bećir Omeragić,0.09,0.04,51.79,59.03,0.65,0.65
204,,Allan Arigoni,0.38,0,45.71,50.59,0.62,0.92
205,,Andy Diouf,0.12,0,42.86,49.53,1.35,0.35
206,,Donat Rrudhani,0.04,0,38.89,45.54,0.6,0.6
207,,Gora Diouf,0.17,0.17,42.86,50,1,2
208,,Mirko Salvi,0,0,0,100,0.17,0
209,,Luca Jaquez,0.11,0,78.95,57.58,0.11,0.78
210,,Ádám Szalai,0,0,25,26.67,0,0
211,,Fabio Daprelà,0.2,0.04,59.46,56.76,0.88,0.84
212,,Mohamed Dräger,0.13,0.03,35.71,44.27,0.87,0.57
213,,Eris Abedini,0.15,0,52.63,50,0.41,0.63
214,,Benjamin Mbunga-Kimpioka,0,0,37.5,37.5,0.33,0.67
215,,Calixte Ligue,0.11,0,31.25,33.33,0,0.56
216,,Gregory Karlen,0,0,53.33,50,0.45,0.45
217,,Mohamed Haj Mahmoud,0.21,0.05,45.45,48.24,0.37,1
218,,Filipe de Carvalho Ferreira,0,0,60,45.76,0.22,0.11
219,,Boubacar Fofana,0,0,33.33,42.5,0.5,0.23
