#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
349,,Lukáš Juliš,0,0,8.13,80,2.88,75
350,,Ibrahim Traoré,0.08,0,25.75,78.64,8.75,41.18
351,,Ondrej Pachlopnik,0.07,0,9.79,70.07,3.21,53.85
352,,Stepan Harazim,0,0,18.89,56.18,4.61,39.24
353,,Jakub Kucera,0.11,0.07,19.33,61.49,4.93,26.87
354,,Rudolf Reiter,0.05,0.05,15.55,66.88,2.9,32.81
355,,Tomáš Zajíc,0.05,0.05,9.76,77.07,3.29,58.33
356,,Alois Hycka,0,0.07,20.25,56.61,4.79,19.81
357,,Patrik Brandner,0.06,0.06,7,77.78,2.61,71.43
358,,Tomáš Zahradníček,0,0.17,11.83,63.38,2.33,40
359,,Vojtech Patrak,0.06,0,5.06,68.13,1.33,61.54
360,,Denis Kramář,0,0,2.86,60,0.86,50
361,,Hugo Jan Bačkovský,0,0,32.11,59.17,2.22,33.71
362,,Daniel Hais,0,0,5.06,56.79,1.5,50
363,,Jakub Šiman,0,0,35,67.14,1.5,41.03
364,,Nicolas Penner,0.11,0,10,67.22,3,33.33
365,,Petr Pudhorocký,0,0,13.58,74.85,4.5,40
366,,David Broukal,0.05,0.05,18.48,68.04,2.24,32.39
367,,Tomáš Solil,0,0,23.86,66.47,4.57,64.29
368,,Ondrej Coudek,0,0,47.43,74.1,3.14,44.07
369,,Matěj Hrabina,0.03,0.03,31.93,72.44,6.5,35.37
370,,Matej Mršić,0,0,10.63,71.76,3,54.55
371,,Yira Collins Sor,0,0,8,75,4,100
372,,Viktor Budinský,0,0,32,51.04,1.67,35.29
373,,Patrik Vízek,0,0,24.33,56.16,2,43.86
374,,Roman Čerepkai,0.25,0,6.5,50,1.75,33.33
375,,Jakub Grič,0,0,15.82,69.54,2.91,45.83
376,,Quadri Adebayo Adediran,0,0,13.31,69.36,4.92,44.44
377,,Daniel Köstl,0.09,0.09,28.33,52.19,5.76,32.73
378,,Dominik Plestil,0,0,5.5,65.91,1.38,66.67
379,,Kamso Mara,0,0,10.2,80.39,1.6,33.33
380,,Josef Koželuh,0,0,24,66.15,4.38,40.63
381,,Jáchym Šíp,0,0,2.43,58.82,0.29,0
382,,Dominik Kostka,0,0.12,21.96,63.75,5.27,35.87
383,,Lukáš Rogožan,0,0,5,73.85,0.92,75
384,,Michal Černák,0.05,0.05,8.14,71.51,2,52.94
385,,Jan Sterba,0,0,31,81.11,3,45.95
386,,Jakub Kristan,0,0,14.13,77.88,3.5,70
387,,Adam Kadlec,0,0,18.88,53.64,2,35.09
388,,Karol Mészáros,0.07,0,7.27,62.39,1.2,40
389,,Leandro Jabá,0,0,6.18,60.95,1.65,16.67
390,,Filip Novotny,0.06,0.06,11.06,68.34,2.89,30
391,,Jakub Prichystal,0,0,8.45,68.82,2.36,16.67
392,,Patrik Mekota,0,0,41,70.73,5,45.45
393,,Oliver Velich,0,0,1,0,0,0
394,,Vojtěch Hora,0,0,5,60,1,0
395,,Daniel Kaštánek,0,0,7.5,86.67,4.5,0
396,,Ondrej Lehoczki,0,0,2.5,80,1,0
397,,Jakub Švec,0,0,7.25,55.17,2,50
398,,Martin Toml,0,0,28.6,79.02,2.2,51.61
399,,Tomas Zlatohlavek,0,0,0.8,75,0.4,0
400,,Ondrej Kricfalusi,0,0,4,54.17,1.17,60
401,,Marek Červenka,0,0,6.63,67.92,1.38,100
