#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
177,,Martin Hruby,0,0,0,0,0,0
178,,Radek Látal,0,0,50,60,0,0.5
179,,Jakub Pešek,0,0,100,60,0.67,1
180,,Michal Trávník,0.22,0,26.32,51.37,1.52,1.19
181,,David Houska,0.47,0,25,57.61,2.33,1.6
182,,Milan Petržela,0.03,0,27.78,45.41,1.6,0.83
183,,Robert Jukl,0.1,0,33.33,54.49,1.66,1.45
184,,Adam Fousek,0,0,33.33,46.15,0.35,0.17
185,,Dominik Simersky,0.06,0,61.9,61.03,0.3,0.7
186,,Filip Souček,0.15,0.05,56.67,52.59,1.5,1.45
187,,Radim Breite,0.12,0,48.28,54.1,1.24,1.24
188,,Martin Suchomel,0.54,0,69.23,53.57,0.62,1.62
189,,Matúš Macík,0.15,0,100,80,0.08,0.08
190,,Karel Pojezný,0.11,0,50.82,58.33,0.37,0.67
191,,Václav Sejk,0.07,0.03,34.38,36.62,0.83,1.3
192,,Martin Cedidla,0.33,0,54.17,62.9,1.63,1.13
193,,Lukáš Havel,0.13,0.07,61.63,58.14,0.8,0.8
194,,Pavel Šulc,0.06,0,40,46.76,0.56,0.72
195,,Libor Holík,0.04,0,35,52.58,0.58,0.54
196,,Jakub Šural,0.42,0,57.5,54.73,0.96,1.38
197,,Martin Janáček,0.1,0,100,83.33,0.25,0.05
198,,Petr Kodes,0.33,0,60,52.45,1.13,1.87
199,,Martin Jedlička,0.07,0,50,75,0.07,0
200,,Jakub Hora,0.33,0,60,55.32,0.25,1.25
201,,Tom Sloncik,0.07,0,28.57,44.9,0.71,1.14
202,,Václav Drchal,0.07,0,35.19,41.62,1.03,0.67
203,,Stepan Chaloupek,0.15,0,61.76,64.89,0.35,0.8
204,,Marios Pourzitidis,0.07,0,69.44,61.68,0.64,0.61
205,,Dominik Preisler,0.08,0.04,60,48.28,0.58,0.81
206,,Daniel Vasulin,0.19,0,55,35.81,1.12,1.65
207,,Youba Drame,0,0,42.86,37.62,0.36,0.46
208,,Jakub Pokorný,0.19,0,57.47,57.06,0.61,0.87
209,,Denis Višinský,0.07,0,50,51.65,1.8,0.93
210,,Filip Zorvan,0.11,0,14.29,45.99,1.44,1.04
211,,Seung-bin Kim,0.33,0,31.25,43.48,1.17,0.42
212,,Marek Suchý,0.16,0,61.54,56.29,0.94,1.48
213,,Jan Matoušek,0.15,0,35,32.73,0.77,0.77
214,,Šimon Falta,0.04,0,61.54,54.72,0.81,0.48
215,,Lukas Vrastil,0.19,0.05,63.89,52.87,0.33,1
216,,Robin Hranáč,0.07,0.04,53.06,50,0.29,0.75
217,,Joss Didiba,0.18,0.04,51.85,58.96,1.39,0.89
218,,Oscar Dorley,0.08,0.04,48.89,55.4,0.84,0.76
219,,Filip Kaloč,0.31,0,64.29,37.5,0.38,1.83
220,,Michal Rabušic,0.14,0,33.33,55.88,0.73,0.36
221,,Matej Rakovan,0.08,0,85.71,76.47,0.38,0.04
222,,Tomas Kucera,0.18,0,50,41.94,0.32,1.18
223,,Matej Trusa,0.07,0,15.79,39.47,0.86,1.79
224,,Václav Pilař,0.06,0,35.71,46.67,0.56,0.56
225,,Jakub Martinec,0.19,0,60.34,59.74,1.43,1.24
226,,Jakub Fulnek,0.03,0,50,54.48,1.1,0.55
227,,Wale Musa Alli,0.09,0,36.36,48.24,1.83,0.6
228,,Jan Knapík,0.05,0,65.79,63.16,0.9,0.85
229,,Dominik Mares,0.08,0,75,51.85,0.38,0.62
230,,Filip Žák,0.07,0,23.91,27.05,0.57,0.93
231,,Pavel Zifcak,0.14,0,35.71,47.06,0.89,0.5
232,,Martin Hála,0.04,0,50,51,0.84,0.52
233,,Jan Kalabiška,0.2,0.03,56.45,53,1.33,1.43
234,,Ondřej Mihálik,0.13,0,47.5,44.24,0.73,1.07
235,,David Buchta,0.11,0,0,40.96,0.48,0.37
236,,Martin Dostal,0.03,0,42.86,43.9,0.34,0.66
237,,David Heidenreich,0.15,0.05,62.16,59.18,0.6,1.1
238,,Vasil Kušej,0.25,0,36.36,37.68,1.63,1.63
239,,Adam Jánoš,0.16,0.03,35.29,48.63,0.94,1
240,,Róbert Matejov,0,0,40,51.52,0.33,0.5
241,,Lukáš Endl,0.2,0,50,57.76,0.85,1
242,,Vlasiy Sinyavskiy,0.12,0,50,50.83,0.69,0.54
243,,Martin Chlumecky,0.25,0,55.74,54.5,1.17,1.54
244,,Eldar Šehić,0.33,0,40,49.46,0.5,1.13
245,,Merchas Doski,0.12,0,44.44,54.22,1.58,1
246,,Laco Takacs,0.4,0,77.78,60,0.8,0.6
247,,Martin Berkovec,0.09,0,83.33,91.67,0.22,0
248,,Jan Vodhanel,0.04,0,11.11,42.17,0.87,0.57
249,,Jan Kopic,0.05,0,25,38,1.05,0.95
250,,David Šimek,0.07,0.04,60.71,51.8,0.43,1.32
251,,Vojtěch Sychra,0.03,0,27.27,41.53,0.24,1.1
252,,Adam Karabec,0.17,0,25,46.91,0.83,0.7
253,,Ladislav Krobot,0.18,0,40,36.17,0.23,0.73
254,,Filip Kaša,0.08,0,56.52,61.54,0.69,0.62
255,,Vlastimil Danicek,0.1,0.03,44.83,45.45,0.43,1.43
256,,Jakub Jankto,0.27,0,50,47.62,1.13,0.67
257,,Petr Jaroň,0.09,0,27.27,51.47,0.78,0.39
258,,Jan Vondra,0.29,0,32.43,53.92,1.24,0.82
259,,Matěj Koubek,0.07,0,43.84,42.54,0.73,0.77
260,,Tomas Vondrasek,0.11,0.05,50,58.33,1.68,0.95
261,,Petr Kurka,0,0,33.33,25,0,0
262,,Kristi Qose,0,0,0,0,0,0
263,,Vukadin Vukadinović,0.1,0,17.65,40.56,0.68,0.55
264,,Imad Rondić,0.04,0,52.63,46.81,0.93,1.14
265,,Jan Král,0.16,0,48.94,60.48,0.84,0.53
266,,Bartosz Pikul,0.19,0,28.57,37.29,0.63,0.5
267,,Roman Potočný,0.17,0,52.94,44.93,0.62,1.1
268,,Lukas Bartosak,0.12,0,41.67,51.02,0.84,0.88
269,,Daniel Tetour,0.1,0,0,45.45,1.4,1.2
270,,Aleš Mandous,0,0,0,100,0.1,0
271,,Jan Mikula,0.11,0,53.33,52.43,1.37,1
272,,Jan Shejbal,0,0,16.67,34.78,0.5,0.63
273,,Denis Darmovzal,0.06,0,0,45.45,0.29,0.47
274,,Josef Jindrisek,0.03,0,48.05,56.56,1.38,0.68
275,,Jan Hellebrand,0,0,50,76.92,0.43,0.29
276,,Babacar Sy,0.2,0,25,34.38,0.3,0.6
277,,Filip Vecheta,0.15,0,31.58,39.88,0.93,0.81
278,,Krystof Daněk,0.11,0,33.33,43.55,1.11,0.81
279,,Dele Israel,0.6,0,50,42.86,0.8,1.2
280,,Michal Sáček,0,0,0,58.33,1.2,0.6
281,,Michal Škoda,0,0,61.9,47.44,0.64,0.64
282,,Tomáš Hübschman,0.08,0,53.33,55.96,0.68,0.68
283,,Patrik Čavoš,0,0.04,28,44.44,1,1.21
284,,Jiri Boula,0.12,0,37.5,40,0.65,0.82
285,,Abubakar Ghali,0.13,0,42.86,51.04,0.94,0.75
