Name,Goals,Successful dribbles %,Total shots,Headed goals,Big chances missed,Set piece conversion %,Tackles,Errors lead to goal,Interceptions,Penalty committed,Clearances,Dribbled past,Big chances created,Total passes,Assists,Accurate final third passes,Accurate passes %,Accurate long balls %,Saves,Clean sheets,Penalties faced,Goals conceded inside the box,Penalties saved,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Was fouled,Fouls,Total duels won %,RangoEdad
Álvaro García,0.14,45.65,1.49,0.0,0.06,0.0,1.4,0.03,0.97,0.0,0.46,0.63,0.2,23.34,0.14,7.77,71.6,28.57,0.0,0.09,0.0,1.06,0.0,0.11,0.2,0.0,60.0,0.94,1.03,52.04,3
Sergio Canales,0.13,59.57,1.26,0.0,0.06,0.0,0.81,0.0,0.45,0.0,0.19,0.61,0.23,42.45,0.1,14.97,81.84,62.26,0.0,0.19,0.0,0.74,0.0,0.16,0.06,0.06,35.14,1.03,0.29,46.67,3
Édgar Badía,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,1.06,0.03,0.0,25.06,0.0,0.69,69.51,47.31,3.86,0.11,0.28,1.53,0.06,0.22,0.06,0.0,90.0,0.17,0.03,84.21,3
Marcos Llorente,0.05,48.0,1.09,0.0,0.05,0.0,1.45,0.0,0.77,0.05,0.77,0.59,0.32,32.55,0.09,10.55,85.75,64.29,0.0,0.23,0.0,0.45,0.0,0.05,0.23,0.0,34.48,0.59,1.36,44.08,2
Geoffrey Kondogbia,0.0,71.43,0.55,0.0,0.0,0.0,2.0,0.0,1.3,0.0,0.55,0.4,0.1,31.65,0.1,3.95,89.42,61.11,0.0,0.1,0.0,0.45,0.0,0.05,0.25,0.0,56.52,0.95,0.85,61.79,2
Juan Miranda,0.14,56.25,1.0,0.0,0.19,0.0,1.1,0.0,0.95,0.05,2.43,0.71,0.24,29.81,0.1,7.62,76.84,37.5,0.0,0.24,0.0,0.81,0.0,0.05,0.05,0.05,55.26,0.95,0.71,54.48,1
João Félix,0.29,28.57,1.86,0.07,0.36,0.0,0.71,0.0,0.21,0.0,0.14,0.36,0.36,15.43,0.21,4.57,77.31,33.33,0.0,0.0,0.0,0.5,0.0,0.07,0.36,0.0,43.75,1.64,1.14,46.0,1
David Soria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.03,0.0,0.92,0.03,0.0,27.11,0.0,2.84,49.71,45.11,3.26,0.34,0.21,1.0,0.11,0.18,0.08,0.0,100.0,0.08,0.03,77.78,2
Yeray Álvarez,0.04,85.71,0.29,0.04,0.0,0.0,1.21,0.0,1.71,0.07,3.57,0.25,0.11,49.18,0.04,6.29,81.12,47.24,0.0,0.32,0.0,1.0,0.0,0.07,0.25,0.04,58.76,0.79,0.79,62.57,2
Yuri Berchiche,0.03,44.44,0.97,0.0,0.0,0.0,1.93,0.0,1.38,0.03,1.69,0.86,0.07,42.79,0.03,11.55,84.13,68.52,0.0,0.28,0.0,1.0,0.0,0.1,0.24,0.03,66.23,1.14,1.07,58.69,3
Gabri Veiga,0.31,53.42,1.72,0.0,0.11,0.0,1.19,0.0,0.58,0.0,0.14,1.0,0.17,19.5,0.11,5.69,76.92,60.78,0.0,0.0,0.0,0.75,0.0,0.08,0.17,0.03,52.78,1.14,1.17,49.13,1
Nemanja Gudelj,0.09,60.0,1.12,0.0,0.06,0.0,1.26,0.0,1.0,0.0,2.91,0.38,0.03,46.71,0.03,5.85,90.49,47.37,0.0,0.21,0.0,1.06,0.0,0.29,0.24,0.0,66.2,0.62,0.76,63.33,3
Gerard Moreno,0.33,59.18,2.05,0.0,0.62,0.0,0.52,0.0,0.24,0.0,0.48,0.14,0.24,22.14,0.14,7.38,75.05,78.57,0.0,0.14,0.0,0.43,0.0,0.0,0.14,0.0,51.35,0.67,0.52,51.41,3
Iza Carcelén,0.0,70.0,0.26,0.0,0.0,0.0,2.56,0.0,0.7,0.04,2.48,0.81,0.07,27.48,0.04,5.52,81.0,53.33,0.0,0.3,0.0,0.78,0.0,0.07,0.15,0.11,39.62,1.0,0.59,58.74,2
Luka Modrić,0.12,46.34,0.91,0.0,0.03,0.0,0.58,0.0,0.3,0.0,0.18,0.45,0.27,43.85,0.09,14.97,90.67,77.89,0.0,0.06,0.0,0.58,0.0,0.03,0.21,0.0,44.0,0.48,0.64,42.21,3
José Copete,0.04,90.48,0.21,0.04,0.04,0.0,1.89,0.04,1.57,0.04,3.54,0.36,0.0,30.57,0.0,3.18,77.1,46.75,0.0,0.32,0.0,0.82,0.0,0.11,0.25,0.04,70.91,0.86,1.68,62.5,1
Luis Milla,0.0,85.71,0.3,0.0,0.0,0.0,1.78,0.0,1.19,0.04,0.89,0.93,0.0,33.07,0.11,6.37,82.08,54.4,0.0,0.19,0.0,0.7,0.0,0.07,0.15,0.04,47.22,0.81,1.07,53.8,2
Raúl Albiol,0.0,57.14,0.08,0.0,0.0,0.0,1.0,0.0,0.56,0.0,4.28,0.16,0.0,58.76,0.0,4.72,88.7,60.89,0.0,0.32,0.0,0.84,0.0,0.08,0.24,0.0,61.54,0.52,0.68,59.7,3
André Almeida,0.06,59.21,0.68,0.0,0.03,0.98,1.94,0.0,0.59,0.0,0.44,0.91,0.12,36.76,0.12,13.0,84.88,51.46,0.0,0.12,0.0,0.88,0.0,0.06,0.09,0.0,32.56,1.18,0.91,49.11,1
Mario Hermoso,0.12,65.0,0.58,0.04,0.04,0.0,0.85,0.0,0.73,0.04,2.92,0.81,0.12,54.08,0.08,6.38,87.41,64.97,0.0,0.31,0.0,0.65,0.0,0.08,0.12,0.08,56.45,0.5,1.04,47.98,2
Anuar,0.33,100.0,1.0,0.0,0.33,0.0,1.33,0.0,1.0,0.0,0.67,0.0,0.33,12.67,0.0,1.67,76.32,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.33,0.0,28.57,2.0,1.0,53.85,2
Héctor Bellerín,0.0,75.0,0.0,0.0,0.0,0.0,0.67,0.0,1.0,0.0,0.33,0.33,0.0,26.67,0.0,10.33,80.0,80.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.67,66.67,2
David García,0.06,100.0,0.47,0.06,0.0,0.0,1.06,0.0,1.41,0.03,4.69,0.09,0.0,44.34,0.0,4.19,81.04,49.79,0.0,0.25,0.0,0.94,0.0,0.16,0.25,0.03,70.25,0.47,1.69,59.31,2
Rui Silva,0.0,100.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.62,0.0,0.0,29.81,0.0,1.08,63.35,42.26,2.81,0.35,0.08,1.0,0.0,0.23,0.08,0.0,87.5,0.08,0.0,92.86,2
Sergi Roberto,0.17,55.56,0.78,0.0,0.09,0.0,0.96,0.0,0.48,0.0,0.57,0.48,0.04,36.22,0.04,9.87,92.8,64.1,0.0,0.09,0.0,0.35,0.0,0.09,0.13,0.0,36.84,0.52,0.83,48.94,3
Dani Ceballos,0.0,64.52,0.6,0.0,0.0,0.0,1.43,0.03,0.83,0.0,0.17,1.3,0.03,48.6,0.13,15.37,91.63,82.22,0.0,0.07,0.0,0.47,0.0,0.0,0.27,0.0,33.33,1.37,0.57,53.33,2
