Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Nono,0.0,0.06,34.48,1.25,0.0,0.0,1.63,0.69,0.0,0.69,0.0,0.94,0.06,0.13,26.81,76.69,7.0,67.44,0.0,0.13,0.0,0.0,1.06,0.06,0.19,0.06,17.14,38.73,1.56,1.44,16,3,3,Polonia Ekstraklasa,3
Jakub Nowakowski,0.0,0.0,50.0,0.0,0.0,0.0,1.27,0.47,0.0,0.2,0.0,0.87,0.0,0.0,8.0,73.33,1.53,48.0,0.0,0.0,0.0,0.0,0.33,0.07,0.0,0.0,16.67,49.21,0.6,0.47,15,1,3,Polonia Ekstraklasa,3
Kacper Kostorz,0.15,0.08,55.56,0.69,0.0,0.0,0.31,0.08,0.0,0.23,0.0,0.15,0.0,0.0,4.38,52.63,1.23,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,58.33,42.37,0.15,0.54,13,1,4,Polonia Ekstraklasa,3
Mikołaj Lebedyński,0.0,0.07,44.44,0.81,0.0,0.0,0.22,0.11,0.0,0.37,0.0,0.19,0.07,0.07,7.81,61.61,2.15,66.67,0.0,0.04,0.0,0.0,0.67,0.0,0.04,0.0,53.85,47.9,0.63,0.63,27,3,4,Polonia Ekstraklasa,3
Paweł Żyra,0.05,0.0,65.22,0.37,0.0,0.0,1.42,0.68,0.0,0.53,0.0,0.79,0.05,0.05,17.05,80.56,3.58,30.0,0.0,0.0,0.0,0.0,0.68,0.05,0.0,0.0,50.0,48.62,0.26,0.37,19,2,3,Polonia Ekstraklasa,3
Kamil Drygas,0.1,0.17,29.41,1.14,0.03,0.0,0.76,0.48,0.0,0.9,0.0,0.41,0.0,0.0,18.59,76.25,3.59,59.38,0.0,0.0,0.0,0.0,0.69,0.21,0.21,0.0,58.82,48.78,0.83,1.03,29,3,3,Polonia Ekstraklasa,3
Mateusz Mak,0.08,0.04,55.0,0.56,0.0,0.0,0.32,0.12,0.0,0.16,0.0,0.44,0.08,0.04,9.84,72.36,3.04,58.33,0.0,0.0,0.0,0.0,0.36,0.04,0.0,0.0,40.0,40.74,0.52,0.24,25,3,3,Polonia Ekstraklasa,3
Róbert Pich,0.0,0.0,85.71,0.29,0.0,0.0,0.71,0.12,0.0,0.24,0.0,0.35,0.06,0.06,7.06,80.0,2.59,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,11.11,50.91,0.53,0.35,17,3,3,Polonia Ekstraklasa,3
Santiago Naveda,0.06,0.0,80.0,0.29,0.0,0.0,0.94,1.18,0.0,1.24,0.0,0.47,0.0,0.0,15.47,76.81,2.06,44.74,0.0,0.06,0.0,0.0,0.59,0.24,0.06,0.12,53.13,55.56,1.06,0.94,17,1,3,Polonia Ekstraklasa,3
Camilo Mena,0.0,0.0,50.0,0.57,0.0,0.0,0.14,0.14,0.0,0.0,0.0,0.57,0.0,0.0,6.57,69.57,2.71,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,40.63,0.86,0.14,7,1,4,Polonia Ekstraklasa,3
Kevin Friesenbichler,0.0,0.0,50.0,1.0,0.0,0.0,0.67,0.33,0.08,0.25,0.0,0.75,0.08,0.0,13.25,74.84,2.92,52.94,0.0,0.0,0.0,0.0,0.67,0.0,0.17,0.0,40.0,42.11,0.67,0.42,12,2,3,Polonia Ekstraklasa,3
Rafał Leszczyński,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.05,0.1,0.0,0.0,29.75,42.02,1.35,31.02,2.5,0.15,0.15,0.0,1.2,0.25,0.05,0.0,66.67,61.54,0.2,0.05,20,3,1,Polonia Ekstraklasa,3
Jacek Kiełb,0.0,0.14,47.06,0.81,0.0,0.0,0.38,0.14,0.0,0.24,0.0,0.19,0.0,0.1,5.0,67.62,1.67,46.15,0.0,0.0,0.0,0.0,0.29,0.0,0.05,0.0,31.25,40.0,0.33,0.33,21,3,3,Polonia Ekstraklasa,3
Bassekou Diabate,0.0,0.09,49.25,1.3,0.0,0.0,0.96,0.39,0.0,0.17,0.0,0.57,0.13,0.09,10.13,79.4,3.35,60.0,0.0,0.0,0.0,0.0,0.83,0.09,0.13,0.0,29.73,44.59,1.43,0.65,23,1,4,Polonia Ekstraklasa,3
