Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Francisco Duclos,0.0,0.0,66.67,0.5,0.0,0.0,1.0,0.75,0.0,1.25,0.0,0.63,0.06,0.0,17.88,70.28,2.88,32.08,0.0,0.13,0.0,0.0,1.0,0.0,0.44,0.13,60.0,46.67,0.31,1.13,16,2,2,Peru Liga 1,3
David Dioses,0.0,0.0,0.0,0.53,0.0,0.0,0.47,0.47,0.0,0.12,0.0,0.41,0.0,0.0,22.82,79.9,4.94,50.0,0.0,0.0,0.0,0.0,0.82,0.18,0.12,0.0,27.27,45.83,0.65,0.35,17,2,3,Peru Liga 1,3
Brando Paladines,0.0,0.0,50.0,0.33,0.0,0.0,0.33,0.33,0.0,0.33,0.0,0.0,0.0,0.0,4.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,57.14,0.67,0.33,3,1,4,Peru Liga 1,3
Carlos Flores,0.0,0.0,0.0,0.23,0.0,0.0,0.38,0.31,0.0,0.38,0.0,0.23,0.0,0.0,16.38,83.57,2.77,62.86,0.0,0.0,0.0,0.0,0.62,0.15,0.23,0.0,0.0,26.32,0.0,0.62,13,3,3,Peru Liga 1,3
Rotceh Aguilar,0.0,0.0,42.86,0.43,0.0,0.0,1.35,1.09,0.04,1.83,0.0,0.87,0.04,0.04,29.26,81.58,6.0,57.45,0.0,0.09,0.0,0.0,1.13,0.17,0.26,0.04,62.16,51.75,0.61,0.7,23,1,2,Peru Liga 1,3
Jesus Arismendi,0.09,0.0,42.86,0.27,0.0,0.0,0.91,0.55,0.05,1.59,0.0,0.45,0.05,0.05,14.41,66.25,3.18,32.79,0.0,0.0,0.0,0.0,0.64,0.23,0.36,0.05,68.75,44.09,0.18,1.14,22,3,2,Peru Liga 1,3
Arly Benites,0.08,0.08,13.33,0.58,0.0,0.0,0.42,0.25,0.0,0.17,0.0,0.17,0.17,0.08,9.25,82.88,2.58,100.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,34.88,0.67,0.58,12,2,3,Peru Liga 1,3
Pedro De la Cruz,0.0,0.0,40.0,0.8,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.6,0.0,0.0,8.6,76.74,2.6,83.33,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.67,45.83,1.2,0.4,5,1,3,Peru Liga 1,3
Nicolás Figueroa,0.0,0.13,0.0,0.5,0.0,0.0,0.38,0.25,0.0,0.0,0.0,0.13,0.13,0.13,6.63,66.04,1.38,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,60.0,34.78,0.25,0.5,8,1,4,Peru Liga 1,3
Carlos Ruiz,0.0,0.11,50.0,0.33,0.0,0.0,1.78,0.0,0.0,0.0,0.0,0.56,0.11,0.11,7.89,80.28,2.0,57.14,0.0,0.0,0.0,0.0,0.56,0.11,0.11,0.0,16.67,43.24,0.89,1.22,9,1,4,Peru Liga 1,3
Yilton Díaz,0.0,0.0,44.44,0.67,0.0,0.0,0.78,0.11,0.0,0.0,0.0,0.0,0.0,0.0,7.0,79.37,2.22,50.0,0.0,0.0,0.0,0.0,0.44,0.33,0.0,0.0,0.0,48.15,0.22,0.33,9,3,3,Peru Liga 1,3
Jean Piere Mendoza,0.0,0.0,92.31,0.22,0.0,0.0,1.56,1.0,0.0,1.33,0.0,1.11,0.22,0.0,18.33,73.94,2.22,29.63,0.0,0.11,0.0,0.0,2.33,0.0,0.67,0.0,12.5,50.0,1.0,1.44,9,1,3,Peru Liga 1,3
Jorge Rios,0.0,0.0,66.67,0.5,0.0,0.0,0.3,0.4,0.0,0.2,0.0,0.3,0.0,0.0,15.1,83.44,2.8,57.14,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.1,0.0,41.94,0.6,0.8,10,1,3,Peru Liga 1,3
Emmanuel Páucar,0.0,0.0,0.0,0.17,0.0,0.0,0.5,0.39,0.06,0.39,0.0,0.39,0.0,0.0,28.17,86.59,4.5,67.11,0.0,0.17,0.0,0.0,0.83,0.22,0.11,0.0,26.67,35.19,0.33,0.28,18,2,3,Peru Liga 1,3
Piero Ratto,0.0,0.05,47.06,0.36,0.0,0.0,0.77,0.32,0.0,0.32,0.0,0.5,0.05,0.05,8.41,76.76,1.91,55.0,0.0,0.0,0.0,0.0,0.45,0.05,0.23,0.0,28.57,46.67,0.68,0.64,22,2,3,Peru Liga 1,3
Felipe Mesones,0.17,0.0,71.43,0.75,0.0,0.0,1.67,1.75,0.08,2.17,0.0,0.75,0.0,0.0,23.75,72.63,3.33,43.14,0.0,0.0,0.0,0.0,1.83,0.33,0.25,0.0,60.0,60.0,0.67,1.0,12,2,2,Peru Liga 1,3
Alonso Yovera,0.0,0.0,46.67,0.47,0.0,0.0,1.53,1.33,0.07,1.27,0.0,0.53,0.13,0.07,16.33,75.1,3.27,35.71,0.0,0.07,0.0,0.0,0.93,0.13,0.07,0.07,46.15,48.96,0.73,0.93,15,1,2,Peru Liga 1,3
Jefferson Farfán,0.0,0.0,0.0,0.33,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67,90.91,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.33,3,3,3,Peru Liga 1,3
Jefferson Caceres,0.0,0.0,33.33,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.0,6.75,85.19,2.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,37.5,0.5,0.25,4,1,4,Peru Liga 1,3
Paulo Goyoneche,0.0,0.0,0.0,0.5,0.0,0.0,1.13,0.38,0.0,0.5,0.0,0.75,0.0,0.0,17.13,68.61,2.88,48.28,0.0,0.0,0.0,0.0,1.25,0.25,0.13,0.0,60.0,50.0,0.5,1.13,8,2,3,Peru Liga 1,3
Luiggi Alburqueque,0.0,0.0,50.0,0.25,0.0,0.0,1.25,0.83,0.0,2.92,0.0,0.58,0.0,0.0,14.75,57.63,1.08,27.45,0.0,0.17,0.0,0.0,1.0,0.67,0.08,0.0,68.75,58.49,0.33,0.58,12,1,2,Peru Liga 1,3
José Cotrina,0.0,0.0,50.0,0.14,0.0,0.0,1.14,3.14,0.14,4.14,0.14,0.43,0.0,0.0,28.86,64.85,1.86,30.99,0.0,0.29,0.0,0.0,1.71,0.43,1.14,0.14,73.08,59.65,1.0,1.86,7,2,2,Peru Liga 1,3
Diego Temoche,0.0,0.14,25.0,0.86,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.14,0.0,0.0,12.0,71.43,2.43,33.33,0.0,0.14,0.0,0.0,0.43,0.0,0.0,0.0,40.0,36.36,0.29,0.43,7,1,3,Peru Liga 1,3
Cristian Carbajal,0.0,0.0,0.0,0.33,0.0,0.0,1.17,1.0,0.0,0.83,0.0,0.5,0.0,0.17,24.67,81.08,2.0,26.09,0.0,0.0,0.0,0.0,0.67,0.0,0.33,0.0,36.36,40.0,0.5,1.67,6,1,2,Peru Liga 1,3
Sharif Ramírez,0.0,0.0,0.0,0.8,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0.6,0.0,0.0,12.2,81.97,3.8,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,16.67,37.5,0.4,0.2,5,1,4,Peru Liga 1,3
Roberto Campos,0.0,0.0,41.18,0.7,0.0,0.0,0.5,0.4,0.0,0.0,0.0,0.2,0.0,0.0,10.2,74.51,2.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,50.0,48.94,0.8,0.3,10,2,3,Peru Liga 1,3
Valentino Sandoval,0.11,0.0,55.0,0.44,0.0,0.0,0.89,0.11,0.0,0.0,0.0,0.56,0.0,0.0,9.11,79.27,3.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.33,0.0,0.0,39.22,0.11,1.0,9,1,3,Peru Liga 1,3
Saúl Salas,0.0,0.0,33.33,0.38,0.0,0.0,1.63,1.75,0.13,4.13,0.0,0.88,0.0,0.0,28.38,69.6,3.88,39.53,0.0,0.13,0.0,0.0,1.38,0.25,0.25,0.0,46.67,40.0,0.25,1.88,8,2,2,Peru Liga 1,3
Antony Quijano,0.0,0.0,64.71,0.18,0.0,0.0,1.55,1.09,0.0,0.73,0.0,0.64,0.09,0.09,18.27,70.65,3.18,39.13,0.0,0.0,0.0,0.0,1.36,0.09,0.09,0.0,44.44,47.47,1.0,1.91,11,2,2,Peru Liga 1,3
Ignacio Rey,0.0,0.08,0.0,0.46,0.0,0.0,0.38,0.0,0.0,0.08,0.0,0.23,0.0,0.0,3.15,56.1,1.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.08,0.0,46.67,48.57,0.38,0.38,13,1,4,Peru Liga 1,3
Josue Rodriguez,0.13,0.0,50.0,0.53,0.07,0.0,0.73,0.4,0.0,0.93,0.07,0.13,0.07,0.07,11.47,70.35,2.13,39.13,0.0,0.0,0.0,0.0,1.53,0.13,0.13,0.0,31.71,43.27,1.27,0.93,15,2,4,Peru Liga 1,3
Royer Salcedo,0.33,0.33,0.0,1.0,0.33,0.0,1.0,0.33,0.0,0.0,0.0,0.67,0.0,0.0,2.67,62.5,0.33,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,22.22,26.32,0.0,1.33,3,1,3,Peru Liga 1,3
Jhilmar Lobatón,0.0,0.0,20.0,0.89,0.0,0.0,1.89,0.44,0.11,0.56,0.0,1.89,0.22,0.11,10.56,64.21,3.22,23.81,0.0,0.0,0.0,0.0,0.67,0.22,0.22,0.0,75.0,41.27,0.56,1.22,9,2,3,Peru Liga 1,3
Anthony Osorio,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,3.75,80.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.0,12.5,0.0,0.25,4,2,4,Peru Liga 1,3
Luis Rodríguez,0.0,0.0,100.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.75,0.25,0.0,5.75,56.52,0.75,40.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,100.0,45.45,0.5,0.25,4,1,3,Peru Liga 1,3
José Luján,0.0,0.0,16.67,0.44,0.0,0.0,0.78,1.56,0.0,2.56,0.0,1.0,0.0,0.0,35.67,82.55,4.22,51.52,0.0,0.33,0.0,0.0,0.44,0.11,0.33,0.11,66.67,41.67,0.56,1.22,9,2,2,Peru Liga 1,3
Hugo Magallanes,0.0,0.09,77.78,0.87,0.0,0.0,1.43,1.96,0.09,2.17,0.0,0.57,0.0,0.04,24.04,67.45,2.13,30.07,0.0,0.09,0.0,0.0,1.35,0.26,0.17,0.09,66.67,59.44,0.48,1.26,23,2,2,Peru Liga 1,3
Alessandro Moreno,0.25,0.0,44.44,1.75,0.0,0.0,1.75,1.25,0.0,1.25,0.0,0.75,0.0,0.25,44.0,81.82,7.5,43.48,0.0,0.0,0.0,0.0,2.5,0.0,0.5,0.0,0.0,52.46,4.25,0.75,4,1,3,Peru Liga 1,3
Juan Roque,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.8,0.0,0.4,0.0,0.4,0.0,0.0,12.0,70.0,1.6,9.09,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,28.57,42.86,0.2,0.6,5,1,2,Peru Liga 1,3
Jose Lozada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,22.13,49.15,0.5,37.68,4.0,0.13,0.38,0.0,2.5,0.5,0.25,0.0,100.0,100.0,0.38,0.0,8,3,1,Peru Liga 1,3
Victor Bazan,0.0,0.22,33.33,1.0,0.0,0.0,0.22,0.0,0.0,0.44,0.0,0.11,0.0,0.0,4.67,76.19,1.22,33.33,0.0,0.0,0.0,0.0,0.56,0.11,0.11,0.0,26.67,31.25,0.22,0.44,9,2,4,Peru Liga 1,3
Guillermo Larios,0.08,0.08,0.0,0.58,0.0,0.0,0.67,0.08,0.0,0.33,0.0,0.0,0.0,0.0,4.92,66.1,1.58,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.33,0.08,31.25,32.61,0.17,0.92,12,1,4,Peru Liga 1,3
Kevin Ferreyra,0.0,0.0,33.33,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,10.8,87.04,3.4,100.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,30.0,0.4,0.4,5,1,4,Peru Liga 1,3
Carlos Meza,0.0,0.06,43.75,0.44,0.0,0.0,1.25,0.56,0.0,0.31,0.0,0.44,0.06,0.0,13.13,79.05,4.0,68.75,0.0,0.0,0.0,0.0,0.75,0.13,0.19,0.0,10.53,40.31,1.44,1.5,16,1,3,Peru Liga 1,3
Diego Ramírez,0.0,0.05,50.0,0.37,0.0,0.0,0.42,0.26,0.0,0.26,0.0,0.42,0.05,0.05,12.26,74.68,2.79,45.45,0.0,0.0,0.0,0.0,0.47,0.05,0.26,0.05,70.59,50.0,0.89,0.79,19,2,3,Peru Liga 1,3
Pier Larrauri,0.0,0.0,40.0,0.67,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.33,0.0,0.0,5.83,82.86,1.5,66.67,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.0,50.0,37.5,0.83,0.67,6,2,3,Peru Liga 1,3
Adrián Quiroz,0.0,0.0,83.33,0.36,0.0,0.0,0.64,0.21,0.0,0.14,0.0,0.57,0.0,0.0,13.29,77.42,3.93,60.0,0.0,0.0,0.0,0.0,0.64,0.07,0.21,0.0,0.0,44.44,0.43,0.57,14,1,3,Peru Liga 1,3
Mario Tajima,0.0,0.05,46.15,0.4,0.0,0.0,0.55,0.25,0.0,0.05,0.0,0.4,0.1,0.1,10.7,75.7,3.4,47.83,0.0,0.0,0.0,0.0,0.8,0.05,0.2,0.05,57.14,43.28,0.4,0.5,20,2,3,Peru Liga 1,3
Christian Adrianzen,0.0,0.0,50.0,0.27,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.18,0.0,0.0,4.36,72.92,1.73,25.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,41.94,0.45,0.18,11,2,3,Peru Liga 1,3
Carlos Martin Solis,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.04,0.6,0.08,0.0,0.0,0.0,22.52,49.56,1.52,39.25,3.44,0.12,0.6,0.2,2.0,0.24,0.16,0.0,66.67,75.0,0.16,0.04,25,3,1,Peru Liga 1,3
Eduardo Uribe,0.0,0.0,57.14,0.2,0.0,0.0,1.0,1.0,0.0,1.4,0.0,0.87,0.0,0.0,16.4,71.14,2.67,42.55,0.0,0.0,0.0,0.0,1.0,0.07,0.07,0.0,66.67,50.0,0.27,0.47,15,3,3,Peru Liga 1,3
Juan Sánchez,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,66.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3,Peru Liga 1,3
Luis Valverde,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,21.0,57.14,2.0,33.33,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,50.0,1.0,2.0,1,1,2,Peru Liga 1,3
