Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Nicky Medja Beloko,0.07,0.07,52.11,0.83,0.0,0.0,3.69,1.69,0.03,1.21,0.0,1.34,0.17,0.03,31.55,75.85,8.17,58.59,0.0,0.1,0.0,0.0,0.97,0.24,0.48,0.0,44.44,48.74,1.1,2.59,29,1,3,Suiza Super League,3
Kasim Adams,0.04,0.0,66.67,0.39,0.04,0.0,0.93,1.39,0.07,3.86,0.04,0.43,0.04,0.04,60.86,87.09,4.54,53.02,0.0,0.18,0.0,0.0,0.96,0.14,0.14,0.04,51.95,55.19,0.36,0.39,28,2,2,Suiza Super League,3
Ignacio Aliseda,0.35,0.13,53.95,1.57,0.0,0.0,0.22,0.17,0.0,0.04,0.0,0.22,0.04,0.09,24.74,86.47,9.26,80.56,0.0,0.04,0.0,0.0,0.52,0.09,0.0,0.0,42.86,50.31,1.04,0.17,23,1,4,Suiza Super League,3
Mario Balotelli,0.33,0.17,50.0,2.94,0.0,0.0,0.17,0.11,0.0,1.0,0.0,0.0,0.17,0.0,19.28,65.42,4.61,59.38,0.0,0.0,0.0,0.0,1.33,0.11,0.5,0.0,56.67,52.08,1.94,1.11,18,3,4,Suiza Super League,3
Dejan Sorgić,0.36,0.27,72.22,1.09,0.09,0.0,1.0,0.14,0.0,0.18,0.0,0.41,0.05,0.0,11.86,78.16,4.23,25.0,0.0,0.0,0.0,0.0,0.64,0.23,0.0,0.0,21.43,46.28,0.68,0.77,22,3,4,Suiza Super League,3
David Douline,0.06,0.06,52.38,0.89,0.06,0.0,3.11,1.72,0.0,1.83,0.0,1.17,0.0,0.0,32.5,78.97,3.94,59.42,0.0,0.17,0.0,0.0,0.72,0.33,0.39,0.0,55.07,58.3,1.78,1.22,18,2,3,Suiza Super League,3
Pius Dorn,0.12,0.03,49.28,1.21,0.03,0.0,1.94,0.67,0.03,1.3,0.0,1.09,0.45,0.18,29.0,72.52,8.52,42.24,0.0,0.15,0.0,0.0,1.09,0.36,0.12,0.0,49.02,51.38,1.36,1.09,33,2,3,Suiza Super League,3
Tsiy William Ndenge,0.15,0.04,60.0,0.63,0.0,0.74,1.19,2.11,0.0,1.26,0.0,0.44,0.04,0.04,24.3,81.4,3.26,54.69,0.0,0.04,0.0,0.0,1.07,0.07,0.15,0.0,63.04,60.82,1.26,0.63,27,2,3,Suiza Super League,3
Denis Will Poha,0.03,0.03,68.18,0.97,0.0,0.0,1.23,1.1,0.03,0.47,0.0,0.57,0.13,0.07,32.2,84.47,9.5,66.44,0.0,0.03,0.0,0.0,1.1,0.17,0.17,0.03,43.18,51.15,0.63,0.97,30,2,3,Suiza Super League,3
Christian Fassnacht,0.28,0.14,40.0,2.31,0.1,0.0,1.86,0.79,0.0,0.62,0.0,1.24,0.21,0.14,22.62,76.83,7.38,37.78,0.0,0.07,0.0,0.0,0.66,0.07,0.17,0.0,58.49,41.45,0.21,1.03,29,2,3,Suiza Super League,3
Mohamed Camara,0.0,0.08,100.0,0.42,0.0,0.0,1.08,1.25,0.08,2.92,0.0,0.08,0.0,0.0,50.42,85.12,4.08,57.01,0.0,0.33,0.0,0.0,0.5,0.17,0.17,0.0,66.67,60.0,0.17,1.0,12,2,2,Suiza Super League,3
