Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Cristian Ramírez,0.07,0.04,54.55,1.41,0.0,0.0,1.7,1.22,0.07,1.96,0.0,0.37,0.07,0.11,53.11,84.59,11.74,50.86,0.0,0.26,0.0,0.0,1.22,0.19,0.15,0.04,64.29,59.59,0.89,0.96,27,2,2,Rusia Premier Liga,4
Daniil Fomin,0.18,0.07,50.0,1.68,0.0,0.0,1.93,1.21,0.0,0.82,0.0,0.46,0.11,0.07,42.39,80.54,10.96,54.1,0.0,0.18,0.0,0.0,1.39,0.11,0.18,0.0,54.1,49.53,0.46,1.57,28,2,3,Rusia Premier Liga,4
Artur Yusupov,0.12,0.08,62.5,1.12,0.0,0.0,1.27,0.65,0.0,0.46,0.04,0.88,0.12,0.15,41.35,79.63,11.08,69.31,0.0,0.12,0.0,0.0,1.31,0.31,0.15,0.0,44.12,38.6,0.12,1.12,26,3,4,Rusia Premier Liga,4
Nikita Burmistrov,0.0,0.05,56.52,1.29,0.0,0.0,0.95,0.67,0.0,0.24,0.0,0.24,0.33,0.24,22.1,73.28,6.38,50.0,0.0,0.0,0.0,0.0,0.67,0.14,0.05,0.0,47.22,44.53,0.33,0.67,21,3,4,Rusia Premier Liga,4
Egor Baburin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.8,0.0,0.05,0.0,0.0,31.6,51.9,0.75,38.93,4.5,0.15,0.65,0.2,1.95,0.35,0.1,0.0,71.43,69.23,0.2,0.05,20,2,1,Rusia Premier Liga,4
Danijel Miškić,0.11,0.04,78.57,1.81,0.07,0.0,1.07,1.11,0.0,1.04,0.04,0.78,0.11,0.0,47.19,80.53,10.67,64.67,0.0,0.19,0.0,0.0,1.3,0.11,0.3,0.0,58.82,48.84,0.52,1.15,27,2,3,Rusia Premier Liga,4
Kaio,0.0,0.0,66.67,0.25,0.0,0.0,1.45,1.45,0.1,3.5,0.0,0.15,0.05,0.05,50.3,87.38,2.95,50.4,0.0,0.2,0.0,0.0,1.0,0.1,0.2,0.05,80.3,72.99,0.6,0.6,20,2,2,Rusia Premier Liga,4
Mateo Cassierra,0.08,0.08,68.75,1.81,0.04,0.0,0.19,0.15,0.0,0.35,0.0,0.08,0.19,0.23,14.96,81.23,6.54,66.67,0.0,0.0,0.0,0.0,0.31,0.12,0.0,0.0,47.95,48.48,0.5,0.35,26,2,4,Rusia Premier Liga,4
Wilson Isidor,0.4,0.2,46.43,1.95,0.05,0.0,0.35,0.15,0.0,0.5,0.0,0.5,0.15,0.05,13.6,63.24,4.4,28.0,0.0,0.05,0.0,0.0,1.0,0.15,0.1,0.0,33.33,45.26,1.5,0.8,20,1,4,Rusia Premier Liga,4
Milson,0.13,0.0,59.38,0.94,0.06,0.0,0.69,0.44,0.0,0.06,0.0,0.44,0.13,0.13,15.81,75.49,6.13,85.71,0.0,0.0,0.0,0.0,0.94,0.0,0.25,0.0,0.0,50.33,2.94,1.13,16,1,4,Rusia Premier Liga,4
Georgi Gongadze,0.32,0.07,33.33,2.0,0.04,0.0,0.43,0.07,0.0,0.39,0.0,0.18,0.11,0.11,9.54,64.42,2.96,52.0,0.0,0.0,0.0,0.0,0.79,0.07,0.14,0.0,37.0,45.74,1.21,0.57,28,2,4,Rusia Premier Liga,4
