Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Miroslav Bjeloš,0,0,57.14,0.64,0,0,0.82,0.55,0,0.82,0,0.36,0,0,15.55,70.18,2.45,37.5,0,0,0,0,0.73,0,0.36,0,33.33,45.24,0.27,0.73,11
Ugochukwu Oduenyi,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,1.67,60,0,0,0,0,0,0,1.33,0,0,0,33.33,37.5,0.33,0.33,3
Molls Donald Ntchamda,0,0,75,0,0,0,1,0.3,0,0.7,0,0.3,0,0,13.7,77.37,1.2,38.89,0,0,0,0,0.3,0,0.2,0,40,55,0.4,0.8,10
Predrag Medić,0,0,40,0.56,0,0,1.22,0.39,0,0.28,0,0.5,0,0.06,17.56,72.15,3.44,37.78,0,0,0,0,0.78,0.06,0.11,0,59.52,55.36,0.61,0.72,18
Bogdan Jočić,0.05,0.05,28.57,0.41,0,0,1.73,0.36,0,0.5,0.05,1.09,0,0.05,19.18,73.46,3.45,50,0,0.05,0,0,0.77,0.05,0.18,0,46.43,41.03,0.41,1.41,22
Goran Lončar,0,0,75,0.2,0,0,0.9,0.8,0.05,0.95,0.05,0.35,0,0,17.5,66,1.95,38.6,0,0.1,0,0,0.65,0.1,0.3,0,42.31,53.08,1.85,1.5,20
Uroš Ljubomirac,0,0.2,40.91,1.07,0,0,0.73,0.6,0,0.33,0,0.67,0.07,0,20.47,70.36,5.67,31.25,0,0,0,0,0.47,0.07,0,0,44.64,43.41,0.73,0.6,15
Jovan Marinković,0,0.08,100,0.38,0,0,0.85,0.85,0.08,2.15,0,0.08,0,0.08,39.38,71.09,2.62,30.36,0,0.15,0,0,0.77,0.08,0.31,0,54.55,52.81,0.69,1.62,13
Uroš Kabić,0.11,0.05,40.74,0.42,0,0,0.47,0,0,0.11,0,0.21,0.05,0,6.16,72.65,1.84,50,0,0,0,0,0.26,0,0,0,35.71,44,1,0.32,19
Boris Velimirović,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,52.27,2,47.5,3.5,0,0.5,0,2,0.5,0,0,0,0,0,0,2
Vuk Bogdanović,0,0,0,0.33,0,0,0,0.33,0,1,0,0,0,0,5.67,94.12,0.33,0,0,0,0,0,0,0.33,0,0,0,50,0.67,0.33,3
Josip Projić,0,0,50,0,0,0,0.67,0.67,0,1.17,0,0.33,0,0,13.5,77.78,2.33,33.33,0,0,0,0,0.67,0,0.17,0,50,50,0.5,0.67,6
Martin Novaković,0,0,50,0.22,0,0,1.22,0.33,0,0.22,0,0.67,0,0,9.11,71.95,2,33.33,0,0.11,0,0,0.44,0.11,0,0,16.67,48.78,0.67,0.67,9
Dragan Stoisavljević,0,0,50,0.09,0,0,0.55,0.09,0,0.18,0,0.09,0,0,6.64,71.23,1,66.67,0,0,0,0,0.64,0,0.09,0,41.67,50,1.18,1,11
Ognjen Ajdar,0,0.05,83.33,0.42,0,0,0.21,0,0.05,0.16,0,0.21,0,0,5.79,83.64,2.37,25,0,0,0,0,0.26,0,0.05,0,63.64,50,0.26,0.37,19
Marko Maletić,0,0,66.67,0,0,0,0.07,0,0,0.14,0,0.21,0,0,6.36,64.04,1.43,42.86,0,0,0,0,0.36,0.21,0.14,0,44.83,37.25,0.21,0.93,14
Ivan Milosavljević,0.03,0.09,47.37,0.31,0,0,0.34,0.16,0,0.22,0,0.47,0.09,0.09,19.44,82.48,5.66,45,0,0.03,0,0,0.34,0.16,0.06,0,25.81,39.39,0.88,0.53,32
Miloš Mladenović,0,0,100,0,0,0,0,0,0,0.57,0,0.14,0,0,24.86,70.69,0.71,34.25,1.57,0.29,0.14,0,0.86,0.43,0.29,0,0,83.33,0.43,0,7
Filip Žunić,0,0,50,0.43,0,0,0.57,0.57,0,1.57,0,1.14,0,0,26.57,77.96,5.14,41.18,0,0,0,0,0.57,0,0.14,0,56.25,37.78,0.29,1.14,7
Danko Kiković,0,0,51.72,0.4,0,0,1.2,0.5,0,0.65,0,0.65,0,0.05,14.3,74.83,3.05,48.39,0,0,0,0,0.65,0.1,0.05,0.05,34.62,43.75,0.75,1.35,20
Nenad Adamović,0.09,0,50,0.27,0,0,0.27,0.18,0,0.18,0,0.55,0,0,12.64,69.78,2.27,18.18,0,0.09,0,0,0.55,0.09,0,0,30,31.58,0.36,0.36,11
Filip Petrović,0,0,50,0,0,0,0.91,0.82,0,0.91,0,0.55,0,0,12.91,59.86,1.91,32.14,0,0,0,0,0.82,0,0.09,0,31.25,41.86,0.18,0.45,11
