Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position
Bruce Kamau,0.0,0.0,42.86,0.22,0.0,0.0,0.67,0.33,0.0,0.22,0.0,0.22,0.11,0.11,9.11,80.49,3.78,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,50.0,44.68,0.56,0.33,9,2,4
Patrick Wood,0.14,0.23,80.0,1.09,0.0,0.0,0.23,0.14,0.0,0.23,0.0,0.14,0.09,0.0,4.45,70.41,1.41,16.67,0.0,0.0,0.0,0.0,0.36,0.05,0.23,0.0,10.0,44.3,0.59,0.68,22,1,4
Ben Halloran,0.11,0.11,57.14,1.85,0.0,0.0,1.26,0.41,0.0,0.48,0.0,1.26,0.07,0.11,31.67,78.95,9.41,40.91,0.0,0.07,0.0,0.0,1.41,0.26,0.22,0.04,50.0,44.25,1.41,1.52,27,3,3
Angus Thurgate,0.08,0.04,46.3,0.81,0.04,0.0,1.85,1.46,0.12,1.15,0.0,1.04,0.08,0.0,44.38,84.75,10.31,43.1,0.0,0.12,0.0,0.0,1.54,0.12,0.15,0.0,36.36,43.8,1.19,1.15,26,1,3
Harrison Steele,0.04,0.0,25.0,0.29,0.0,0.0,0.92,0.5,0.0,0.54,0.0,0.71,0.04,0.0,21.0,86.51,4.5,50.0,0.0,0.04,0.0,0.0,0.54,0.04,0.17,0.0,75.0,51.32,0.29,0.42,24,1,3
Lucas Mauragis,0.0,0.0,30.43,0.35,0.0,0.0,1.6,0.95,0.0,1.45,0.0,0.65,0.25,0.1,29.15,79.42,4.6,23.53,0.0,0.2,0.0,0.0,0.95,0.2,0.1,0.0,30.0,47.58,0.7,0.6,20,1,2
Jacob Muir,0.0,0.0,0.0,0.0,0.0,0.0,1.31,0.77,0.0,2.08,0.0,0.31,0.0,0.08,50.0,84.92,5.92,39.74,0.0,0.08,0.0,0.0,0.92,0.23,0.23,0.0,50.0,44.83,0.08,0.85,13,1,2
Tom Beadling,0.0,0.1,50.0,0.5,0.0,0.0,1.0,0.5,0.0,3.4,0.0,0.5,0.0,0.0,49.3,90.47,5.1,21.43,0.0,0.1,0.0,0.0,1.0,0.1,0.3,0.0,72.0,61.11,0.4,0.8,10,2,2
Zachary Duncan,0.04,0.0,38.89,0.42,0.04,0.0,1.5,1.0,0.0,0.75,0.0,0.17,0.0,0.0,16.08,78.76,3.0,47.22,0.0,0.0,0.0,0.0,0.96,0.08,0.17,0.0,31.25,54.47,0.79,0.83,24,1,3
Mark Natta,0.0,0.0,25.0,0.1,0.0,0.0,0.65,1.2,0.1,2.4,0.0,0.25,0.05,0.0,48.75,86.05,4.8,44.86,0.0,0.05,0.0,0.0,1.2,0.15,0.05,0.0,40.35,51.46,0.75,0.3,20,1,2
Joel King,0.0,0.0,83.33,0.08,0.0,0.0,1.15,0.85,0.0,1.23,0.08,0.85,0.0,0.08,35.15,82.93,6.77,58.93,0.0,0.15,0.0,0.0,0.69,0.08,0.23,0.0,28.57,45.45,0.08,0.69,13,1,2
Sulejman Krpić,0.15,0.31,0.0,1.54,0.08,0.0,0.54,0.23,0.0,0.85,0.0,0.46,0.08,0.0,18.62,70.25,2.85,33.33,0.0,0.31,0.0,0.0,0.46,0.08,0.23,0.0,41.35,38.99,0.92,1.46,13,3,4
Jaushua Sotirio,0.13,0.09,21.62,1.22,0.0,0.0,1.3,0.39,0.0,0.48,0.0,0.7,0.09,0.13,18.91,71.95,6.0,22.73,0.0,0.04,0.0,0.0,1.13,0.04,0.13,0.0,35.71,41.38,1.35,0.96,23,2,3
