#,Team,Name,Appearances
405,,Egor Sorokin,7
406,,Reda Rabeï,10
407,,Ilya Berkovskyi,6
408,,Khozhimat Erkinov,20
409,,Danil Lipovoy,5
410,,Aleksei Gerasimov,9
411,,Ivan Enin,22
412,,Daniil Kornyushin,14
413,,Márk Koszta,4
414,,Aleksander Zuev,24
415,,Aleksandr Orekhov,5
416,,Irakliy Manelov,9
417,,Moussa Sissako,10
418,,Vladimir Khubulov,21
419,,Maximiliano Caufriez,1
420,,Ifeany David Ndouka,1
421,,Ilya Ishkov,1
422,,Abdulla Bagamaev,1
423,,Georgi Karginov,1
424,,David Kokoev,1
425,,Oston Urunov,2
426,,Diego Acosta,2
427,,Ilya Charniak,2
428,,Roman Emelyanov,2
429,,Georgi Schennikov,3
430,,Denis Laptev,4
431,,Jajá,6
432,,Ramazan Gadzimuradov,10
433,,Nikita Ermakov,22
434,,Yuri Zheleznov,15
435,,Bojan Roganović,12
436,,Vladislav Masternoy,11
437,,Marko Rakonjac,12
438,,Georgi Zotov,12
439,,Momo Yansane,15
440,,Evgeni Shlyakov,17
441,,Andrey Malykh,8
442,,Egor Noskov,4
443,,Egor Proshkin,12
444,,Ilya Sadygov,20
445,,Dzhambulat Dulaev,3
446,,Ilya Kamyshev,8
447,,David Kobesov,6
448,,Miguel,2
449,,Sergey Gorshkov,2
450,,Matvey Ivakhnov,10
451,,Artem Meshchaninov,17
452,,Konstantin Shiltsov,10
453,,Kemal Ademi,1
454,,Maksim Petrov,1
455,,Danila Kozlov,2
456,,Oleg Isaenko,3
457,,Aleksey Shumskikh,3
458,,Bogdan Reichman,8
459,,Aleksandr Selyava,12
460,,Artem Simonyan,2
461,,Pedrinho,6
462,,Aleksandr Pavlovets,7
463,,Lev Skvortsov,8
464,,Janio Bikel,11
465,,Jonathan Okoronkwo,1
466,,Vitaliy Shitov,1
467,,Nikita Ershov,1
468,,Danil Massurenko,1
469,,David Toševski,2
470,,Egor Ushakov,4
471,,Artem Yuran,2
472,,Vitaliy Lystsov,8
473,,Ulvi Babaev,1
474,,Islam Alsultanov,1
475,,Dmitri Pivovarov,1
476,,Soslan Dzhanaev,9
477,,Mikhail Oparin,2
478,,Mikhail Smirnov,1
479,,Daniil Martovoy,1
480,,Vladislav Saus,1
481,,Mikhail Sukhoruchenko,1
