#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
324,,Mihail Caimacov,0,0,23.4,80.77,5.7,69.23
325,,Moses David Cobnan,0.1,0,12.1,73.55,3.4,83.33
326,,Sergey Volkov,0.19,0.15,36.26,79.88,7.11,42.17
327,,Aleksandr Koksharov,0,0,4.71,57.58,0.57,0
328,,Vadim Rakov,0,0.11,6.78,70.49,2.89,100
329,,Marcos Guilherme,0,0,12.7,86.61,3.9,33.33
330,,Diego Laxalt,0,0,26.67,70.42,4.89,30.3
331,,Rifat Zhemaletdinov,0.27,0.09,16.09,72.32,4.64,55.56
332,,Nikolay Sysuev,0,0,25.27,57.19,0.91,29.01
333,,Ilya Svinov,0,0,26.29,38.03,1.75,34.13
334,,Mikhail Ignatov,0.29,0.1,18.1,72.89,5.9,47.06
335,,Aleksey Pomerko,0,0,40,86.56,4.88,66.67
336,,Aleksandr Ryazantsev,0.06,0.06,32.56,79.08,8.13,37.21
337,,Ruslan Apekov,0,0,6.5,69.23,2,0
338,,Mikhail Sivakov,0,0,39.67,82.35,3.79,45.81
339,,Rizvan Utsiev,0,0,18.19,69.76,3.63,31.58
340,,Igor Lebedenko,0.09,0.05,17.27,73.68,4.68,50
341,,Timofey Shipunov,0.07,0,10,82,3,85.71
342,,Alikhan Shavaev,0,0,8.89,81.25,2.11,57.14
343,,Vladislav Shitov,0.04,0.04,6.22,68.53,2.09,66.67
344,,Danila Khotulev,0,0,38.64,81.7,4.29,33.75
345,,Roman Tugarev,0.04,0,11.88,72.28,3.96,46.15
346,,Stepan Melnikov,0,0,3.7,75.68,1.6,0
347,,Ibrokhim Yuldoshev,0,0.04,14.41,74.81,3.52,31.11
348,,Igor Savić,0,0,29.14,73.53,3.07,50
349,,Artur Chernyi,0,0,27.82,78.1,3.18,45.45
350,,Magomed Shapi Suleymanov,0,0,14,89.29,3.5,57.14
351,,Vladislav Yakovlev,0.1,0.1,3.25,63.08,0.55,100
352,,Mateo Stamatov,0,0,21.53,73.99,3.53,18.42
353,,Vyacheslav Litvinov,0,0,35.94,86.86,2.56,37.18
354,,Konstantin Maradishvili,0,0.05,14.81,64.31,3.33,34.69
355,,Shamar Nicholson,0.09,0.05,9.59,69.19,3.18,88.89
356,,Daniil Lesovoy,0,0,8.54,70.27,2.77,50
