#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
330,,Diego Laxalt,0,0,54.55,0.11,0,0
331,,Rifat Zhemaletdinov,0,0,53.33,1,0,0
332,,Nikolay Sysuev,0,0,0,0,0,0
333,,Ilya Svinov,0,0,0,0,0,0
334,,Mikhail Ignatov,0.1,0.29,38.46,1.1,0,0
335,,Aleksey Pomerko,0.13,0,0,0.13,0,0
336,,Aleksandr Ryazantsev,0,0.13,25,1.06,0,0
337,,Ruslan Apekov,0,0,50,0.5,0,0
338,,Mikhail Sivakov,0,0,75,0.42,0,0
339,,Rizvan Utsiev,0,0,22.22,0.06,0,0
340,,Igor Lebedenko,0.09,0.09,53.85,0.41,0,0
341,,Timofey Shipunov,0.13,0,55.56,0.2,0,0
342,,Alikhan Shavaev,0,0,50,0.11,0,0
343,,Vladislav Shitov,0.09,0.04,35.29,0.87,0,0
344,,Danila Khotulev,0,0,0,0.5,0,0
345,,Roman Tugarev,0.04,0.04,44,1,0,0
346,,Stepan Melnikov,0.1,0,33.33,0.3,0,0
347,,Ibrokhim Yuldoshev,0.07,0,41.94,0.33,0,0
348,,Igor Savić,0,0,40,0.57,0,0
349,,Artur Chernyi,0,0.09,100,0.36,0,0
350,,Magomed Shapi Suleymanov,0,0,53.85,0.25,0,0
351,,Vladislav Yakovlev,0.05,0.05,25,0.5,0,0
352,,Mateo Stamatov,0,0,65.22,0.4,0,0
353,,Vyacheslav Litvinov,0,0,100,0.22,0,0
354,,Konstantin Maradishvili,0.1,0.05,44.44,0.76,0,0
355,,Shamar Nicholson,0.14,0.5,46.67,1.23,0,0
356,,Daniil Lesovoy,0,0.08,63.16,0.15,0,0
357,,Ilya Gaponov,0.06,0.06,100,0.31,0.06,0
358,,Gyrano Kerk,0.12,0.12,57.89,1.24,0,0
359,,Vladimir Obukhov,0.18,0.09,0,0.73,0,0
360,,Ayaz Guliev,0,0,57.14,1.11,0,0
361,,Artem Samsonov,0,0,46.15,0.68,0,0
362,,Ákos Kecskés,0,0,50,0,0,0
363,,Luka Tsulukidze,0,0,0,0,0,0
364,,Rustam Khalnazarov,0,0,0,0,0,0
365,,Dmytro Ivanisenia,0,0,50,1,0,0
366,,Dmitriy Kratkov,0,0,50,0.5,0,0
367,,Magomed Yakuev,0,0,0,0,0,0
368,,Aleksey Baranovskiy,0,0,50,0,0,0
369,,Miha Mevlja,0,0,0,0,0,0
370,,Daniil Odoevski,0,0,0,0,0,0
371,,Nikolay Rasskazov,0.06,0,53.33,0.31,0.06,0
372,,Daniil Kulikov,0,0,66.67,0.15,0,0
373,,Leo Goglichidze,0,0,38.46,0.19,0,0
374,,Eli Dasa,0,0,40,0.36,0,0
375,,Maciej Rybus,0.13,0,50,0.13,0,0
376,,Ruslan Magal,0.04,0,38.46,0.4,0,0
377,,Kirill Glebov,0,0,50,0.17,0,0
378,,Artem Ntumba Muamba,0,0.14,66.67,0.71,0,0
379,,Kirill Bozhenov,0,0,28.57,0.36,0,0
380,,Nikola Antić,0,0,100,0.73,0,0
381,,Amur Kalmykov,0,0,66.67,0.8,0,0
382,,Egor Danilkin,0,0,0,0,0,0
383,,Evgeniy Tatarinov,0,0,0,0.1,0,0
384,,Oleg Shatov,0,0,100,0.25,0,0
385,,Yordy Reyna,0,0,34.48,1.18,0,0
386,,Alexey Keniaykin,0,0,0,0,0,0
387,,Maksim Turishchev,0,0.04,50,0.92,0,0
388,,Igor Smolnikov,0.05,0.05,17.65,0.27,0,0
389,,Evgeniy Markov,0,0,14.29,0.89,0,0
390,,Vladislav Samko,0,0,0,0,0,0
391,,Nikolay Titkov,0,0,55.56,0.56,0,0
392,,Vitaliy Gudiev,0,0,0,0,0,0
393,,Maksim Nenakhov,0.05,0.05,69.23,0.2,0,0
394,,Vladimir Poluyakhtov,0,0,14.29,0.25,0,0
395,,Denis Terentjev,0,0,40,0.38,0,0
396,,Roman Yuzepchuk,0,0,38.46,0.09,0,0
397,,Lachezar Kotev,0,0,100,0,0,0
398,,Maksim Danilin,0,0,0,0.5,0,0
399,,Aleksey Gorodovoy,0,0,0,0,0,0
400,,Stefan Melentijević,0,0,40,0.25,0,0
401,,Mario Mitaj,0,0,50,0.14,0,0
402,,Albert Sharipov,0,0,75,0.25,0,0
403,,Mukhammad Sultonov,0,0.11,25,0.56,0,0
404,,Amir Batyrev,0,0.11,16.67,0.44,0,0
405,,Egor Sorokin,0,0,0,0.29,0,0
406,,Reda Rabeï,0.1,0.1,25,1.2,0,0
407,,Ilya Berkovskyi,0,0,0,0.5,0,0
408,,Khozhimat Erkinov,0,0.1,41.18,0.6,0,0
409,,Danil Lipovoy,0,0,20,0,0,0
410,,Aleksei Gerasimov,0,0,100,0.22,0,0
411,,Ivan Enin,0,0,54.55,0.36,0,0
412,,Daniil Kornyushin,0,0.07,50,0.36,0,0
413,,Márk Koszta,0,0,0,0,0,0
414,,Aleksander Zuev,0,0,32,0.58,0,0
415,,Aleksandr Orekhov,0,0,16.67,1,0,0
416,,Irakliy Manelov,0,0,33.33,1.33,0,0
417,,Moussa Sissako,0.1,0,25,0.4,0,0
418,,Vladimir Khubulov,0.05,0,29.41,0.76,0,0
419,,Maximiliano Caufriez,0,0,0,0,0,0
420,,Ifeany David Ndouka,0,0,0,0,0,0
421,,Ilya Ishkov,0,0,0,0,0,0
422,,Abdulla Bagamaev,0,0,0,0,0,0
423,,Georgi Karginov,0,0,50,0,0,0
424,,David Kokoev,0,0,0,0,0,0
425,,Oston Urunov,0,0,0,0,0,0
426,,Diego Acosta,0,0,0,0,0,0
427,,Ilya Charniak,0,0,100,0,0,0
428,,Roman Emelyanov,0,0,0,0,0,0
429,,Georgi Schennikov,0,0,0,0.33,0,0
430,,Denis Laptev,0,0.25,0,0.25,0,0
431,,Jajá,0,0.17,47.06,1,0,0
432,,Ramazan Gadzimuradov,0,0.1,25,1.5,0,0
433,,Nikita Ermakov,0,0,36.36,0.18,0,0
434,,Yuri Zheleznov,0,0,30.77,0.27,0,0
435,,Bojan Roganović,0,0,28.57,0.17,0,0
436,,Vladislav Masternoy,0,0,50,0.55,0,0
437,,Marko Rakonjac,0,0,55.56,0.83,0,0
438,,Georgi Zotov,0,0.08,25,0.42,0,0
439,,Momo Yansane,0,0,44.44,0.53,0,0
440,,Evgeni Shlyakov,0,0,55.56,0.18,0,0
441,,Andrey Malykh,0,0,28.57,0.13,0,0
442,,Egor Noskov,0,0,75,0.5,0,0
443,,Egor Proshkin,0,0.08,50,0.17,0,0
444,,Ilya Sadygov,0.05,0,0,0.1,0,0
445,,Dzhambulat Dulaev,0,0,0,0,0,0
446,,Ilya Kamyshev,0,0,40,0.25,0,0
447,,David Kobesov,0,0,14.29,0.33,0,0
448,,Miguel,0,0,0,1.5,0,0
449,,Sergey Gorshkov,0,0,0,1,0,0
450,,Matvey Ivakhnov,0.1,0,100,0.2,0,0
451,,Artem Meshchaninov,0,0,50,0.41,0,0
452,,Konstantin Shiltsov,0,0,33.33,0.4,0,0
453,,Kemal Ademi,0,0,0,0,0,0
454,,Maksim Petrov,0,0,0,0,0,0
455,,Danila Kozlov,0,0,0,0.5,0,0
456,,Oleg Isaenko,0,0,0,0,0,0
457,,Aleksey Shumskikh,0,0,0,0,0,0
458,,Bogdan Reichman,0,0,60,0.25,0,0
459,,Aleksandr Selyava,0.08,0,50,0.25,0,0
460,,Artem Simonyan,0,0,0,1,0,0
461,,Pedrinho,0,0.33,43.48,1.83,0,0
462,,Aleksandr Pavlovets,0,0,0,0.29,0,0
463,,Lev Skvortsov,0,0,35.71,0.13,0,0
464,,Janio Bikel,0,0,53.85,0.27,0,0
465,,Jonathan Okoronkwo,0,0,0,0,0,0
466,,Vitaliy Shitov,0,0,0,0,0,0
