Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Martin Hála,0.08,0.12,56.25,0.8,0,0,0.48,0.08,0,0.44,0,0.28,0.08,0,12.44,58.52,3.92,19.51,0,0,0,0,0.8,0.12,0.04,0,50,51,0.84,0.52,25
Jan Kalabiška,0.13,0.1,63.64,0.9,0.03,0,1.17,1.07,0.03,1.17,0,0.4,0.07,0.03,25.83,62.32,5.77,30.97,0,0.23,0,0,0.9,0.13,0.2,0.03,56.45,53,1.33,1.43,30
Ondřej Mihálik,0.13,0.2,50,1.3,0.07,0,0.37,0.27,0,0.23,0,0.2,0.17,0.13,11.63,66.76,2.73,34.78,0,0,0,0,0.77,0.2,0.13,0,47.5,44.24,0.73,1.07,30
David Buchta,0.04,0.04,60,0.74,0,0,0.56,0.22,0,0.19,0,0.07,0.11,0.15,10.96,72.64,3.37,50,0,0.04,0,0,0.63,0.04,0.11,0,0,40.96,0.48,0.37,27
Martin Dostal,0.03,0,38.46,0.25,0,0,0.75,0.5,0.03,0.59,0,0.28,0.16,0.13,18.94,56.93,5.59,31.69,0,0.13,0,0,1.09,0.19,0.03,0,42.86,43.9,0.34,0.66,32
David Heidenreich,0,0,50,0.4,0,0,1.1,1.25,0,3.6,0,0.05,0,0,35.7,78.01,2.15,50.38,0,0.15,0,0,1.15,0.3,0.15,0.05,62.16,59.18,0.6,1.1,20
Vasil Kušej,0.25,0.38,40,2.13,0,0,0.38,0.5,0,0,0,0.13,0.06,0,20.81,64.56,8,38.89,0,0.06,0,0,0.56,0.19,0.25,0,36.36,37.68,1.63,1.63,16
Adam Jánoš,0.1,0,50,1.26,0,0,1,1.03,0,0.65,0,0.32,0,0.03,21.35,61.33,5.13,45.45,0,0.03,0,0,0.77,0.13,0.16,0.03,35.29,48.63,0.94,1,31
Róbert Matejov,0.08,0,50,0.33,0,0,0.75,0.5,0,0.33,0,0.08,0,0,19.75,73.42,3.75,54.17,0,0,0,0,1.17,0.25,0,0,40,51.52,0.33,0.5,12
Lukáš Endl,0,0.05,92.31,0.5,0,0,1.6,1.15,0.1,4.35,0.05,0.45,0.05,0,38.95,74.84,3.3,48.44,0,0.1,0,0,1.55,0.35,0.2,0,50,57.76,0.85,1,20
Vlasiy Sinyavskiy,0.08,0.04,44,0.42,0,0,0.88,0.27,0.04,0.27,0,0.19,0.15,0.12,12.08,70.38,3.15,47.22,0,0.15,0,0,0.5,0.08,0.12,0,50,50.83,0.69,0.54,26
Martin Chlumecky,0.04,0,75,0.54,0,0,1.46,1.17,0,2.33,0,0.63,0,0,44.04,67.46,5.96,37.5,0,0.21,0,0,1.33,0.17,0.25,0,55.74,54.5,1.17,1.54,24
Eldar Šehić,0,0.04,50,0.42,0,0,1.25,0.79,0,0.63,0,0.29,0,0.04,15.92,69.9,3.5,34.21,0,0.13,0,0,0.67,0.08,0.33,0,40,49.46,0.5,1.13,24
Merchas Doski,0.12,0,45.45,0.5,0,0,1.23,0.65,0,0.73,0,0.38,0,0,16.69,67.05,3.92,54.05,0,0.04,0,0,0.65,0.15,0.12,0,44.44,54.22,1.58,1,26
Laco Takacs,0,0,0,0.4,0,0,0.2,0.2,0,2.8,0,0,0.2,0,21,67.62,2.2,38.1,0,0.2,0,0,0.6,0.2,0.4,0,77.78,60,0.8,0.6,5
Martin Berkovec,0,0,0,0,0,0,0.03,0.03,0,1.03,0.03,0,0,0,34.28,57.79,1.38,34.93,3.06,0.13,0.13,0,1.53,0.28,0.09,0,83.33,91.67,0.22,0,32
Jan Vodhanel,0.17,0,30.77,0.83,0,0,0.43,0.17,0,0.17,0,0.3,0.04,0,9.83,72.57,2.61,61.11,0,0,0,0,0.48,0.09,0.04,0,11.11,42.17,0.87,0.57,23
