#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
270,,Shikabala,0.1,0,33.33,0.81,0,0
271,,Mostafa Fawzy,0.16,0.11,0,1.21,0.05,0
272,,Mahmoud Sayed,0.04,0,52.63,0.56,0.04,0
273,,Hassan Magdy,0,0,28.57,0,0,0
274,,Ali El Zahdi,0.04,0.04,45,0.58,0,0
275,,Dokou Dodo,0,0,45.83,0.55,0,0
276,,Ahmed Mayhoub,0,0,0,0,0,0
277,,Mohamed Hamed,0,0,50,0.32,0,0
278,,Karim Arafat,0,0,27.27,0.08,0,0
279,,Sodiq Awujoola,0.18,0.23,52.86,1.59,0,0
280,,Mahmoud Bolbol Nabil,0,0,50,0.29,0,0
281,,Hatem Mohamed,0,0,52.94,0.4,0,0
282,,Mahmoud Talaat,0,0.03,57.14,0.5,0,0
283,,Kelechi Chimezie,0,0,44.44,0.8,0,0
284,,Amir Abed,0,0,40,0.05,0,0
285,,Mohamed Ahmed Fouad,0.05,0.09,57.14,0.86,0,0
286,,Ehab Samir,0,0,57.69,0.69,0,0
287,,Amr Hossam,0,0,100,0,0,0
288,,Ahmed Sayed Abdelnaby,0,0,41.67,0.18,0,0
289,,Ahmed Fawzi,0,0,62.5,0.45,0,0
290,,Ahmed Said,0,0,100,0.19,0,0
291,,Benjamin Bernard Boateng,0.23,0.07,41.82,1.13,0,0
292,,Dilson,0.14,0.29,35,1.57,0.14,0
293,,Dodo El Gabas,0.11,0,0,1.11,0,0
294,,Ahmed Eid,0,0,46.15,0.38,0,0
295,,Mohamed Bazoka,0,0,83.33,0.42,0,0
296,,Ahmed  Abdelkader,0.25,0.33,41.38,1.83,0.04,0
297,,Mohamed Mahmoud,0,0,54.17,0.95,0,0
298,,Tarek Taha,0,0,63.64,0.2,0,0
299,,Ziad Kamal,0,0,37.5,0.63,0,0
300,,John Okoye Ebuka,0.21,0,43.24,2.86,0,0
301,,Farid Shawky,0,0,42.86,0.22,0,0
302,,Omar Gaber,0,0.13,36.36,0.38,0,0
303,,Ahmed Yasser,0.15,0.05,32.14,1.05,0.05,0
304,,Abdel Naser Mohamed Di Maria,0,0,50,0.53,0,0
305,,Rafik Kabou,0.24,0.12,41.18,1.15,0,0
306,,Walid Mostafa,0,0,36.36,0.75,0,0
307,,Mohamed Ashraf,0,0,50,0.29,0,0
308,,Islam Salah,0.05,0.05,0,0.21,0.05,0
309,,Naser Naser,0,0,60,0.76,0,0
310,,Mohamed Tarek,0,0,71.43,0.25,0,0
311,,Abderrahim Deghmoum,0.08,0.2,51.25,1.68,0.04,0
312,,Mostafa Abdel Rasoul,0,0,50,0.58,0,0
313,,Emad Fathy,0,0,55.74,0.77,0,0
314,,Belal El Sayed,0.05,0,53.85,1.2,0,0
315,,Hesham Balaha,0,0,60,0.45,0,0
