#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
389,,Hazem Morsi,0,0,0,0,0.5,0.05
390,,Austin Amutu,0,0,0,0,0.41,0
391,,Mostafa Dowidar,0,0.06,0,0,0.59,0.06
392,,Amr El Morsi,0,0,0,0,0,0
393,,Girgis Magdy,0,0,0,0,0,0
394,,Ahmed Ashraf Ahmed,0,0,0,0,0.29,0
395,,Eslam Gaber,0,0,0,0,0.46,0.13
396,,Osama El Gazar,0,0,0,0,0.67,0
397,,Mohamed El Shamy,0,0.14,0,0,0.82,0.07
398,,Hamed Khaled El Gabry,0,0.08,0,0,1,0.04
399,,Ahmed Masoud,2.25,0.25,0.13,0,1,0.25
400,,Mohamed Hozian,0,0.1,0,0,0.4,0
401,,Samson Akinyoola,0,0,0,0,0.33,0
402,,Omar Salah,2.56,0.33,0.22,0,1.56,0.11
403,,Gavin Kizito,0,0,0,0,1,0.33
404,,Mohamed Abdelsalam,0,0,0,0,0.25,0
405,,El Sabahy Emad,0,0.25,0,0,0.5,0
406,,Mohamed Diab,0,0.33,0,0,0.67,0
407,,Mohamed Ahmed Kamel,0,0.18,0,0,1,0
408,,Mohamed El-Maghrabi,0,0.29,0,0,0.94,0
409,,Abdelaziz El Sayed,0,0.18,0,0,0.86,0.11
410,,Mostafa Shakshak,0,0.13,0,0,0.91,0.04
411,,Seif Farouk Gaafar,0,0,0,0,0.4,0.07
412,,Mahmoud Mamdouh,0,0.05,0,0,0.58,0.11
413,,Mohamed Bassiouny,0,0.13,0,0,0.33,0.2
414,,Ahmed El Sheikh,0,0,0,0,0.36,0.18
415,,Basem Morsi,0,0,0,0,0.56,0.07
416,,Essam Sobhy,0,0.18,0,0,0.77,0.09
417,,Mostafa Gamal,0,0.16,0,0,1.16,0.16
418,,Bruno Sávio,0,0,0,0,0.36,0
419,,Alia Sylla,0,0,0,0,0.57,0
420,,Kingsley Fidelis Kuku,0,0,0,0,0.3,0
421,,Khaled El Akhmimi,0,0,0,0,0.53,0.05
422,,Emmanuel David,0,0,0,0,0.59,0.12
423,,Ibrahim Kone,0,0,0,0,0.69,0.13
424,,Salah Mohsen,0,0,0,0,0.26,0.11
425,,Gedo,0,0,0,0,0.88,0.08
426,,Ali Fathi,0,0.13,0,0,1,0.09
427,,Paul Joules,0,0,0,0,0.38,0
428,,Gaber Kamel,0,0.04,0,0,0.63,0.08
429,,Assem Salah,0,0,0,0,1.57,0.14
430,,Mohammed Rashid,0,0,0,0,0,0
431,,Motaz El Sayed,0,0,0,0,0,0
432,,Khaled Alnabrisi,0,0,0,0,0,0
433,,Sherif Dabo,0,0,0,0,1,0
434,,Abdoul Kader Coulibaly,0,0,0,0,0,0
435,,Saber El Shimi,0,0,0,0,0,0
436,,Mahmoud El Gharabawy,2,0,0,0,1,0
437,,Mahmoud Shedid Kenawi,0,0,0,0,0,0
438,,Ahmed El Sebai,0,0,0,0,1,1
439,,Shemeles Bekele,0,0,0,0,1.5,0
440,,El Habib Ahmed Hassan,0,0,0,0,0,0
441,,Amr Khalil,2.5,0,0.5,0,2,0
442,,Mohamed Benkhemassa,0,0,0,0,0,0
443,,Ali Yasser,0,0.33,0,0,0.33,0
444,,Ojo Tolulope,0,0,0,0,0,0
445,,Arthur Justice,0,0,0,0,0.2,0.4
446,,Mahmoud Gehad,0,0.17,0,0,0.5,0
447,,Medhat Fakousa,0,0,0,0,0.67,0
448,,Salah Zayed,0,0,0,0,0.14,0
449,,Eric Traore,0,0,0,0,0.67,0.08
450,,Ali Hamdy,0,0.05,0,0,0.32,0.05
451,,Ahmed Gamal,0,0.04,0,0,1.21,0.04
452,,Mahmoud Shabrawy,0,0,0,0,0.32,0.05
453,,Momen Atef,0,0.16,0,0,0.89,0.11
454,,Abdel Rahman Emad,0,0,0,0,0.25,0
455,,Mahmoud Emad,0,0,0,0,0.59,0.12
456,,Mohamed Saeed,0,0.07,0,0,0.78,0.04
457,,Mahmoud Zalaka,0,0,0,0,0.16,0
458,,Halimo,0,0.11,0,0,1,0.04
459,,Paulin Voavy,0,0,0,0,0.5,0
460,,Mohamed Dhaoui,0,0.11,0,0,0.22,0
461,,Ahmed El Saadani,2.44,0.22,0.11,0,1.33,0.11
462,,Razak Cissé,0,0.13,0,0,0.69,0.31
