#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
255,,Louay Wael,0,0,5.88,57.45,0.13,16.67
256,,Jefferson Encada,0,0.08,27.42,79.79,4.25,38.36
257,,Sobhy Soliman,0,0,23,46.38,0.67,27.45
258,,Mohamed Ibrahim,0.16,0.13,41.13,77.36,14.28,52.94
259,,Shady Hussein,0,0.07,11.21,78.98,3,63.64
260,,Ammar Hamdy,0,0,19.18,79.62,4.27,15.38
261,,Karim Bambo,0.11,0.07,12,69.64,3.25,45
262,,Ahmed Awad,0,0,35.29,73.68,2.07,38.69
263,,Mohamed Salem,0,0.07,6.93,52.88,1.73,40
264,,Malick Evouna,0,0,8.17,57.14,1.67,50
265,,Hossam Greisha,0.11,0.11,7.78,71.43,3,33.33
266,,Mustafa Anani,0,0,10.25,73.17,1.25,33.33
267,,Mohamed El Fayoumi,0,0,13.83,74.7,2,55
268,,Hesham Mohamed,0,0,16.8,92.26,1.8,84.62
269,,Omar Radwan,0,0,14.73,66.05,0.09,31.58
270,,Shikabala,0.19,0.1,16.76,77.56,6.33,51.61
271,,Mostafa Fawzy,0.05,0.05,9.63,56.28,2.21,55.56
272,,Mahmoud Sayed,0.04,0.04,23.52,79.93,4.4,50
273,,Hassan Magdy,0,0,25.8,75.58,4.9,51.56
274,,Ali El Zahdi,0.12,0,10.77,63.21,2.65,32
275,,Dokou Dodo,0.07,0.03,27.93,74.69,5.28,51.47
276,,Ahmed Mayhoub,0,0,25.57,68.16,1,35.85
277,,Mohamed Hamed,0,0,32.64,70.75,2.5,39.63
278,,Karim Arafat,0,0,23.08,74.37,5.42,45
279,,Sodiq Awujoola,0.18,0.05,21.14,73.33,7,59.38
280,,Mahmoud Bolbol Nabil,0,0,29.71,86.78,7.07,59.62
281,,Hatem Mohamed,0,0,40.1,84.29,7.6,51.16
282,,Mahmoud Talaat,0,0,31.27,76.55,5.6,47.54
283,,Kelechi Chimezie,0.07,0.03,35.1,80.53,4.37,53.79
284,,Amir Abed,0,0,18.26,73.49,2.37,40.48
285,,Mohamed Ahmed Fouad,0,0.05,16.82,74.59,4.77,45.24
286,,Ehab Samir,0,0.04,33.27,74.91,5.85,46.25
287,,Amr Hossam,0,0,22.79,47.87,1.39,34.07
288,,Ahmed Sayed Abdelnaby,0.04,0.07,25.25,68.32,4.61,30.71
289,,Ahmed Fawzi,0.09,0.09,24.45,71,4.27,42.55
290,,Ahmed Said,0.06,0,19.88,73.58,4.44,53.62
291,,Benjamin Bernard Boateng,0.07,0.03,9.67,67.59,2.7,53.85
292,,Dilson,0.07,0.07,10.93,66.99,2.71,58.33
293,,Dodo El Gabas,0,0,3.22,62.07,0.89,33.33
294,,Ahmed Eid,0,0,15.88,67.32,2.44,37.25
295,,Mohamed Bazoka,0.03,0.03,37.13,70.11,4.58,43.36
296,,Ahmed  Abdelkader,0.08,0,24.71,82.12,7.79,60.61
297,,Mohamed Mahmoud,0,0.05,17.4,79.02,5.55,65.85
298,,Tarek Taha,0,0,33.6,87.5,6.6,72.73
299,,Ziad Kamal,0,0,34.38,79.64,4.63,43.33
300,,John Okoye Ebuka,0.07,0.07,11.5,72.67,4.14,50
301,,Farid Shawky,0,0.04,50.59,83.16,6.33,55.24
302,,Omar Gaber,0.06,0.06,25.94,83.13,6,50
303,,Ahmed Yasser,0.15,0.1,21.3,68.08,4.3,44.44
304,,Abdel Naser Mohamed Di Maria,0,0.07,8.13,72.13,3.27,41.67
305,,Rafik Kabou,0.09,0.15,18.65,75.08,5.15,61.54
306,,Walid Mostafa,0.06,0.13,12.19,70.77,2.63,40
307,,Mohamed Ashraf,0,0,32.29,79.65,8,43.48
308,,Islam Salah,0,0,18.05,81.63,0.47,36.36
309,,Naser Naser,0,0,25.35,83.06,4.88,54.35
310,,Mohamed Tarek,0,0,25.5,83.33,3.88,42.11
311,,Abderrahim Deghmoum,0.04,0.04,28.52,78.4,7.88,58.73
312,,Mostafa Abdel Rasoul,0,0,21.33,69.92,1.92,35.9
313,,Emad Fathy,0.17,0.03,25.6,75.52,6.77,46.97
