#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
320,,Michał Kopczyński,0.04,0,62.5,0.18,0,0
321,,Leândro,0,0,36.84,1.33,0,0
322,,Igor Strzalek,0,0,77.78,0.38,0,0
323,,Luciano Narsingh,0.17,0.07,53.33,0.86,0,0
324,,Jakub Holúbek,0,0,66.67,0.1,0,0
325,,Oskar Sewerzyński,0,0,71.43,0.4,0,0
326,,Daniel Łukasik,0,0,100,0.22,0,0
327,,Arkadiusz Pyrka,0.06,0.06,44.29,0.56,0,0
328,,Giorgi Tsitaishvili,0.08,0.08,35.71,2.08,0,0
329,,Łukasz Sierpina,0,0,0,0.83,0,0
330,,Levent Gülen,0,0,66.67,0.37,0,0
331,,João Amaral,0.1,0.14,53.33,1.67,0,0
332,,Paweł Zieliński,0,0,57.14,0.3,0,0
333,,Martin Doležal,0.1,0.25,20,0.95,0.1,0
334,,Michał Buchalik,0,0,0,0,0,0
335,,Joeri de Kamps,0,0,75,0.2,0,0
336,,Tomasz Pieńko,0.1,0.06,61.02,1.03,0,0
337,,Mario Zebić,0,0,0,0.38,0,0
338,,Jurgen Çelhaka,0,0,50,0,0,0
339,,Marcus Godinho,0.07,0.07,33.33,0.53,0,0
340,,Alberto Toril Domingo,0,0.09,0,0.45,0,0
341,,Wiktor Pleśnierowicz,0,0,100,0.27,0,0
342,,Tomasz Kupisz,0.06,0.06,44.44,0.38,0.06,0
343,,Marcin Szpakowski,0,0.05,75,0.38,0,0
344,,Jurich Carolina,0,0,62.5,0.22,0,0
345,,Dariusz Pawłowski,0,0.08,0,0.46,0,0
346,,Łukasz Zjawiński,0,0.1,28.57,0.85,0,0
347,,Rauno Sappinen,0.16,0.16,47.37,1.16,0.04,0
348,,Koldo Obieta Alberdi,0.1,0.1,16.67,0.76,0,0
349,,Filip Balaj,0,0,0,0.33,0,0
350,,Adrian Przyborek,0,0,0,0.67,0,0
351,,Arkadiusz Wozniak,0,0.09,0,0.55,0,0
352,,Wojciech Łaski,0.08,0,33.33,0.25,0,0
353,,Tomas Prikryl,0.03,0.17,46.3,0.87,0,0
354,,Gabriel Kirejczyk,0,0.1,71.43,0.6,0,0
355,,Janusz Nojszewski,0,0,0,0.2,0,0
356,,Adam Chrzanowski,0,0.06,37.5,0.29,0,0
