Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Ali El Zahdi,0.04,0.04,45,0.58,0,0,0.31,0.46,0,0.58,0,0.19,0.12,0,10.77,63.21,2.65,32,0,0,0,0,0.5,0.08,0.04,0,45.45,45.92,0.31,0.27,26
Dokou Dodo,0,0,45.83,0.55,0,0,2.17,0.83,0.03,1.14,0,0.69,0.07,0.03,27.93,74.69,5.28,51.47,0,0.31,0,0,0.97,0.03,0.17,0.03,45.9,50,0.76,1.48,29
Ahmed Mayhoub,0,0,0,0,0,0,0.07,0.07,0,1.86,0,0.14,0,0,25.57,68.16,1,35.85,2.29,0.21,0.21,0,1.07,0.36,0,0,76.92,77.27,0.43,0,14
Mohamed Hamed,0,0,50,0.32,0,0,1.59,0.77,0.05,3,0,0.18,0,0,32.64,70.75,2.5,39.63,0,0.23,0,0,1.05,0.05,0.09,0,58.33,60.71,0.32,1,22
Karim Arafat,0,0,27.27,0.08,0,0,2,0.83,0,1.25,0,0.42,0,0,23.08,74.37,5.42,45,0,0.17,0,0,0.83,0,0.33,0,61.9,56.7,1.25,1.5,12
Sodiq Awujoola,0.18,0.23,52.86,1.59,0,0,0.77,0.32,0,0.41,0,0.68,0.18,0.05,21.14,73.33,7,59.38,0,0.05,0,0,0.95,0.05,0.09,0,29.03,39.7,0.73,1.05,22
Mahmoud Bolbol Nabil,0,0,50,0.29,0,0,1.36,0.36,0,0.21,0,0.29,0,0,29.71,86.78,7.07,59.62,0,0.07,0,0,0.5,0,0.14,0,40,49.18,0.36,0.93,14
Hatem Mohamed,0,0,52.94,0.4,0,0,2.2,1.1,0,1.3,0,0.6,0,0,40.1,84.29,7.6,51.16,0,0.2,0,0,1,0.2,0.2,0.1,50,53.7,1.6,1.9,10
Mahmoud Talaat,0,0.03,57.14,0.5,0,0,1.97,0.9,0,1.2,0.03,0.57,0,0,31.27,76.55,5.6,47.54,0,0.2,0,0,0.87,0.1,0.17,0.03,52.7,54.32,1.23,1.63,30
Kelechi Chimezie,0,0,44.44,0.8,0,0,2.3,1.73,0.03,0.87,0,0.87,0.07,0.03,35.1,80.53,4.37,53.79,0,0.27,0,0,1,0.13,0.03,0.03,37.25,45.5,0.3,1.27,30
Amir Abed,0,0,40,0.05,0,0,1.26,0.89,0.05,2.42,0,0.21,0,0,18.26,73.49,2.37,40.48,0,0.11,0,0,0.68,0,0.11,0,44.83,54.95,0.58,0.89,19
Mohamed Ahmed Fouad,0.05,0.09,57.14,0.86,0,0,1,0.27,0,0.23,0,0.23,0,0.05,16.82,74.59,4.77,45.24,0,0,0,0,0.55,0.09,0.18,0,42.11,48.89,0.91,1,22
Ehab Samir,0,0,57.69,0.69,0,0,1.92,1.15,0,1.27,0.04,0.73,0,0.04,33.27,74.91,5.85,46.25,0,0.12,0,0,0.88,0.19,0.19,0.04,51.85,56.06,0.69,0.69,26
Amr Hossam,0,0,100,0,0,0,0.03,0.03,0.06,1.06,0.06,0,0,0,22.79,47.87,1.39,34.07,2.67,0.15,0.27,0,1.24,0.09,0.09,0,83.33,89.29,0.52,0.06,33
Ahmed Sayed Abdelnaby,0,0,41.67,0.18,0,0,2.18,1.43,0.04,1.29,0,0.46,0.04,0.07,25.25,68.32,4.61,30.71,0,0.21,0,0,0.93,0.14,0.07,0,51.92,61,0.86,0.5,28
Ahmed Fawzi,0,0,62.5,0.45,0,0,1.45,0.73,0,0.64,0,0.82,0.09,0.09,24.45,71,4.27,42.55,0,0.18,0,0,0.27,0.09,0.27,0,47.37,50.63,0.91,1.45,11
Ahmed Said,0,0,100,0.19,0,0,0.94,0.69,0,0.38,0,0.5,0.06,0,19.88,73.58,4.44,53.62,0,0,0,0,0.38,0.25,0.13,0,30,49.09,0.44,0.56,16
Benjamin Bernard Boateng,0.23,0.07,41.82,1.13,0,0,0.17,0.03,0,0.3,0,0.23,0.07,0.03,9.67,67.59,2.7,53.85,0,0.03,0,0,0.5,0,0.23,0,39.74,35.53,0.37,0.6,30
Dilson,0.14,0.29,35,1.57,0.14,0,0.29,0.14,0,0.46,0,0.29,0.07,0.07,10.93,66.99,2.71,58.33,0,0.04,0,0,0.75,0.04,0.07,0,34.13,36.2,1.04,1,28
Dodo El Gabas,0.11,0,0,1.11,0,0,0.11,0,0,0.11,0,0,0,0,3.22,62.07,0.89,33.33,0,0,0,0,0.22,0,0,0,35.71,36.84,0.11,0.22,9
Mohamed Bazoka,0,0,83.33,0.42,0,0,1.32,0.9,0.03,3.23,0.03,0.52,0.03,0.03,37.13,70.11,4.58,43.36,0,0.16,0,0,0.94,0.16,0.16,0,66.4,61.04,0.39,0.87,31
Ahmed  Abdelkader,0.25,0.33,41.38,1.83,0.04,0,0.75,0.38,0,0.04,0,0.54,0.08,0,24.71,82.12,7.79,60.61,0,0.04,0,0,0.21,0,0.04,0,28.57,36.1,1,1.13,24
Mohamed Mahmoud,0,0,54.17,0.95,0,0,1.1,0.4,0,0.05,0,0.75,0,0.05,17.4,79.02,5.55,65.85,0,0.05,0,0,0.55,0.1,0.05,0,56,56,1.75,0.75,20
