#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
288,,Aleksa Milojević,0,0,26.68,55.77,1.08,36.89
289,,Mlađan Stevanović,0,0,11.55,70.08,3.36,35
290,,Eliomar Silva,0.11,0,7.93,62.15,2.33,38.1
291,,Stefan Marjanović,0.03,0.03,37.76,74.34,3.72,40.7
292,,Nemanja Nikolić,0.07,0.07,33.59,76.59,7.45,47.93
293,,Regis Samuel Baha,0,0,36.3,71.35,6.6,42.67
294,,Danilo Teodorović,0.04,0.04,6.75,72.84,1.21,28.57
295,,Milan Vidakov,0,0,7.92,54.55,2.08,50
296,,Nikola Janković,0.09,0.06,25.72,66.95,5.84,31.91
297,,Đorđe Jovanović,0.07,0.04,9.29,64.62,2.96,20
298,,Ilija Milićević,0,0,34.81,72.89,1.69,36.84
299,,Mateja Đorđević,0,0,36.88,74.95,2.64,41.84
300,,Egor Prutsev,0.1,0,16.3,79.14,6.1,50
301,,Luka Ratković,0.13,0.04,6.63,57.23,1.75,20
302,,Andreja Stojanović,0.07,0.1,31.17,71.23,8.87,31.25
303,,Nikola Vukajlović,0,0,23.6,66.81,3.8,36.8
304,,Ranko Jokić,0.09,0.03,31.56,66.44,3.94,37.45
305,,Vladimir Silađi,0.15,0.08,8.38,62.39,2.69,41.67
306,,David Dunđerski,0.05,0,17.95,60.76,4.14,32.94
307,,Miladin Stevanović,0,0.04,30.5,72.01,6.62,41.45
308,,Petar Kunić,0.04,0,7.96,66.18,2.27,75
309,,Lazar Raičević,0,0,27.86,64.62,0.86,40
310,,Filip Antonijević,0.22,0,23.22,73.21,6.22,33.33
311,,Davor Nedeljković,0.1,0,17.2,80.23,3.6,56.25
312,,Ousman Marong,0.2,0,16,64.38,3.9,37.5
313,,Nemanja Ljubisavljević,0.08,0,32.92,71.9,1.92,31.25
314,,Nikola Miličić,0,0.04,32.44,77.97,3.7,39.87
315,,Petar Đuričković,0.05,0,18.55,70.83,4.95,54.55
316,,Nenad Gavrić,0.16,0.21,12.68,67.63,3.74,34.78
317,,Vojo Ubiparip,0.06,0.06,6.88,71.79,2,60
318,,Milan Savić,0,0,9.25,78.38,3.75,33.33
319,,Marko Pantić,0,0,14.36,75.63,3,41.46
320,,Dragoljub Srnić,0.05,0,21.14,76.58,4,55.22
321,,Nemanja Mićević,0,0,30.57,69.16,2.14,44.44
322,,Zoran Danoski,0.19,0.07,15.3,63.92,4.85,31.48
323,,Edin Ajdinović,0.14,0.11,20.82,72.04,3.32,49.41
324,,Jovan Mituljikić,0,0.07,12.36,71.68,4,36.36
325,,Mihajlo Ilić,0,0,36.88,81.69,2.25,47.17
326,,Marko Ivezić,0,0.03,35.69,77.29,4.79,48.25
327,,Andrija Radovanović,0,0,24.46,74.62,2.25,37.39
328,,Ilija Babić,0.04,0,9.57,72.39,3.71,30
329,,Bojan Čečarić,0,0,15.19,62.35,3.78,37.5
330,,Marko Mrkic,0,0,5.75,69.57,2,0
331,,Marko Šimić,0,0,7.33,52.27,1.17,100
332,,Vasilije Janjić,0,0.17,8.33,68,3,50
333,,Jovan Zogović,0.13,0.13,5.75,56.52,2,0
334,,Luka Malić,0,0,10.33,41.94,0.67,0
335,,Luka Milojević,0,0,8.75,82.86,1,100
336,,Ivan Tatomirović,0,0,19.6,73.47,0.2,35.29
337,,Filip Jović,0.03,0.03,22.19,72.67,4.16,32.65
338,,Stefan Cvetković,0.04,0.08,9.64,77.59,4.2,66.67
339,,Mitar Ergelaš,0.17,0.13,9.87,60.35,2.13,33.33
340,,Samir Radovac,0,0,16.27,77.46,3.87,38.46
341,,Dајan Ponjević,0,0,30.47,71.62,5.06,38.04
342,,Bratislav Djukic,0,0,15.57,72.07,1.48,44.44
343,,Damjan Daničić,0,0,16.4,71.34,2.4,27.27
344,,Aleksandar Ćirković,0,0,20.8,71.15,5.2,38.46
345,,Nemanja Jović,0.09,0.09,13.73,72.19,3.82,33.33
346,,Milan Mitrović,0,0.07,48.86,84.21,2.21,41.24
347,,Stefan Kovač,0,0.04,25.08,74.32,7.24,37.7
348,,Anton Tolordava,0,0.17,39.33,77.12,1,30.23
349,,Nikola Popović,0.11,0.06,21.72,63.94,5.61,18.18
350,,Uroš Vidović,0,0,8.8,86.36,1,75
351,,Miloš Milovanović,0,0,23.6,77.97,1.1,35.71
352,,Miloš Ostojić,0,0,33.08,75.09,1.64,35.1
353,,Đorđe Ćosić,0,0,31.71,59.55,3.24,31.95
354,,Sava Petrov,0.09,0.06,12.91,74.78,4.31,60
355,,Branislav Tomić,0,0,6.27,72.46,2.18,50
356,,Mark Oliver Roosnupp,0,0.08,8.25,75.76,2.67,25
357,,Morice Abraham,0.13,0,7.27,76.15,2.27,71.43
358,,Đorđe Gordić,0.13,0.06,22.75,76.92,6.06,40.63
359,,Aleksa Marušić,0,0,6.7,85.07,2,50
360,,Nikola Vasiljević,0,0,23.75,70.53,0.25,34.88
361,,Slavko Damjanović,0,0,22,64.77,0.25,31.58
362,,Pavle Ivelja,0,0,7.11,64.06,1.67,66.67
363,,Mehmed Ćosić,0,0,16.13,73.14,2.53,34.48
364,,Aleksandar Ješić,0,0,32.2,78.88,6.8,60.24
365,,Nemanja Kojčić,0,0,23.2,74.14,1.4,38.1
366,,Arihiro Sentoku,0.09,0,11.27,79.03,2.27,57.14
367,,Vladimir Radivojević,0.07,0.07,26.72,69.81,8.76,41.38
368,,Dino Dolmagić,0.15,0.05,14.95,60.87,4.15,14.63
369,,Ibrahim Tanko,0,0.06,7.74,64.64,2.21,28.57
370,,Radivoj Bosić,0.09,0,7.04,70.37,2.43,58.33
371,,Haris Kadrić,0.04,0,11.14,64.42,2.29,70.59
372,,Saša Jovanović,0,0,10.5,66.67,3.08,30.23
373,,Lazar Arsić,0.05,0,17.24,67.96,4.43,35.56
374,,Ljubiša Pecelj,0,0.08,39.36,73.27,7.68,34.57
375,,Jovan Lukić,0.2,0.1,9.5,71.58,4,71.43
376,,Nemanja Subotić,0.06,0,16.75,69.03,5.47,50.85
377,,Miloš Brnović,0,0,4.5,77.78,1.67,60
378,,Dimitrije Petronijević,0.07,0,19.29,69.63,3.14,35.71
379,,Dražen Bagarić,0,0,7.69,60.98,1.5,14.29
380,,Vladimir Prijović,0.07,0.07,24.6,67.48,3.07,32.18
381,,Giorgi Papunashvili,0.33,0.33,18.67,89.29,7,100
382,,Nikola Stanković,0,0.13,27.38,56.16,4.88,25.81
383,,Ibrahim Mustapha,0.08,0.08,9.92,84.87,4.17,0
384,,Ognjen Milanović,0,0,4,75,2,0
385,,Luka Borovic,0,0,24,70.83,8,100
386,,Obren Kljajić,0,0,2,75,0,100
387,,Nikola Simić,0,0,22.33,62.69,0.33,39.02
388,,Marko Vučić,0,0,6.33,78.95,1.33,0
389,,Adrián Szőke,0,0,0.25,100,0,0
390,,Veljko Jovanović,0,0,7.75,70.97,2,100
391,,Abdul Musa Zubairu,0,0,12.67,83.33,3.33,71.43
392,,Aleksandar Vulić,0,0,23.29,43.94,1.88,34.64
393,,Mihajlo Nešković,0.03,0.03,21.97,77.85,4.9,36.36
394,,Filip Babić,0.07,0.07,26.21,71.66,3.43,48
395,,Vukašin Bogdanović,0.1,0,9.2,63.04,2.25,40
396,,Borko Duronjić,0.1,0.07,11.45,62.35,2.79,40.38
397,,Mihajlo Petković,0.14,0,13.14,68.48,2.86,30.77
398,,Semir Alić,0,0.08,15.25,72.68,2.58,48.15
399,,Stefan Dimić,0.07,0,16.67,86,7.2,83.33
400,,Ivan Vukčević,0,0.25,3.88,64.52,1.13,0
401,,Dušan Hodžić,0,0,29.33,74.09,6.2,50.52
402,,Nikola Đuričić,0,0,30.44,76.39,2.44,36.51
403,,Miloš Rošević,0,0,6.69,51.4,1.75,66.67
404,,Nikola Zečević,0,0,33.09,76.1,1.55,38.75
405,,Milan Obradović,0,0,33.55,64.59,3.45,31.33
406,,Romain Gall,0,0,10.14,66.2,2.14,16.67
407,,Danilo Sekulić,0,0,26.86,71.28,4.21,38.6
408,,Miroslav Bjeloš,0,0,15.55,70.18,2.45,37.5
