#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
339,,Mitar Ergelaš,0.04,0.04,36.84,0.65,0,0
340,,Samir Radovac,0,0.07,100,0.53,0,0
341,,Dајan Ponjević,0,0,57.89,0.35,0,0
342,,Bratislav Djukic,0,0,33.33,0.13,0,0
343,,Damjan Daničić,0,0,50,0.1,0,0
344,,Aleksandar Ćirković,0,0,33.33,1.2,0,0
345,,Nemanja Jović,0.09,0.09,36.84,0.86,0,0
346,,Milan Mitrović,0,0,100,0.21,0,0
347,,Stefan Kovač,0.04,0.16,62.5,1,0,0
348,,Anton Tolordava,0,0,0,0,0,0
349,,Nikola Popović,0,0,39.13,1,0,0
350,,Uroš Vidović,0,0,0,0,0,0
351,,Miloš Milovanović,0,0.1,0,0.4,0,0
352,,Miloš Ostojić,0,0,100,0.36,0,0
353,,Đorđe Ćosić,0,0.06,60,0.35,0,0
354,,Sava Petrov,0.06,0.17,42.59,1.34,0,0
355,,Branislav Tomić,0,0,0,0.64,0,0
356,,Mark Oliver Roosnupp,0,0,50,0.33,0,0
357,,Morice Abraham,0,0,45.45,0.53,0,0
358,,Đorđe Gordić,0.19,0.06,23.53,0.81,0,0
359,,Aleksa Marušić,0.1,0.1,50,0.6,0,0
360,,Nikola Vasiljević,0,0,0,0,0,0
361,,Slavko Damjanović,0,0,0,0,0,0
362,,Pavle Ivelja,0,0,0,0.33,0,0
363,,Mehmed Ćosić,0.07,0.07,50,0.53,0,0
364,,Aleksandar Ješić,0,0.04,71.43,0.64,0,0
365,,Nemanja Kojčić,0,0.2,0,0.6,0,0
366,,Arihiro Sentoku,0.09,0,20,0.55,0,0
367,,Vladimir Radivojević,0.14,0.07,55,0.41,0,0
368,,Dino Dolmagić,0,0,60,0.3,0,0
369,,Ibrahim Tanko,0.06,0.18,44.68,0.79,0.03,0
370,,Radivoj Bosić,0.04,0.04,47.22,0.78,0,0
371,,Haris Kadrić,0.07,0.21,42.86,0.96,0.04,0
372,,Saša Jovanović,0.04,0,33.33,0.54,0,0
373,,Lazar Arsić,0,0.14,35,1.19,0,0
374,,Ljubiša Pecelj,0.04,0,64.86,0.24,0,0
375,,Jovan Lukić,0,0,100,0.3,0,0
376,,Nemanja Subotić,0.03,0.06,52.63,0.91,0,0
377,,Miloš Brnović,0,0,0,0.42,0,0
378,,Dimitrije Petronijević,0,0,44.44,0.57,0,0
379,,Dražen Bagarić,0,0,62.5,0.81,0,0
380,,Vladimir Prijović,0.07,0.07,57.14,0.27,0,0
381,,Giorgi Papunashvili,0,0,20,0.33,0,0
382,,Nikola Stanković,0,0,33.33,0.88,0,0
383,,Ibrahim Mustapha,0,0.17,41.18,0.25,0,0
384,,Ognjen Milanović,0,0,0,0,0,0
385,,Luka Borovic,0,0,0,3,0,0
386,,Obren Kljajić,0,0,0,0.5,0,0
387,,Nikola Simić,0,0,0,0,0,0
388,,Marko Vučić,0,0,0,0,0,0
389,,Adrián Szőke,0,0,0,0.25,0,0
390,,Veljko Jovanović,0,0,0,1,0,0
391,,Abdul Musa Zubairu,0,0,50,0.22,0,0
392,,Aleksandar Vulić,0,0,0,0,0,0
393,,Mihajlo Nešković,0.07,0.1,45.21,0.93,0,0
394,,Filip Babić,0,0,0,0.21,0,0
395,,Vukašin Bogdanović,0,0.15,20,0.45,0,0
396,,Borko Duronjić,0.07,0.1,43.75,0.72,0,0
397,,Mihajlo Petković,0.14,0.14,42.86,1.14,0,0
398,,Semir Alić,0,0,50,0.42,0,0
399,,Stefan Dimić,0.13,0.07,38.46,0.87,0,0
400,,Ivan Vukčević,0,0.13,0,0.5,0,0
401,,Dušan Hodžić,0,0,61.54,0.4,0,0
402,,Nikola Đuričić,0,0,75,0.31,0,0
403,,Miloš Rošević,0,0.13,50,0.25,0,0
404,,Nikola Zečević,0,0,100,0.09,0,0
405,,Milan Obradović,0,0.06,60,0.36,0,0
406,,Romain Gall,0.14,0.14,44.44,1.57,0,0
407,,Danilo Sekulić,0,0,25,0.71,0,0
408,,Miroslav Bjeloš,0,0,57.14,0.64,0,0
409,,Ugochukwu Oduenyi,0,0,0,0.67,0,0
410,,Molls Donald Ntchamda,0,0,75,0,0,0
411,,Predrag Medić,0,0,40,0.56,0,0
412,,Bogdan Jočić,0.05,0.05,28.57,0.41,0,0
413,,Goran Lončar,0,0,75,0.2,0,0
414,,Uroš Ljubomirac,0,0.2,40.91,1.07,0,0
415,,Jovan Marinković,0,0.08,100,0.38,0,0
416,,Uroš Kabić,0.11,0.05,40.74,0.42,0,0
417,,Boris Velimirović,0,0,0,0,0,0
418,,Vuk Bogdanović,0,0,0,0.33,0,0
419,,Aleksa Đurasović,0,0,50,0,0,0
420,,Josip Projić,0,0,50,0,0,0
421,,Martin Novaković,0,0,50,0.22,0,0
422,,Dragan Stoisavljević,0,0,50,0.09,0,0
423,,Milan Savić,0,0.04,50,0.13,0,0
424,,Ognjen Ajdar,0,0.05,83.33,0.42,0,0
425,,Marko Maletić,0,0,66.67,0,0,0
426,,Ivan Milosavljević,0.03,0.09,47.37,0.31,0,0
427,,Miloš Mladenović,0,0,100,0,0,0
428,,Filip Žunić,0,0,50,0.43,0,0
429,,Danko Kiković,0,0,51.72,0.4,0,0
430,,Nenad Adamović,0.09,0,50,0.27,0,0
431,,Filip Petrović,0,0,50,0,0,0
432,,Kwaku Bonsu Osei Gaucho,0,0,0,0.6,0,0
433,,Dušan Mijić,0,0,66.67,0.11,0,0
434,,Dimitrije Stevanović,0,0,0,0,0,0
435,,Nikola Knežević,0,0,36.84,0.4,0,0
436,,Đorđe Maksimović,0,0.16,50,0.48,0,0
437,,Miroslav Maričić,0,0.05,57.69,0.7,0,0
438,,Andrija Lazarević,0,0,59.26,0.21,0,0
439,,Mišo Dubljanić,0,0,0,0,0,0
440,,Igor Cvetojevic,0.5,0,0,1,0.5,0
441,,Mateja Stjepanović,0,0,0,0,0,0
442,,Dusan Dodic,0,0,0,0,0,0
443,,Mile Savković,0,0,100,0.33,0,0
444,,Nikola Kovačević,0,0,0,0,0,0
445,,Dragoljub Radoman,0,0,33.33,0.4,0,0
446,,Uroš Milovanović,0,0.33,50,0.67,0,0
447,,Matija Petrović,0,0,0,1,0,0
448,,Marko Gajić,0,0,0,0,0,0
449,,Uroš Sremčević,0,0,0,0,0,0
450,,Boris Varga,0,0,33.33,0.18,0,0
451,,Đorđe Jovanović,0,0.06,25,0.41,0,0
452,,Bojan Mlađović,0.1,0,75,0.2,0.1,0
453,,Mustafa Mujezinović,0,0,16.67,0.36,0,0
454,,Lazar Slavković,0,0,0,0,0,0
455,,Viktor Lukić,0,0,0,0.33,0,0
456,,Srđan Šćepanović,0,0,50,0.22,0,0
457,,Luka Velikić,0,0,22.22,0.17,0,0
458,,Dejan Tumbas,0,0.13,50,0.13,0,0
459,,Aleksandar Katanić,0,0,38.46,0.44,0,0
460,,Luka Savić,0,0,0,0,0,0
461,,Adetunji Rasaq Adeshina,0,0,100,0,0,0
462,,Lazar Stajković,0,0,0,0.25,0,0
463,,Ivan Ćorković,0,0,50,0.23,0,0
464,,Nikša Vujanović,0.04,0,33.33,0.67,0,0
465,,Nikola Bogdanovski,0.06,0.03,34.78,0.61,0,0
466,,Srđan Kocić,0,0.05,47.5,0.36,0,0
467,,Nikola Mituljikić,0,0.14,60,1.14,0,0
