#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
231,,Luka Adžić,0,0,0,0,0.61,0.09
232,,Klemen Bolha,0,0.17,0,0,0.63,0.08
233,,Ljubomir Fejsa,0,0.22,0,0,0.48,0.09
234,,Vladimir Kovačević,0,0.17,0,0,1.28,0.39
235,,Dejan Dražić,0,0,0,0,0.29,0.14
236,,Nikola Ćirković,0,0.22,0,0,1.25,0.28
237,,Vanja Ilić,0,0,0,0,0.72,0.1
238,,Sead Islamović,0,0.06,0,0,0.76,0.06
239,,Cristian,0,0,0,0,0.79,0.07
240,,Miloš Đokić,0,0.1,0,0,1.26,0.1
241,,Filip Ivanović,0,0.32,0,0,0.74,0.16
242,,Aleksa Đurasović,0,0.03,0,0,0.6,0.13
243,,Aleksa Janković,0,0,0,0,0.43,0
244,,Marko Đurišić,0,0.1,0,0,0.86,0.1
245,,Vuk Mitošević,0,0,0,0,0,0
246,,Nikolaos Baxevanos,0,0,0,0,1,0
247,,Nikola Leković,0,0.23,0,0,1.1,0.29
248,,Ante Vukušić,0,0,0,0,1,0.11
249,,Sambou Sissoko,0,0.21,0,0,0.83,0
250,,Žarko Udovičić,0,0.18,0,0,0.85,0.15
251,,Mbouri Yamkam,0,0.21,0,0,1.18,0.03
252,,Edmund Addo,0,0.19,0,0,1.06,0.19
253,,Andrija Milić,0,0,0,0,1.13,0.25
254,,Borisav Burmaz,0,0.03,0,0,0.84,0.03
255,,Novak Mićović,2.14,0.29,0.29,0.07,1.21,0.07
256,,Slobodan Stanojlović,0,0,0,0,0.53,0.03
257,,Veljko Trifunović,0,0,0,0,0.46,0
258,,Almir Aganspahić,0,0.09,0,0,0.18,0
259,,Aleksandar Mesarović,0,0.03,0,0,0.87,0.13
260,,Stefan Stanisavljević,0,0,0,0,0.18,0.09
261,,Mihajlo Vesnić,0,0.11,0,0,1.22,0.28
262,,Igor Miladinović,0,0,0,0,0.73,0
263,,Nenad Kočović,0,0.24,0,0,1.09,0.18
264,,Dušan Stoiljković,0,0.05,0,0,0.58,0.05
265,,Jug Stanojev,0,0,0,0,0.31,0
266,,Saša Tomanović,0,0.07,0,0,0.2,0.2
267,,Milan Joksimović,0,0.21,0,0,1,0.12
268,,Milan Makarić,0,0.22,0,0,0.39,0.06
269,,Mihajlo Bogićević,0,0.2,0,0,1.05,0.25
270,,Nebojša Bastajić,0,0.24,0,0,0.74,0.06
271,,Stefan Mitrović,0,0.12,0,0,0.38,0.03
272,,Geoffrey Chinedu Charles,0,0.2,0,0,0.4,0.2
273,,Svetozar Marković,0,0.32,0,0,0.82,0.23
274,,Uroš Miladinović,0,0,0,0,0,0
275,,Hamza Bronja,0,0,0,0,0,0
276,,Zoran Karać,0,0,0,0,0.5,0
277,,Ensar Brunčević,0,0,0,0,0,0
278,,Branislav Marković,0,0,0,0,0.29,0
279,,Nemanja Stevanović,1.44,0.44,0.11,0,0.78,0.11
280,,Ognjen Mitrović,0,0.22,0,0,0.67,0
281,,Miljan Krpić,0,0,0,0,0.08,0
282,,Nikola Vlajković,0,0.21,0,0,0.79,0.17
283,,Damir Sadiković,0,0.07,0,0,0.86,0.14
284,,Strahinja Tanasijević,0,0.27,0,0,1.07,0.07
285,,Aleksandar Varjačić,0,0.13,0,0,0.67,0.07
286,,Marko Šarić,0,0,0,0,0.51,0.06
287,,Mihajlo Spasojević,0,0,0,0,0.38,0
288,,Aleksa Milojević,2.72,0.2,0.32,0.12,1.24,0.32
289,,Mlađan Stevanović,0,0,0,0,0.36,0.09
290,,Eliomar Silva,0,0,0,0,0.48,0.19
291,,Stefan Marjanović,0,0.24,0,0,1.1,0.07
292,,Nemanja Nikolić,0,0.17,0,0,0.97,0.07
293,,Regis Samuel Baha,0,0.13,0,0,0.97,0.2
294,,Danilo Teodorović,0,0,0,0,0.46,0.08
295,,Milan Vidakov,0,0.04,0,0,0.28,0.04
296,,Nikola Janković,0,0.16,0,0,1.25,0.13
297,,Đorđe Jovanović,0,0,0,0,0.32,0.07
298,,Ilija Milićević,0,0.06,0,0,1.25,0.06
299,,Mateja Đorđević,0,0.2,0,0,0.8,0.08
300,,Egor Prutsev,0,0,0,0,0.3,0.1
301,,Luka Ratković,0,0.04,0,0,0.38,0.21
302,,Andreja Stojanović,0,0.1,0,0,1.3,0.13
303,,Nikola Vukajlović,0,0.33,0,0,0.77,0.03
304,,Ranko Jokić,0,0.13,0,0,1.09,0.13
305,,Vladimir Silađi,0,0,0,0,0.31,0.08
306,,David Dunđerski,0,0.05,0,0,1,0.18
307,,Miladin Stevanović,0,0.35,0,0,0.81,0.12
308,,Petar Kunić,0,0,0,0,0.46,0.04
309,,Lazar Raičević,1,0.29,0.29,0,0.71,0.14
310,,Filip Antonijević,0,0.11,0,0,1,0.11
311,,Davor Nedeljković,0,0,0,0,1.1,0
312,,Ousman Marong,0,0,0,0,0.7,0
313,,Nemanja Ljubisavljević,0,0.25,0,0,0.42,0.08
314,,Nikola Miličić,0,0.15,0,0,0.85,0.22
315,,Petar Đuričković,0,0.09,0,0,0.68,0.14
316,,Nenad Gavrić,0,0,0,0,1,0.05
317,,Vojo Ubiparip,0,0.06,0,0,0.29,0.06
318,,Milan Savić,0,0,0,0,0,0
319,,Marko Pantić,0,0.05,0,0,0.59,0
320,,Dragoljub Srnić,0,0,0,0,0.43,0.05
321,,Nemanja Mićević,0,0,0,0,0.86,0.43
322,,Zoran Danoski,0,0,0,0,0.89,0.07
323,,Edin Ajdinović,0,0.07,0,0,0.75,0
324,,Jovan Mituljikić,0,0,0,0,0.36,0.07
325,,Mihajlo Ilić,0,0.13,0,0,0.5,0.13
326,,Marko Ivezić,0,0.24,0,0,1.28,0.03
327,,Andrija Radovanović,0,0.21,0,0,0.83,0.04
328,,Ilija Babić,0,0.14,0,0,0.68,0
329,,Bojan Čečarić,0,0.03,0,0,0.53,0.09
330,,Marko Mrkic,0,0,0,0,0.25,0
331,,Marko Šimić,0,0,0,0,0.17,0
332,,Vasilije Janjić,0,0,0,0,0.17,0.17
333,,Jovan Zogović,0,0,0,0,0.38,0
334,,Luka Malić,0,0,0,0,1,0.33
335,,Luka Milojević,0,0,0,0,0,0
336,,Ivan Tatomirović,0,0,0,0,0.8,0
337,,Filip Jović,0,0.1,0,0,0.9,0.1
338,,Stefan Cvetković,0,0,0,0,0.68,0.08
339,,Mitar Ergelaš,0,0,0,0,0.61,0.04
340,,Samir Radovac,0,0,0,0,0.73,0.07
341,,Dајan Ponjević,0,0.24,0,0,0.82,0.41
342,,Bratislav Djukic,0,0.04,0,0,0.83,0.22
343,,Damjan Daničić,0,0.2,0,0,0.9,0
344,,Aleksandar Ćirković,0,0.4,0,0,0.6,0.2
345,,Nemanja Jović,0,0.05,0,0,0.32,0.09
346,,Milan Mitrović,0,0.21,0,0,1.07,0.36
347,,Stefan Kovač,0,0.24,0,0,0.68,0.04
348,,Anton Tolordava,0,0,0,0,2.33,0.33
349,,Nikola Popović,0,0.06,0,0,1,0.33
350,,Uroš Vidović,0,0,0,0,0,0
351,,Miloš Milovanović,0,0.1,0,0,0.7,0.2
352,,Miloš Ostojić,0,0.24,0,0,1.16,0.16
353,,Đorđe Ćosić,0,0.47,0,0,0.88,0.06
354,,Sava Petrov,0,0.03,0,0,1.03,0.11
355,,Branislav Tomić,0,0,0,0,0.45,0.18
356,,Mark Oliver Roosnupp,0,0,0,0,0.17,0
357,,Morice Abraham,0,0,0,0,0,0.07
358,,Đorđe Gordić,0,0,0,0,1.38,0.19
359,,Aleksa Marušić,0,0,0,0,0.4,0.1
360,,Nikola Vasiljević,1.5,0.25,0,0,1,0
361,,Slavko Damjanović,0,0,0,0,1,0
362,,Pavle Ivelja,0,0,0,0,0.89,0.11
363,,Mehmed Ćosić,0,0,0,0,0.67,0.07
